"","2001-01-01","2001-04-01","2001-07-01","2001-10-01","2002-01-01","2002-04-01","2002-07-01","2002-10-01","2003-01-01","2003-04-01","2003-07-01","2003-10-01","2004-01-01","2004-04-01","2004-07-01","2004-10-01","2005-01-01","2005-04-01","2005-07-01","2005-10-01","2006-01-01","2006-04-01","2006-07-01","2006-10-01","2007-01-01","2007-04-01","2007-07-01","2007-10-01","2008-01-01","2008-04-01","2008-07-01","2008-10-01","2009-01-01","2009-04-01","2009-07-01","2009-10-01","2010-01-01","2010-04-01","2010-07-01","2010-10-01","2011-01-01","2011-04-01","2011-07-01","2011-10-01","2012-01-01","2012-04-01","2012-07-01","2012-10-01","2013-01-01","2013-04-01","2013-07-01","2013-10-01","2014-01-01","2014-04-01","2014-07-01","2014-10-01","2015-01-01","2015-04-01","2015-07-01","2015-10-01","2016-01-01","2016-04-01","2016-07-01","2016-10-01","2017-01-01","2017-04-01","2017-07-01","2017-10-01","2018-01-01","2018-04-01","2018-07-01","2018-10-01","2019-01-01","2019-04-01","2019-07-01","2019-10-01","2020-01-01","2020-04-01","2020-07-01","2020-10-01"
"Share (in %) on ""wirtschaft""&""unsicher""-corpus","4.277","4.9202","4.546","4.2626","5.357","4.2752","3.1389","4.2709","3.3846","3.7736","6.2398","5.3667","3.6653","4.859","3.9053","4.8635","4.9675","3.8031","3.0434","4.0759","5.521","5.7424","4.6597","4.6441","5.6147","4.9595","3.1203","3.9826","4.267","4.899","4.2848","4.6282","4.5481","4.124","4.9328","6.0073","3.7102","3.5234","3.3303","4.1639","3.5663","5.2232","3.0563","3.4818","3.8306","3.7435","3.9526","3.9392","4.1744","4.9775","3.5736","3.8552","5.0083","4.593","3.5481","4.6838","4.6346","4.2771","3.7509","3.7949","3.8641","4.2233","3.5914","4.1822","3.5709","3.5641","4.3275","4.6154","4.5608","3.8031","4.2206","2.5357","3.5643","3.1098","3.6179","3.9101","6.6952","7.1215","6.0021","6.3793"
"Share (in %) on ""wirtschaft""-corpus","0.2251","0.2207","0.285","0.3484","0.2419","0.2455","0.2118","0.2702","0.2903","0.2271","0.2856","0.2418","0.1798","0.2329","0.1844","0.2212","0.1858","0.169","0.1417","0.1586","0.1859","0.2158","0.1668","0.1744","0.1871","0.172","0.1564","0.1953","0.2432","0.2172","0.2216","0.3311","0.2776","0.2096","0.2406","0.2792","0.2053","0.2176","0.2258","0.2597","0.223","0.3133","0.2666","0.2974","0.2429","0.2487","0.3003","0.2611","0.2673","0.2787","0.2184","0.1986","0.2605","0.2082","0.207","0.2964","0.2824","0.2238","0.2409","0.2413","0.3214","0.34","0.3785","0.4223","0.3767","0.3048","0.3053","0.361","0.3055","0.3097","0.3458","0.2145","0.3663","0.2471","0.3453","0.3285","0.7264","0.7607","0.5341","0.5724"
"Share (in Promille) on entire corpus","0.4911","0.4623","0.5856","0.7444","0.519","0.5156","0.4804","0.6188","0.6285","0.4648","0.5618","0.4839","0.36","0.4703","0.3451","0.4302","0.3479","0.3204","0.2569","0.317","0.3524","0.3908","0.2985","0.3332","0.3575","0.3319","0.2994","0.392","0.4914","0.4338","0.4488","0.8467","0.7597","0.5503","0.5748","0.5315","0.467","0.4987","0.523","0.6281","0.5504","0.7455","0.6643","0.7494","0.5797","0.6071","0.7204","0.639","0.6457","0.6772","0.5059","0.4647","0.6276","0.5024","0.4849","0.713","0.6599","0.5284","0.5636","0.5458","0.743","0.806","0.8616","0.9844","0.8818","0.6961","0.7078","0.8207","0.7179","0.7202","0.8616","0.5309","0.8645","0.6167","0.8772","0.8301","2.0784","2.4083","1.5504","1.6243"
"1","mark","mark","mark","mark","hamburg","hamburg","stadt","hamburg","hamburg","hamburg","hamburg","hamburg","berlin","messe","muenchen","stadt","stadt","hamburg","hamburg","berliner","berlin","wm","wm","ag","fc","studenten","hens","hamburg","hamburg","schueler","hamburg","puma","merckle","okhrin","stadt","trainer","eichin","hamburg","stadt","studenten","gema","ehec","studenten","berggruen","kuntz","mikhailov","aigner","hochschulen","stork","lippens","charlotte","bayern","hoeness","studenten","bremen","studenten","minhoff","tengelmann","springer","hamburg","tourismus","neon","urlauber","amri","touristen","hochschulen","schabirosky","katalonien","puigdemont","business","chemnitz","studenten","kienbaum","tui","cook","cook","abgesagt","fussball","reisewarnung","gaeste"
"2","berlin","hamburg","hamburg","hamburg","stadt","stadt","hamburger","millionen","euro","berlin","euro","studenten","hamburg","stadt","hamburg","hamburg","berliner","stadt","euro","trainer","ag","fifa","gmbh","drittes","tel","hochschulen","quadratmeter","dsv","tui","hamburg","czinczoll","zeitz","adolf","bayern","hamburg","bayern","haie","stadt","hamburger","hochschulen","magath","gemuese","stadt","vogl","adidas","kerkloh","liga","studenten","nehm","bayern","stadt","phillips","selbstanzeige","wm","fotografie","fussball","bode","bachelor","axel","foodwatch","studium","hochschulen","touristen","bhumibol","sacher","touristen","schueler","katalanischen","journalisten","mihail","uhle","trabelsi","boeing","ruanda","thomas","charlotte","messe","galerien","reisen","flughafen"
"3","hamburg","berlin","stadt","berlin","millionen","messe","euro","berlin","berlin","stadt","millionen","hamburger","real","muenchen","berlin","euro","euro","quadratmeter","stadt","euro","bilanzpressekonferenz","hamburg","hoffmann","kofler","watzke","henzler","krug","studenten","hapaglloyd","bayern","hapaglloyd","hamburg","hoeness","studenten","rive","studenten","bayern","luebeck","rossini","bachelor","haniel","spies","legionaere","messe","brand","studenten","jennrich","buettgen","radler","fc","dutt","bahlsen","bayern","psg","studenten","fifa","hsv","weltausstellung","edeka","formel","urlauber","kunstmarkt","tourismus","katzen","universitaeten","studenten","goerlitz","puigdemont","yuecel","school","neugebauer","tunesien","adac","boeing","condor","studenten","olympischen","hotels","urlauber","messen"
"4","airbus","hamburger","millionen","stadt","euro","hamburger","hamburg","euro","millionen","berliner","stadt","stadt","studenten","euro","thannhuber","monaco","bau","euro","ppp","stadt","arena","studenten","zwischennutzung","hamburg","u","hamburg","hamburg","elbe","liga","schulen","hamburger","hamburger","lemke","messe","schiffe","van","saison","spieler","diego","hiss","haniels","studenten","althusmann","hainer","abitur","magerl","studenten","universitaeten","hochhaeuser","fussball","absolventen","fti","uli","stones","hochschule","lamberty","goetzen","fuld","tengelmann","schueler","de","guenther","reisen","kunst","gaeste","la","fiebig","spanien","pagel","parker","mittelmeer","conai","max","studenten","msc","fuersattel","messen","spieler","touristen","reisen"
"5","berliner","stadt","berlin","millionen","franc","berlin","berliner","hamburger","wohnungen","millionen","hamburger","berliner","koeln","hamburger","seidensticker","metzelder","hamburg","berlin","steinwerder","millionen","walterheilit","tickets","trainer","uldall","hamburg","stadt","studenten","saison","hamburger","mannschaft","myerson","messe","hamburger","haderthauer","bayern","fc","hamburg","magath","studenten","master","schalke","erreger","hochschulen","messen","spieler","praktikum","gema","woehrl","stadt","stadt","studenten","symrise","fc","hochschulen","wirtschaftspsychologie","wm","studium","hochschulen","studenten","hamburger","touristen","spieler","urlaub","autoren","reisebueros","reisen","awd","spanischen","tuerkei","hochschulen","fc","studium","flugzeug","bosnienherzegowina","reisen","thomas","veranstalter","saison","veranstalter","messe"
"6","stadt","millionen","berliner","berliner","hamburger","millionen","berlin","mio","esch","euro","franken","millionen","messe","hamburg","millionen","spieler","berlin","berliner","hamburger","berlin","infotelefon","muenchen","hamburger","spieler","frankfurt","premiere","finance","muenchen","universitaeten","fc","schueler","berliner","wolf","frenzel","adc","spieler","leitner","studenten","van","trainer","stadt","seifert","studium","arte","messen","atv","  ","muenchen","frankfurt","klubs","college","studium","stern","fussball","werder","messen","spieler","studium","fach","fifa","lloret","hochschule","ottmann","urlauber","tourismus","medici","tuerkei","barcelona","genschow","studium","tuerkei","universitaet","ethiopian","ensembles","mba","pis","filbry","kuenstler","airlines","memmingen"
"7","a","berliner","knippel","muenchen","berliner","muenchen","millionen","berliner","stadt","messe","mio","euro","stadt","wohnungen","hamburger","hamburger","millionen","schechinger","bau","muenchen","hamburg","berliner","mannschaft","schaaf","mannschaft","arena","kunst","dolmetscher","premiere","sport","nol","hainer","saison","karmann","messe","hoelzl","j","wuerdest","master","kunstmarkt","eichinger","gurken","oenning","hamburg","fck","kuntz","hoeller","professoren","lilly","muenchen","chattanooga","muenchen","  ","rolling","hamburg","liga","tengelmann","edeka","studium","olympia","tunesien","vermoegensmanager","studenten","kuenstler","studenten","znojmo","tourismus","madrid","katalonien","universitaet","braehmer","gaeste","attac","istanbul","urlauber","absolventen","spiele","abgesagt","tui","tirol"
"8","muenchen","muenchen","trainer","qm","berlin","euro","parade","quadratmeter","hamburger","hannover","berliner","hochschulen","euro","hannover","euro","berlin","hamburger","millionen","millionen","hamburg","bilfinger","karten","premiere","beckstein","berlin","bayern","stiftung","geldern","flughafen","fussball","tui","teams","hamburg","premiere","stuttgart","gaal","hochschulen","loew","trainer","rwag","teldafax","fussball","uni","kunst","vesin","fc","floehl","  ","radfahrer","vereine","cabs","fc","wuerth","engels","obereigner","madrid","sport","studenten","spieler","absolventen","gaeste","findus","sommer","tunesien","volkhardt","varangue","aachen","kataloniens","rb","sendung","sauerland","hoffmann","fliegen","freie","aponte","airline","saison","stattfinden","gaeste","winter"
"9","messe","senat","vereine","quadratmeter","messe","bau","spieler","messe","messe","muenchen","berlin","berlin","aussteller","berlin","quadratmetern","jaeggi","walter","koenigs","merk","lienen","huether","dobischat","stadion","premiere","tu","hannover","hannover","stevens","elbe","koeller","senat","sport","manager","ginkgo","quadratmeter","hoeness","limburg","quaas","vfl","cup","hochschule","berliner","passau","tunnel","stadt","mikhailovs","zoll","dietrich","  ","dortmund","  ","sport","g","hsv","senat","stadien","zerrahn","kunst","allofs","stadt","tui","studenten","istanbul","tuerkei","universitaet","besucher","dvag","spaniens","festival","fussball","bundesliga","tourismus","airlines","xlr","hochschule","fpoe","sued","galerie","reiseveranstalter","veranstaltungen"
"10","hamburger","studium","hamburger","hamburger","senat","koeln","muenchen","kunst","muenchen","studenten","hotel","senat","koelner","millionen","schalke","trainer","st","hamburger","ude","trapattoni","februar","fussball","stadt","berlin","therapie","universitaet","cunek","hoermann","hochschulen","premiere","frenzel","bayern","uli","hamburg","fussball","tuchel","stadt","schulen","wolfsburg","studium","familie","hamburg","augsburg","aussteller","wiese","schuemann","kunst","shui","autofahrer","trainer","hortobágy","bertram","stiftung","hamburg","mannschaft","bundesliga","nemet","master","biennale","wm","mar","minuten","  ","thailand","wolff","fc","urlauber","katalanen","messe","maschmeyer","chemnitzer","bvb","piloten","joussen","studierenden","studium","absage","reisen","mallorca","besucher"
"11","quadratmeter","gmbh","pagelsdorf","mio","muenchen","joop","koelmel","muenchen","koeln","flierl","rehaag","schellenberg","muenchen","gmbh","stadt","zongshen","bayern","wohnungen","berlin","spieler","dsf","bachelor","koeln","polizei","a","uni","stadt","hamburger","schueler","stiftung","schulleiter","saison","bayern","kunst","henrich","lahm","klub","mannschaft","pesaro","universitaeten","franz","schulen","platz","fans","cannes","verein","scherer","hamburger","kranz","borussia","azubis","ritter","muenchen","jagger","psychologie","libanon","mannschaft","bayern","springers","teams","edeka","koeln","nuernberg","uebernachtungen","hotels","mad","universitaeten","lilesa","deniz","management","pinto","abgewiesen","calvey","max","sued","master","tuev","messen","spanien","reisewarnung"
"12","projekt","betreiber","koeln","messe","uldall","stella","mark","senat","stuttgart","hamburger","muenchen","stralsund","berliner","space","koelmel","messen","senat","planung","geschaeftsfuehrer","hamburger","gmbh","hamburger","fc","teams","trainer","universitaeten","hamburger","you","kunst","privatschulen","helios","tui","sport","tui","reiter","kuranyi","muenchner","berliner","festival","team","reusch","hamburger","universitaet","millionen","muenchen","stadt","claassen","rektor","trainer","bahlsen","liga","aromen","muenchner","mick","spielen","katar","foodwatch","promotion","bruyne","dfb","reiseveranstalter","touristen","buchungen","hamburger","schueler","studiengaenge","messe","region","hasenhuettl","schools","migranten","universitaeten","absturz","einfuehrungswoche","nuebel","czorniej","aussteller","bundesliga","hotels","hotels"
"13","millionen","expo","muenchen","koolhaas","mark","gmbh","kinowelt","architekten","berliner","oetker","wohnungen","quadratmeter","freiberg","club","lindau","dortmund","muenchen","tatonka","grabsch","hannover","fussball","ok","berliner","hamburger","fans","hochschule","thema","cologne","dresden","gymnasium","hirst","stadt","spieler","hamburger","nuernberg","czogalla","papenburg","hamburger","bachelor","berliner","hochschulen","dfb","hudson","hanseboot","mannschaft","praktika","klubs","hippler","rad","gottschau","wacker","sponsoren","otto","verein","bachelor","warentest","fans","lewandowski","petras","spiele","aegypten","studienberatung","putsch","  ","elkann","kooperationsstelle","spanien","katalanische","professur","studierenden","klub","spanien","markl","hochschule","tuev","ufo","coronavirus","gaeste","messen","veranstalter"
"14","senat","einrichtungen","wiesheu","kunst","bau","berliner","bahn","projekt","beiersdorfer","bau","hochschulen","studium","geschaeftsfuehrer","wohnen","st","stuka","castell","geschaeftsfuehrer","merl","lederer","muenchen","berlin","picasso","frankfurt","universitaet","berlin","kusch","fans","studenten","spiele","roesch","vertragsarbeiter","messe","becker","andic","hochschulen","spiele","bayern","bayern","e","bernd","menschen","berliner","costa","studium","kunst","millionen","mitsos","studenten","  ","fussball","hoeness","vontobel","team","stadt","hamburg","studenten","stadt","fans","blatter","matacchiera","ethnotourismus","alaska","touristen","formel","stadt","hotels","spanische","spanien","master","stadt","indios","verein","woeste","care","fc","brooks","tourismus","kunden","kunst"
"15","holtkoetter","love","hsv","koeln","chemnitz","sachsenanhalt","studenten","a","schif","koeln","brutto","hsv","hamburger","aussteller","gmbh","muenchen","messe","mieter","schiedsrichter","polizei","kolisch","meter","spiele","studiengebuehren","minute","icc","oldenburg","football","fc","schlueter","spethmann","bundesliga","merckles","teilnehmer","mango","online","zwanziger","wm","hamburg","schulen","studenten","spiele","trainer","muenchner","messe","liga","trautmann","berlin","istanbul","studium","mclaren","stadt","ecclestone","bugra","  ","muenchen","edeka","hochschule","verein","reisen","mittelmeer","warburg","fleck","reisen","  ","universitaet","barcelona","thaler","freilassung","studenten","tuerkischen","dekret","messen","galizia","boeing","lufthansa","klubs","kunst","quarantaene","reisebueros"
"16","wismer","parade","verein","senat","valdano","hannover","hauser","stadt","hansestadt","st","senat","toppmoeller","absolventen","geschaeftsfuehrer","leipzig","architekten","saison","muenchen","subvention","bilfinger","premiere","stadt","spieler","pressekonferenz","jahresergebnis","unis","rostock","trainer","davos","schuelern","reederei","muenchen","liga","sky","berliner","mannschaft","mannschaft","studium","studium","dumont","ghosn","stadt","haendeler","adidas","hamburger","koeln","funkkolleg","hamburg","eli","steffen","teams","warentest","studium","duesseldorf","master","bayern","dirigent","letzte","inseln","allofs","ilva","philosophie","strand","reiseveranstalter","tuerkei","studierenden","leipzig","bosz","gucci","bachelor","urlauber","verein","nase","feindt","festspiele","laestern","athleten","veranstaltungen","flughafen","fussball"
"17","gericht","studenten","miesbach","aussteller","hellersdorf","dortmund","uniformen","nerger","gmbh","aussteller","galerie","muenchen","werft","knapper","hauptstadt","faber","wohnungen","hertha","thi","gmbh","hamburger","euroteam","neururer","league","borussia","professoren","schiedsrichter","vereine","bundesliga","studium","spielen","quadratmeter","liechtenstein","studiums","muenchen","spiel","millionen","platz","labbadia","abschluesse","youtube","dortmund","ausbildung","cayla","nuernberg","trainer","hochschulen","stadt","kunst","dutt","uni","buehler","reisen","konzert","wirtschaftspsychologe","stiftung","hamburg","akademischen","sammler","landshoff","reisen","beckert","tuerkei","tourismus","anaut","lehrer","gaeste","gst","romanistin","bayern","dortmund","krueger","pilot","tuerkei","hotels","sport","virus","liga","abgesagt","semester"
