"","2001-01-01","2001-04-01","2001-07-01","2001-10-01","2002-01-01","2002-04-01","2002-07-01","2002-10-01","2003-01-01","2003-04-01","2003-07-01","2003-10-01","2004-01-01","2004-04-01","2004-07-01","2004-10-01","2005-01-01","2005-04-01","2005-07-01","2005-10-01","2006-01-01","2006-04-01","2006-07-01","2006-10-01","2007-01-01","2007-04-01","2007-07-01","2007-10-01","2008-01-01","2008-04-01","2008-07-01","2008-10-01","2009-01-01","2009-04-01","2009-07-01","2009-10-01","2010-01-01","2010-04-01","2010-07-01","2010-10-01","2011-01-01","2011-04-01","2011-07-01","2011-10-01","2012-01-01","2012-04-01","2012-07-01","2012-10-01","2013-01-01","2013-04-01","2013-07-01","2013-10-01","2014-01-01","2014-04-01","2014-07-01","2014-10-01","2015-01-01","2015-04-01","2015-07-01","2015-10-01","2016-01-01","2016-04-01","2016-07-01","2016-10-01","2017-01-01","2017-04-01","2017-07-01","2017-10-01","2018-01-01","2018-04-01","2018-07-01","2018-10-01","2019-01-01","2019-04-01","2019-07-01","2019-10-01","2020-01-01","2020-04-01","2020-07-01","2020-10-01"
"Share (in %) on ""wirtschaft""&""unsicher""-corpus","5.0936","5.0514","5.2668","3.4849","5.1737","6.1376","6.488","4.2447","3.4131","4.4399","4.6959","6.1781","5.6763","4.7684","7.5316","4.8543","6.388","7.2222","12.1913","8.252","6.2107","4.2352","6.8255","8.2836","5.1841","6.1551","6.184","5.5623","5.7016","4.4042","5.2604","5.0815","6.4775","7.1128","7.72","5.6569","6.1475","6.238","4.9151","4.1698","6.1172","7.5324","5.5235","3.8466","4.7556","5.2395","4.8815","4.8394","5.6152","5.6685","7.1481","5.8441","4.0026","4.0524","4.4382","4.6247","5.2718","5.3403","5.6234","5.3258","6.6473","7.6089","4.4147","6.1804","8.2967","9.5114","6.4608","7.6826","8.1469","7.3977","5.0616","7.4477","4.8091","5.0938","5.1337","6.9548","4.6512","4.1572","4.1691","5.7069"
"Share (in %) on ""wirtschaft""-corpus","0.2681","0.2266","0.3301","0.2848","0.2336","0.3524","0.4378","0.2685","0.2927","0.2672","0.215","0.2783","0.2784","0.2286","0.3556","0.2208","0.2389","0.321","0.5678","0.3212","0.2091","0.1592","0.2443","0.3111","0.1727","0.2135","0.3099","0.2728","0.325","0.1952","0.2721","0.3636","0.3954","0.3616","0.3765","0.263","0.3401","0.3852","0.3333","0.26","0.3826","0.4518","0.4819","0.3285","0.3016","0.3481","0.3709","0.3207","0.3595","0.3174","0.4369","0.3011","0.2082","0.1837","0.2589","0.2927","0.3213","0.2794","0.3612","0.3387","0.553","0.6126","0.4653","0.6241","0.8751","0.8134","0.4557","0.6009","0.5457","0.6025","0.4146","0.63","0.4942","0.4048","0.49","0.5843","0.5046","0.4441","0.371","0.5121"
"Share (in Promille) on entire corpus","0.5849","0.4746","0.6784","0.6086","0.5012","0.7401","0.993","0.615","0.6338","0.5469","0.4228","0.5571","0.5576","0.4616","0.6655","0.4294","0.4474","0.6084","1.0289","0.6417","0.3965","0.2882","0.4373","0.5944","0.33","0.4119","0.5933","0.5475","0.6566","0.3899","0.551","0.9296","1.082","0.9492","0.8996","0.5005","0.7737","0.8829","0.7719","0.629","0.9441","1.0751","1.2005","0.828","0.7197","0.8497","0.8897","0.7851","0.8685","0.7712","1.012","0.7044","0.5016","0.4432","0.6065","0.704","0.7506","0.6598","0.845","0.766","1.2781","1.4521","1.0591","1.4547","2.0488","1.8576","1.0566","1.3661","1.2825","1.401","1.0333","1.5594","1.1664","1.0102","1.2448","1.4765","1.4438","1.4059","1.0769","1.4531"
"1","cdu","partei","spd","spd","stoiber","spd","stoiber","schroeder","schroeder","spd","spd","spd","spd","spd","spd","merkel","spd","spd","spd","koalition","spd","merkel","cdu","cdu","stoiber","spd","spd","spd","spd","spd","csu","spd","spd","merkel","spd","spd","spd","merkel","cdu","partei","fdp","fdp","merkel","partei","merkel","merkel","merkel","merkel","fdp","spd","merkel","spd","spd","ramelow","spd","gabriel","merkel","partei","partei","merkel","afd","merkel","merkel","merkel","schulz","schulz","merkel","merkel","spd","spd","merkel","spd","spd","spd","spd","cdu","spd","merkel","soeder","merkel"
"2","spd","schroeder","schill","schroeder","spd","schroeder","schroeder","spd","spd","schroeder","schroeder","schroeder","schroeder","schroeder","cdu","cdu","schroeder","schroeder","merkel","merkel","partei","spd","merkel","partei","seehofer","cdu","merkel","partei","koch","koehler","spd","partei","cdu","koehler","merkel","merkel","fdp","fdp","fdp","gruenen","merkel","merkel","fdp","fdp","fdp","spd","partei","steinbrueck","merkel","ude","spd","lindner","gabriel","adac","gabriel","spd","spd","poschardt","merkel","kanzlerin","cdu","partei","afd","cdu","spd","macron","schulz","fdp","partei","afd","scholz","gruenen","merkel","partei","afd","spd","merkel","fdp","spd","kanzlerin"
"3","schroeder","spd","cdu","gruenen","schroeder","stoiber","spd","kanzler","kanzler","kanzler","stoiber","partei","partei","cdu","schroeder","spd","kanzler","fischer","koalition","spd","cdu","partei","ruettgers","merkel","csu","stoiber","cdu","cdu","csu","cdu","partei","merkel","koch","spd","fdp","fdp","cdu","cdu","merkel","westerwelle","spd","partei","cdu","merkel","partei","roettgen","fdp","spd","spd","merkel","fdp","merkel","koalition","gruenen","koalition","partei","cdu","unfried","gabriel","schroeder","merkel","koalition","spd","partei","partei","spd","seehofer","spd","merkel","merkel","spd","partei","partei","gruenen","partei","partei","cdu","spd","merkel","spd"
"4","gruenen","gruenen","partei","fdp","fdp","partei","kanzler","koalition","partei","cdu","partei","union","cdu","partei","partei","partei","gruenen","muentefering","schroeder","stoiber","merkel","beck","partei","spd","merkel","partei","koalition","beck","partei","merkel","beckstein","cdu","union","cdu","cdu","westerwelle","csu","partei","partei","fdp","cdu","gruenen","spd","gruenen","roesler","fdp","cdu","fdp","partei","partei","seehofer","fdp","partei","merkel","cdu","cdu","csu","gruenen","cdu","partei","spd","kanzlerin","partei","kanzlerin","merkel","partei","afd","koalition","schulz","partei","csu","cdu","cdu","merkel","merkel","merkel","laschet","soeder","scholz","soeder"
"5","partei","cdu","schroeder","partei","partei","koalition","union","gerhard","union","union","kanzler","gruenen","fdp","kanzler","merkel","angela","partei","cdu","union","muentefering","koalition","koalition","spd","ruettgers","spd","huber","kanzlerin","koalition","cdu","csu","koalition","csu","merkel","union","koalition","kanzlerin","partei","schaeuble","union","sarrazin","koalition","cdu","koalition","roesler","westerwelle","cdu","csu","gruenen","cdu","steinbrueck","partei","union","gruenen","partei","merkel","koalition","partei","merkel","parteien","cdu","partei","cdu","csu","afd","gabriel","kohl","spd","partei","koalition","fdp","seehofer","merkel","afd","cdu","gruenen","gruenen","gruenen","cdu","partei","cdu"
"6","fischer","fischer","runde","cdu","fischer","cdu","fdp","regierung","gerhard","partei","gruenen","rau","union","gruenen","hartz","union","cdu","gruenen","angela","angela","oettinger","angela","union","stoiber","partei","koalition","partei","csu","ypsilanti","wulff","gruenen","koalition","fdp","csu","steinmeier","gabriel","dortmund","kanzlerin","koalition","merkel","kanzlerin","angela","kanzlerin","koalition","kanzlerin","partei","angela","cdu","roesler","trittin","koalition","koalition","union","spd","partei","merkel","seehofer","cdu","spd","spd","kanzlerin","spd","cdu","valls","afd","merkel","gruenen","csu","union","cdu","partei","merz","scholz","koalition","cdu","krampkarrenbauer","partei","partei","cdu","bundestag"
"7","funke","pds","stoiber","koalition","union","union","partei","clement","kohl","bocklet","koalition","kanzler","merkel","regierung","kanzler","stoiber","merkel","union","partei","schroeder","union","sozialdemokraten","koalition","koalition","huber","koehler","koch","merkel","koalition","bundespraesident","bayern","kanzlerin","csu","fdp","union","steinmeier","merkel","koalition","gruenen","cdu","union","spd","partei","kanzlerin","glaeseker","roesler","roesler","kanzlerin","schroeder","union","union","gabriel","gbw","gabriel","wowereit","kanzlerin","union","bnd","union","schmidt","gabriel","afd","kanzlerin","angela","cdu","gruenen","kanzlerin","gruenen","csu","csu","kanzlerin","csu","koalition","soeder","sachsen","koalition","fdp","kanzlerin","gruenen","giffey"
