"","2001-01-01","2001-04-01","2001-07-01","2001-10-01","2002-01-01","2002-04-01","2002-07-01","2002-10-01","2003-01-01","2003-04-01","2003-07-01","2003-10-01","2004-01-01","2004-04-01","2004-07-01","2004-10-01","2005-01-01","2005-04-01","2005-07-01","2005-10-01","2006-01-01","2006-04-01","2006-07-01","2006-10-01","2007-01-01","2007-04-01","2007-07-01","2007-10-01","2008-01-01","2008-04-01","2008-07-01","2008-10-01","2009-01-01","2009-04-01","2009-07-01","2009-10-01","2010-01-01","2010-04-01","2010-07-01","2010-10-01","2011-01-01","2011-04-01","2011-07-01","2011-10-01","2012-01-01","2012-04-01","2012-07-01","2012-10-01","2013-01-01","2013-04-01","2013-07-01","2013-10-01","2014-01-01","2014-04-01","2014-07-01","2014-10-01","2015-01-01","2015-04-01","2015-07-01","2015-10-01","2016-01-01","2016-04-01","2016-07-01","2016-10-01","2017-01-01","2017-04-01","2017-07-01","2017-10-01","2018-01-01","2018-04-01","2018-07-01","2018-10-01","2019-01-01","2019-04-01","2019-07-01","2019-10-01","2020-01-01","2020-04-01","2020-07-01","2020-10-01"
"Share (in %) on ""wirtschaft""&""unsicher""-corpus","3.7106","4.0441","6.0193","5.4672","4.6984","3.416","4.4066","4.9907","8.098","8.1326","5.6502","5.032","5.3242","5.7374","5.3743","4.5901","5.0775","3.2133","3.9352","4.5949","8.3692","6.616","8.1327","5.2348","5.747","5.2396","6.2335","5.897","5.2473","6.2336","6.8413","4.4985","4.9137","3.7312","6.3815","3.1045","4.3203","3.0212","5.5003","5.8114","6.6881","5.1655","4.2356","3.9694","6.6193","4.0459","4.6491","7.0718","5.0549","5.2468","4.8197","6.5524","6.2532","5.6696","5.391","6.7854","5.9323","5.5857","6.1067","5.2948","6.7632","4.3554","6.2046","11.2418","11.3431","7.5792","6.335","8.0412","9.7349","12.7031","8.1039","6.1266","6.3971","9.0291","7.6237","7.1634","5.7872","4.342","6.2255","6.2642"
"Share (in %) on ""wirtschaft""-corpus","0.1953","0.1814","0.3773","0.4468","0.2121","0.1962","0.2973","0.3157","0.6946","0.4894","0.2586","0.2267","0.2611","0.275","0.2537","0.2088","0.1899","0.1428","0.1833","0.1788","0.2818","0.2486","0.2911","0.1966","0.1915","0.1817","0.3124","0.2892","0.2991","0.2764","0.3539","0.3218","0.3","0.1897","0.3112","0.1443","0.239","0.1866","0.373","0.3624","0.4183","0.3098","0.3695","0.339","0.4198","0.2688","0.3533","0.4687","0.3236","0.2938","0.2946","0.3376","0.3253","0.257","0.3145","0.4294","0.3615","0.2923","0.3922","0.3367","0.5626","0.3506","0.654","1.1352","1.1965","0.6482","0.4469","0.6289","0.6521","1.0346","0.6639","0.5183","0.6574","0.7174","0.7277","0.6018","0.6279","0.4638","0.554","0.5621"
"Share (in Promille) on entire corpus","0.4261","0.38","0.7754","0.9548","0.4552","0.4119","0.6744","0.7231","1.5038","1.0018","0.5087","0.4537","0.523","0.5554","0.4749","0.406","0.3556","0.2707","0.3321","0.3573","0.5343","0.4503","0.521","0.3756","0.3659","0.3507","0.5981","0.5805","0.6043","0.5519","0.7166","0.8229","0.8208","0.4979","0.7436","0.2747","0.5437","0.4276","0.8638","0.8766","1.0322","0.7373","0.9206","0.8544","1.0018","0.6561","0.8473","1.1472","0.7819","0.7138","0.6824","0.7898","0.7836","0.6201","0.7367","1.0329","0.8446","0.6901","0.9176","0.7615","1.3004","0.8312","1.4885","2.6461","2.8011","1.4802","1.0361","1.4298","1.5324","2.4057","1.6544","1.2828","1.5516","1.7906","1.8485","1.5207","1.7965","1.4684","1.6081","1.595"
"1","israel","china","new","usa","new","bush","bush","krieg","krieg","krieg","irak","china","bush","china","bush","bush","ddt","israel","usa","china","china","china","iran","demokraten","iran","iran","china","iran","clinton","obama","china","obama","obama","obama","uhr","obama","china","obama","obama","obama","aegypten","obama","obama","china","obama","obama","obama","obama","china","obama","china","usa","china","china","china","china","xi","china","iran","china","trump","trump","trump","trump","trump","trump","trump","trump","trump","trump","trump","trump","china","china","china","china","trump","trump","trump","trump"
"2","scharon","usa","israel","afghanistan","york","usa","irak","bush","irak","irak","bush","irak","china","irak","kerry","kerry","bush","usa","bush","land","iran","iran","irak","nato","usa","hongkong","taiwan","irak","iran","china","iran","mccain","china","ddt","kino","china","afghanistan","china","irak","republikaner","obama","china","china","peking","peking","arabischen","chinas","romney","chávez","china","usa","washington","obama","israel","chinesischen","hongkong","israel","iran","china","peking","iran","usa","syrien","usa","usa","usa","usa","china","china","usa","china","china","trump","trump","trump","trump","china","china","usa","biden"
"3","bush","bush","usa","september","usa","israel","usa","usa","bush","usa","new","israel","usa","chinas","irak","china","china","dollar","china","kosovo","irak","chinas","hisbollah","china","china","irak","peking","sanktionen","mccain","israel","peking","bush","iran","iran","cinemaxx","piraten","islam","bharara","washington","china","mubarak","praesident","peking","chinas","china","usa","romney","china","obama","usa","syrien","china","usa","obama","guerra","obama","china","juden","chinas","krieg","obama","obama","obama","trumps","trumps","china","china","usa","usa","china","usa","usa","usa","usa","usa","hongkong","usa","usa","china","usa"
"4","usa","amerika","york","new","amerika","amerikaner","china","irak","usa","sars","kabul","usa","krieg","regierung","amerika","bushs","iran","arabischen","dollar","usa","israel","usa","krieg","kosovo","krieg","china","israel","amerikaner","serbien","chinas","obama","demokraten","peking","china","zeise","bush","chinas","peking","krieg","obamas","kairo","aegypten","amerika","land","chinas","afghanistan","china","chinas","kerry","westen","iran","obama","chinesen","land","peking","chinesischen","chinas","obama","peking","terror","syrien","china","usa","clinton","china","trumps","donald","iran","iran","iran","iran","trumps","chinas","washington","peking","peking","peking","chinesischen","hongkong","china"
"5","barak","amerikanischen","trade","york","krieg","washington","krieg","washington","saddam","amerika","china","krieg","iran","indien","saddam","george","demokratie","land","kosovo","israel","bahr","chinesischen","china","iran","chinas","israel","land","china","peking","peking","mccain","china","clinton","khan","film","krieg","obama","rothemden","republikaner","demokraten","deng","usa","washington","obama","san","washington","peking","chinesen","washington","amerika","obama","afrika","staaten","peking","chinas","peking","land","land","obama","zuma","china","peking","krieg","donald","donald","iran","russland","russland","trumps","kim","peking","peking","peking","peking","chinas","chinesischen","chinesischen","hongkong","chinesischen","trumps"
"6","llosa","washington","terroristen","washington","bush","krieg","george","amerika","krieges","bush","krieg","new","george","bush","usa","praesident","israel","bush","israel","peking","amerika","teheran","steinmeier","nordkorea","irak","krieg","schleyer","syngenta","obama","krieg","chinas","john","chinas","praesident","harburg","iran","sanktionen","demonstranten","weissen","praesidenten","tunesien","peking","libyen","washington","amerikas","gewalt","monopoly","republikaner","kenyatta","chinesischen","tibet","republikaner","chinesische","chinesen","amerika","land","juden","chinas","xi","land","amerika","ttip","praesident","obama","praesident","donald","trumps","trumps","russland","sanktionen","trumps","washington","washington","chinas","chinesischen","usa","russland","russland","russland","praesident"
"7","vargas","new","world","amerika","china","regierung","washington","amerikaner","hussein","amerikaner","york","bush","staaten","land","krieg","w","land","israelische","new","george","land","peking","israel","steinmeier","bienen","land","chinesischen","land","china","regierung","spiele","amerikas","barack","pakistan","usa","chinas","iran","bangkok","china","usa","region","pakistan","land","kim","usa","sanktionen","chinesischen","afrika","usa","chinas","krieg","blasio","chinesischen","anc","land","shanghai","jinping","peking","land","chinas","chinas","amerika","clinton","china","mexiko","russland","nordkorea","sanktionen","chinas","trumps","donald","chinas","russland","chinesische","chinesische","chinas","chinesische","chinesische","biden","demokraten"
"8","china","amerikanische","washington","krieg","september","irak","amerika","george","amerikaner","china","usa","regierung","anschlaege","usa","demokraten","hongkong","abbas","china","land","ikrk","hamas","chinesische","usa","syrien","bush","chinesischen","chen","washington","bush","land","olympischen","praesidenten","chinesischen","praesidenten","abaton","bosaso","cup","soldaten","praesident","amerikaner","china","barack","praesident","arabischen","praesident","land","republikaner","taliban","soldaten","washington","amerikaner","demokraten","chinas","nationen","chinesen","chinas","peking","amerikaner","chinesischen","is","afghanistan","sirte","tuerkei","peking","chinas","putin","amerika","washington","washington","russland","russland","chinesischen","iran","trumps","trumps","chinesische","iran","peking","peking","putin"
"9","taiwan","region","center","terrorismus","irak","dollar","september","nordkorea","george","hongkong","dubai","dollar","scharon","krieg","new","irak","baschir","arafat","fahd","kellenberger","usa","amerikaner","amerika","krieg","land","afrika","taiwans","israel","chinas","rubinger","irak","don","washington","barack","a","afghanistan","peking","yuan","kim","praesident","demonstranten","tunesien","new","chinesischen","aung","iran","demokraten","dollar","netanjahu","muslime","amerikanischen","de","westen","amerika","obama","veteranen","partei","washington","tunesien","afghanistan","peking","land","china","republikaner","praesidenten","uspraesident","peking","chinas","uspraesident","washington","sanktionen","xi","chinesischen","chinesischen","uspraesident","xi","praesident","huawei","trumps","peking"
"10","amerikaner","krieg","anschlaege","terror","terrorismus","israels","amerikaner","amerikanischen","amerika","region","saddam","land","praesident","chinesischen","amerikaner","usa","chinesischen","krieg","peking","regierung","amerikaner","land","bush","usa","teheran","gaza","islamisten","usa","kosovo","tsvangirai","afghanistan","usa","israel","land","d","land","kelek","thailand","bush","barack","arabischen","land","kenia","israel","suu","china","westen","wall","republikaner","amerikaner","staaten","staaten","amerika","chinesischen","schlager","armee","krieg","staaten","usa","syrien","land","mao","staaten","praesident","amerika","chinas","praesidenten","xi","donald","chinas","washington","chinesische","uspraesident","wto","hongkong","praesident","trumps","trumps","praesident","chinesischen"
"11","israelis","w","amerikaner","terroristen","gewalt","kabul","york","regierung","regierung","regierung","afghanistan","taliban","regierung","amerikaner","land","amerikaner","usa","irak","iran","amerika","scharon","bush","libanon","john","george","segev","irak","al","kenia","chaoyun","fang","republikaner","usa","jensen","china","washington","obamas","chinas","lewis","washington","praesident","washington","aegypten","cia","region","vereinigten","pekinger","barack","praesident","barack","ruhani","new","soldaten","asien","vecchio","hongkonger","chinesische","landes","regierung","praesident","usa","is","putin","amerikaner","washington","praesident","sanktionen","russischen","demokraten","peking","chinas","demokraten","chinesische","uspraesident","donald","proteste","chinas","praesident","washington","chinas"
"12","israels","york","amerika","bush","peking","amerika","hongkong","new","praesident","irakkrieg","chinas","york","taiwan","korea","china","chinas","syrien","israelischen","praesidenten","chinas","krieg","ahmadinedschad","sanktionen","irak","soldaten","norden","insel","hillary","afghanistan","chinesischen","chinesen","amerika","praesidenten","arabischen","ucismart","peking","arabischen","shanghai","peking","peking","israel","indien","afghanistan","shiller","washington","praesident","chinesische","demokraten","kim","fuehrung","amerika","land","iran","aegypten","luxottica","irak","nato","usa","shanghai","staaten","is","barack","praesidenten","tpp","peking","syrien","praesident","donald","mexiko","uspraesident","zoelle","donald","trumps","donald","xi","russland","putin","chinas","chinesische","donald"
"13","israelischen","land","bush","anschlaegen","polizei","china","regierung","praesident","washington","land","dollar","hongkong","kerry","peking","regierung","peking","george","praesident","chinas","krieg","nahen","kanal","konflikt","soldaten","chinesischen","marine","iran","obama","romney","wei","land","barack","land","hisbollah","park","praesident","fromm","republikaner","barack","chinas","washington","praesidenten","dollar","usa","iran","tourismus","jerusalem","obamas","dollar","gujarat","chinas","vereinigten","washington","staaten","usa","soldaten","terror","kim","staaten","chinesischen","staaten","libyen","amerika","wahlkampf","amerikanischen","moskau","chinas","amerika","obama","donald","mexiko","praesident","li","russland","washington","demonstranten","donald","amerikaner","lukaschenko","joe"
"14","reagan","staaten","krieg","land","washington","new","new","york","irakischen","asien","bagdad","mesa","september","george","york","europaeer","jakarta","abbas","saakaschwili","indien","georgien","carl","soldaten","bush","peking","gewalt","chinesische","jazeera","olmert","afghanistan","chinesischen","irak","praesident","toyotastadt","wandsbek","obamas","koenig","chinesischen","obamas","amerikas","land","kairo","barack","wall","dollar","kriege","amerika","praesident","kenia","wto","peking","suedafrika","land","regierung","del","chinesen","tunesien","ttip","jinping","nato","praesident","li","republikaner","hillary","amerikaner","washington","kongress","praesident","peking","stahl","dollar","praesidenten","donald","iran","chinesen","volksrepublik","xi","land","indien","chinesische"
