"","2001-01-01","2001-04-01","2001-07-01","2001-10-01","2002-01-01","2002-04-01","2002-07-01","2002-10-01","2003-01-01","2003-04-01","2003-07-01","2003-10-01","2004-01-01","2004-04-01","2004-07-01","2004-10-01","2005-01-01","2005-04-01","2005-07-01","2005-10-01","2006-01-01","2006-04-01","2006-07-01","2006-10-01","2007-01-01","2007-04-01","2007-07-01","2007-10-01","2008-01-01","2008-04-01","2008-07-01","2008-10-01","2009-01-01","2009-04-01","2009-07-01","2009-10-01","2010-01-01","2010-04-01","2010-07-01","2010-10-01","2011-01-01","2011-04-01","2011-07-01","2011-10-01","2012-01-01","2012-04-01","2012-07-01","2012-10-01","2013-01-01","2013-04-01","2013-07-01","2013-10-01","2014-01-01","2014-04-01","2014-07-01","2014-10-01","2015-01-01","2015-04-01","2015-07-01","2015-10-01","2016-01-01","2016-04-01","2016-07-01","2016-10-01","2017-01-01","2017-04-01","2017-07-01","2017-10-01","2018-01-01","2018-04-01","2018-07-01","2018-10-01","2019-01-01","2019-04-01","2019-07-01","2019-10-01","2020-01-01","2020-04-01","2020-07-01","2020-10-01"
"Share (in %) on ""wirtschaft""&""unsicher""-corpus","12.4026","13.8246","11.2703","11.5152","11.5415","11.0541","9.1258","10.5362","10.1982","11.1607","11.8739","13.4596","13.0245","10.737","14.3094","14.3634","14.7764","16.4494","14.1172","16.2419","17.5093","14.6636","14.6963","16.304","12.8655","14.5017","11.4245","10.7679","10.6789","12.5093","11.6999","9.9193","10.5234","11.0334","10.1431","11.1085","10.3592","10.2601","9.0925","10.055","8.2646","9.739","8.9462","9.0317","8.7802","8.693","10.6944","12.1399","10.0894","11.0668","11.4211","11.3795","9.8022","10.0915","10.6917","9.9262","12.333","13.0787","10.4509","11.4519","12.6016","11.2176","11.6605","11.4536","12.4038","11.2561","11.5337","11.2896","12.4824","9.4487","10.6592","10.4841","9.0455","11.0437","9.9056","10.3926","10.2366","12.0994","10.7007","10.3258"
"Share (in %) on ""wirtschaft""-corpus","0.6528","0.6202","0.7064","0.9411","0.5211","0.6348","0.6157","0.6665","0.8747","0.6716","0.5436","0.6063","0.6388","0.5147","0.6755","0.6533","0.5526","0.731","0.6575","0.6321","0.5895","0.5511","0.526","0.6124","0.4287","0.503","0.5726","0.5281","0.6087","0.5546","0.6052","0.7097","0.6424","0.5609","0.4947","0.5164","0.5731","0.6336","0.6166","0.627","0.5169","0.5841","0.7805","0.7714","0.5568","0.5775","0.8126","0.8046","0.646","0.6197","0.698","0.5863","0.5099","0.4574","0.6237","0.6281","0.7516","0.6843","0.6712","0.7283","1.0483","0.9031","1.2291","1.1566","1.3084","0.9626","0.8136","0.883","0.8361","0.7696","0.8732","0.8869","0.9295","0.8775","0.9455","0.8731","1.1106","1.2924","0.9522","0.9266"
"Share (in Promille) on entire corpus","1.4243","1.2989","1.4518","2.0111","1.1181","1.333","1.3967","1.5267","1.8938","1.3747","1.069","1.2136","1.2793","1.0393","1.2643","1.2705","1.035","1.3858","1.1914","1.263","1.1177","0.9979","0.9416","1.1699","0.8191","0.9705","1.0961","1.0599","1.2297","1.1076","1.2255","1.8146","1.7578","1.4724","1.1819","0.9829","1.3038","1.4521","1.4279","1.5167","1.2755","1.39","1.9444","1.9441","1.3288","1.4097","1.9492","1.9694","1.5605","1.5056","1.617","1.3717","1.2284","1.1038","1.4611","1.511","1.7559","1.6158","1.5704","1.6471","2.423","2.1408","2.7974","2.6959","3.063","2.1983","1.8863","2.0074","1.9649","1.7894","2.176","2.1952","2.194","2.1901","2.4018","2.2063","3.1777","4.0918","2.764","2.6292"
"1","welt","welt","welt","welt","welt","welt","welt","welt","welt","welt","welt","welt","welt","welt","welt","welt","welt","welt","welt","welt","welt","welt","welt","welt","welt","welt","menschen","menschen","menschen","menschen","welt","menschen","freiheit","menschen","politik","wissenschaft","menschen","freiheit","gesellschaft","gesellschaft","menschen","menschen","menschen","menschen","menschen","menschen","menschen","menschen","keynes","menschen","menschen","menschen","menschen","menschen","generation","menschen","menschen","menschen","menschen","menschen","fluechtlinge","menschen","menschen","menschen","menschen","menschen","menschen","menschen","menschen","menschen","menschen","freiheit","menschen","menschen","menschen","menschen","menschen","menschen","menschen","menschen"
"2","menschen","politik","stammzellen","deutschland","europa","gesellschaft","menschen","deutschland","deutschland","menschen","deutschland","menschen","menschen","menschen","menschen","deutschland","menschen","deutschland","menschen","europa","politik","globalisierung","menschen","gesellschaft","menschen","politik","welt","welt","globalisierung","politik","menschen","politik","menschen","politik","vertrauen","menschen","politik","menschen","menschen","verantwortung","politik","politik","politik","wissenschaft","frey","politik","friedman","mittelschicht","menschen","marktwirtschaft","gesellschaft","freiheit","europa","welt","menschen","fluechtlinge","freiheit","europa","fluechtlinge","fluechtlinge","menschen","gesellschaft","globalisierung","gesellschaft","globalisierung","globalisierung","gesellschaft","gesellschaft","sozialen","politik","gesellschaft","menschen","gesellschaft","europa","gesellschaft","freiheit","gesellschaft","gesellschaft","gesellschaft","gesellschaft"
"3","politik","deutschland","menschen","menschen","deutschland","menschen","deutschland","gesellschaft","menschen","deutschland","gesellschaft","deutschland","politik","deutschland","politik","menschen","deutschland","menschen","deutschland","menschen","gesellschaft","freiheit","gesellschaft","politik","politik","menschen","gesellschaft","politik","gesellschaft","welt","marktwirtschaft","staat","politik","gesellschaft","menschen","politik","gesellschaft","politik","politik","politik","gesellschaft","gesellschaft","gesellschaft","gesellschaft","freiheit","gesellschaft","politik","gesellschaft","politik","freiheit","staat","gesellschaft","gesellschaft","europa","heute","heute","gesellschaft","wissenschaft","gesellschaft","gesellschaft","gesellschaft","integration","gesellschaft","globalisierung","gesellschaft","gesellschaft","europa","globalisierung","gesellschaft","gesellschaft","demokratie","mittelschicht","demokratie","demokratie","politik","gesellschaft","welt","leben","bildung","wissenschaft"
"4","gesellschaft","menschen","deutschland","politik","sicherheit","politik","heute","menschen","politik","politik","politik","politik","gesellschaft","politik","deutschland","europa","staat","europa","gibt","deutschland","deutschland","menschen","europa","soziale","globalisierung","gesellschaft","reformen","freiheit","deutschland","sozialen","politik","welt","marktwirtschaft","welt","system","freiheit","freiheit","vertrauen","freiheit","menschen","gibt","soziale","wissen","heute","demokratie","wissen","wohlstand","bildung","schirrmacher","gesellschaft","politik","staat","freiheit","gesellschaft","gesellschaft","gesellschaft","demokratie","shiller","weizsaecker","bevoelkerung","deutschland","politischen","deutschland","europa","welt","europa","buerger","politik","soziale","zukunft","politik","demokratie","soziale","gesellschaft","leben","demokratie","leben","demokratie","bevoelkerung","freiheit"
"5","deutschland","europa","politik","europa","gesellschaft","politischen","politik","politik","heute","heute","menschen","forschung","sicherheit","gibt","soziale","heute","politik","politik","heute","politik","radkau","deutschland","tun","menschen","europa","freiheit","politik","veltroni","politik","staat","sozialen","vertrauen","welt","arbeit","gesellschaft","gesellschaft","marktwirtschaft","staat","kittelmann","welt","angst","wissen","studien","arbeit","heute","rationalitaet","heute","gibt","oekonomie","staat","sozialen","heute","demokratie","politik","tun","leben","kapitalismus","gesellschaft","heute","angst","europa","heute","welt","demokratie","europa","demokratie","arbeit","soziale","europa","muenkler","generation","gesellschaft","herr","soziale","politischen","marktwirtschaft","denken","soziale","leben","politik"
"6","heute","fragen","beispiel","gibt","freiheit","heute","staat","gibt","gesellschaft","gesellschaft","heute","gibt","deutschland","europa","gibt","politik","gibt","gibt","politik","staat","europa","heute","fragen","sozialen","freiheit","staat","sozialen","soziale","welt","globalisierung","soziale","gesellschaft","jacobs","staat","demokratie","entscheidungen","jahrhundert","gesellschaft","politische","staat","politischen","politiker","welt","gibt","generation","denken","politischen","leben","agenda","wohlstand","freiheit","vertrauen","heute","heute","wissen","gibt","welt","freiheit","deutschland","politik","politik","demokratie","mathematik","politik","politik","deutschland","gibt","gibt","politik","soziale","deutschland","leben","politik","buerger","demokratie","politik","politik","welt","soziale","politische"
"7","europa","gesellschaft","gibt","heute","heute","vertrauen","europa","vertrauen","gibt","gibt","gibt","winnacker","zukunft","gesellschaft","gesellschaft","gibt","heute","heute","gesellschaft","gibt","freiheit","europa","staat","deutschland","staat","deutschland","demokratie","sicherheit","dichtung","gesellschaft","gesellschaft","globalisierung","meier","marktwirtschaft","politischen","sicherheit","beck","sozialen","demokratie","politiker","heute","arbeit","award","welt","gesellschaft","entscheidungen","gesellschaft","freiheit","staat","heute","soziale","leben","politik","staat","gibt","kahneman","fukuyama","ungleichheit","politik","deutschland","bevoelkerung","welt","europa","freiheit","demokratie","politik","glaube","sozialen","heute","sozialen","heute","globalisierung","europa","welt","freiheit","welt","soziale","krise","freiheit","buerger"
"8","tun","wissen","marktwirtschaft","gesellschaft","menschen","europa","gesellschaft","zukunft","europa","zukunft","gerechtigkeit","soziale","heute","vertrauen","heute","frage","gesellschaft","gesellschaft","staat","freiheit","gibt","politik","politik","globalisierung","zukunft","globalisierung","tun","gesellschaft","sozialen","wissenschaft","demokratie","kapitalismus","globalisierung","jahrhunderts","sicherheit","forscher","welt","mittelschicht","milieu","verstanden","fortschritt","demokratie","fragen","luebbe","politik","einzelnen","smith","heute","gesellschaft","gibt","debatte","gibt","recht","brauchen","welt","politik","generation","buerger","gibt","fluechtlingen","politischen","leben","politik","soziale","ungleichheit","buch","politik","europa","demokratie","leben","soziale","deutschland","freiheit","politik","denken","freie","globalisierung","politik","politik","krise"
"9","verantwortung","heute","heute","globalisierung","tun","tun","fragen","staat","staat","europa","zukunft","europa","gibt","buerger","bevoelkerung","beispiel","sicherheit","fragen","beispiel","heute","menschen","staat","forschung","verantwortung","wirtschaftliche","europa","globalisierung","globalisierung","heute","mittelschicht","deutschland","marktwirtschaft","staat","lama","laesst","verantwortung","keynes","demokratie","streeck","wissen","sicherheit","entscheidungen","buerger","verantwortung","buch","integration","arbeit","soziale","oekonomische","soziale","heute","marktwirtschaft","deutschland","gibt","ungleichheit","welt","gibt","politik","populismus","gibt","schaffen","ungleichheit","buerger","populismus","soziale","soziale","freiheit","deutschland","populisten","glaube","fuehlen","politik","denken","sozialen","gibt","leben","freiheit","denken","covid","welt"
"10","frage","entwicklung","globalisierung","frage","frage","deutschland","gibt","heute","buerger","frage","milberg","staat","buerger","fragen","staat","tun","frage","sozialen","freiheit","sicherheit","fragen","soziale","gibt","europa","wettbewerb","leben","soziale","sozialen","gibt","natur","freiheit","heute","denken","heute","staat","fragen","staat","wissen","sozialen","buerger","freiheit","welt","denken","wissen","sozialen","realitaet","nachhaltig","buch","recht","politik","buerger","buch","verhalten","wissen","brauchen","fragen","herr","leben","politischen","heute","arbeit","glaube","integration","deutschland","heute","buerger","demokratie","herr","deutschland","globalisierung","gibt","populisten","heute","heute","generation","sozialen","macht","angst","politischen","pandemie"
"11","gibt","frage","europa","beispiel","recht","gibt","beispiel","deutschen","zukunft","gerade","wissenschaft","heute","tun","heute","wissen","zukunft","tun","deutschen","buerger","judt","mak","keynes","deutschland","bildung","heute","gibt","jahrhundert","staat","soziale","freiheit","globalisierung","verantwortung","soziale","sozialen","politiker","welt","buch","leben","entscheidungen","gibt","staat","denken","muentefering","brauchen","kapitalismus","gibt","kapitalismus","palmer","heute","kapitalismus","europa","eucken","gerechtigkeit","soziale","verantwortung","generation","heute","gibt","glaube","leben","aufgabe","buerger","fluechtlinge","herr","angst","heute","heute","welt","erhard","integration","jungen","europa","autor","brauchen","zukunft","bevoelkerung","politische","bevoelkerung","sozialen","denken"
"12","europaeischen","deutschen","embryonen","staat","gibt","globalisierung","politischen","europa","tun","tun","fragen","buerger","fragen","frage","fragen","politischen","wissen","buerger","deutschen","gesellschaft","gracián","tun","zukunft","frage","wissen","rolle","jahrhunderts","heute","staat","sicherheit","bildung","europa","oekonomen","buch","verantwortung","aufgabe","brauchen","tun","soziale","mitte","tun","hume","sozialen","handelsblatt","wissen","verantwortung","sozialen","wohlstand","herr","europa","wissen","soziale","verantwortung","buerger","politik","wissen","gerechtigkeit","arbeit","fragen","freiheit","ungleichheit","sicherheit","sozialen","welt","leben","glaube","frage","demokratie","welt","leute","integration","liberale","buerger","globalisierung","heute","brauchen","klimawandel","politische","globalisierung","leben"
"13","fragen","verantwortung","soziale","fragen","globalisierung","staat","buerger","sozialen","fragen","fragen","freiheit","gerechtigkeit","laesst","land","buerger","gerade","bevoelkerung","land","vertrauen","zukunft","sozialen","gesellschaft","fuehren","deutschen","erhard","wirtschaftswissenschaft","zeit","agenda","wissen","frage","denken","frage","heute","erhard","moderne","daten","schwenker","zukunft","heute","politischen","gelingen","knapen","gibt","plosser","soziale","system","gemeinsame","staat","theorie","thatcher","einzelnen","politik","leben","system","buch","wissenschaftler","werte","heute","integration","welt","jahrhundert","europa","ungleichheit","buerger","gibt","ungleichheit","herr","moderne","buerger","marktwirtschaft","gesellschaftlichen","buerger","globalisierung","marktwirtschaft","glaube","heute","europa","freiheit","welt","soziale"
"14","recht","deutsche","frage","politischen","neue","biopolitik","globalisierung","globalisierung","politischen","staat","alten","brauchen","beispiel","beispiel","recht","veraenderungen","fragen","herr","miklos","buerger","frage","gibt","globalisierung","sicherheit","gesellschaft","institutionen","brodbeck","grenzen","anreize","heute","heute","gibt","demokratie","soziale","kapitalismus","wissenschaftlichen","sicherheit","sinn","mittelschicht","recht","arbeit","grundgesetz","politiker","wohlstand","bildung","zukunft","mittelschicht","einzelnen","politischen","herr","welt","welt","werte","vertrauen","wissenschaft","autor","politik","generation","theorie","wissenschaft","heute","gibt","heute","sozialen","sozialen","herr","leben","leben","leben","demokratie","denken","soziale","beispiel","geschichte","herr","soziale","tun","buerger","generation","zukunft"
