"","2001-01-01","2001-04-01","2001-07-01","2001-10-01","2002-01-01","2002-04-01","2002-07-01","2002-10-01","2003-01-01","2003-04-01","2003-07-01","2003-10-01","2004-01-01","2004-04-01","2004-07-01","2004-10-01","2005-01-01","2005-04-01","2005-07-01","2005-10-01","2006-01-01","2006-04-01","2006-07-01","2006-10-01","2007-01-01","2007-04-01","2007-07-01","2007-10-01","2008-01-01","2008-04-01","2008-07-01","2008-10-01","2009-01-01","2009-04-01","2009-07-01","2009-10-01","2010-01-01","2010-04-01","2010-07-01","2010-10-01","2011-01-01","2011-04-01","2011-07-01","2011-10-01","2012-01-01","2012-04-01","2012-07-01","2012-10-01","2013-01-01","2013-04-01","2013-07-01","2013-10-01","2014-01-01","2014-04-01","2014-07-01","2014-10-01","2015-01-01","2015-04-01","2015-07-01","2015-10-01","2016-01-01","2016-04-01","2016-07-01","2016-10-01","2017-01-01","2017-04-01","2017-07-01","2017-10-01","2018-01-01","2018-04-01","2018-07-01","2018-10-01","2019-01-01","2019-04-01","2019-07-01","2019-10-01","2020-01-01","2020-04-01","2020-07-01","2020-10-01"
"Share (in %) on ""wirtschaft""&""unsicher""-corpus","6.1307","6.3767","5.9791","7.8786","7.5708","6.2626","5.1281","9.927","6.8671","8.6213","9.5476","10.0344","7.8435","8.576","7.8932","6.3646","11.5926","8.1968","5.6458","6.2612","7.8991","6.9061","7.1912","9.1642","8.0558","7.4273","6.3006","7.7522","6.4727","7.702","5.7686","6.6946","6.9866","8.0893","6.7769","6.3294","8.1596","6.6762","7.5552","6.041","7.5224","6.6325","5.4931","5.4156","7.2708","6.3253","5.9793","6.3508","6.9879","6.6323","5.8071","7.2041","6.5173","5.4894","6.0729","6.0771","6.2225","7.6404","6.4092","6.7689","6.0294","6.837","5.3873","5.0119","5.2033","4.9826","7.0385","7.4254","6.6944","6.0466","6.9621","5.7509","5.9166","6.0928","6.4959","6.3196","7.8823","10.8599","8.9728","8.6938"
"Share (in %) on ""wirtschaft""-corpus","0.3227","0.2861","0.3748","0.6439","0.3418","0.3596","0.346","0.628","0.589","0.5188","0.4371","0.452","0.3847","0.4111","0.3726","0.2895","0.4335","0.3643","0.2629","0.2437","0.2659","0.2595","0.2574","0.3442","0.2684","0.2576","0.3158","0.3802","0.369","0.3415","0.2984","0.479","0.4265","0.4112","0.3305","0.2942","0.4514","0.4123","0.5123","0.3767","0.4705","0.3978","0.4792","0.4625","0.4611","0.4202","0.4543","0.4209","0.4474","0.3714","0.3549","0.3712","0.339","0.2488","0.3543","0.3846","0.3792","0.3998","0.4116","0.4305","0.5016","0.5504","0.5679","0.5061","0.5489","0.4261","0.4965","0.5807","0.4484","0.4925","0.5703","0.4865","0.608","0.4841","0.62","0.5309","0.8552","1.16","0.7985","0.7801"
"Share (in Promille) on entire corpus","0.704","0.5991","0.7702","1.376","0.7334","0.7552","0.7848","1.4384","1.2752","1.0619","0.8596","0.9048","0.7704","0.8302","0.6974","0.563","0.812","0.6905","0.4765","0.4869","0.5043","0.47","0.4607","0.6576","0.5129","0.4971","0.6045","0.7631","0.7454","0.6819","0.6042","1.2247","1.167","1.0795","0.7897","0.56","1.027","0.9449","1.1865","0.9112","1.161","0.9467","1.1939","1.1657","1.1004","1.0257","1.0898","1.0303","1.0808","0.9023","0.8222","0.8684","0.8167","0.6004","0.8299","0.925","0.8859","0.944","0.9631","0.9735","1.1593","1.3048","1.2924","1.1797","1.2849","0.9731","1.1511","1.3203","1.0538","1.1451","1.4213","1.2041","1.435","1.2083","1.5751","1.3416","2.4469","3.6726","2.3177","2.2137"
"1","bundesregierung","bundesregierung","eichel","bundesregierung","ig","ig","bundesregierung","euro","clement","eichel","bundesregierung","eichel","clement","eichel","hartz","reform","eichel","bundesregierung","euro","bundesregierung","bund","bundesregierung","patienten","reform","bundesregierung","euro","bahn","bahn","riester","arbeitnehmer","ig","ig","bundesregierung","bundesregierung","scholz","koalitionsvertrag","bundesregierung","bundesregierung","bundesregierung","bundesregierung","bruederle","bundesregierung","bundesregierung","bundesregierung","metall","bundesregierung","bundesregierung","aerzte","bahn","bund","euro","kommission","urteil","mindestlohn","bund","bundesregierung","mindestlohn","bund","gesetz","urteil","bundesregierung","spd","edeka","rewe","fluechtlinge","glyphosat","gesetz","glyphosat","koalitionsvertrag","dsgvo","bund","asylbewerber","richtlinie","bundesregierung","altmaier","bundesregierung","bundesregierung","bundesregierung","bundesregierung","bundesregierung"
"2","eichel","gesetz","bundesregierung","eichel","bundesregierung","metall","eichel","bundesregierung","bundesregierung","bundesregierung","eichel","bundesregierung","bundesregierung","euro","iv","hartz","clement","euro","thumann","euro","regierung","reform","bahn","bundesregierung","euro","spd","bundesregierung","mindestlohn","steinbrueck","bundesregierung","metall","bundesregierung","bund","arbeitnehmer","patienten","arbeitnehmer","berlin","berlin","bruederle","bka","bundesregierung","handelsblatt","handelsblatt","bund","ig","metall","bund","patienten","bund","bundesregierung","gesetz","mindestlohn","schufa","bund","gewerkschaften","gesetz","spd","fall","arbeit","gesetz","gabriel","nahles","gabriel","tengelmann","spd","fahrverbote","bundesregierung","fluechtlinge","bund","bundesregierung","rente","gesetz","bundesregierung","gesetz","bundesregierung","diw","altmaier","bund","gesetz","duerfen"
"3","gesetz","bund","spd","ig","metall","eichel","euro","eichel","kuendigungsschutz","euro","clement","euro","reform","clement","ii","euro","hartz","arbeitnehmer","bundesregierung","bund","bundesregierung","schmoldt","bundesregierung","arbeitnehmer","erbschaftsteuer","spidla","thumann","euro","gesetz","bahn","euro","metall","schmidt","renten","bundesregierung","bundesregierung","bruederle","bruederle","gesetz","berlin","datenschutz","bund","schaeuble","verbraucher","bundesregierung","bund","kassen","kassen","stuttgart","kommission","cdu","euro","richter","euro","euro","arbeitgeber","arbeitgeber","gewerkschaften","arbeitnehmer","reform","spd","rente","zeitarbeit","kaisers","bundesregierung","rente","fluechtlinge","bundesregierung","spd","verordnung","ausbildung","heil","verfahren","dsgvo","heil","rente","gesetz","schulen","bund","euro"
"4","gewerkschaften","spd","ig","zwickel","gewerkschaften","arbeitgeber","regierung","clement","gewerkschaften","eigenheimzulage","euro","steuerreform","gerster","bundesregierung","clement","iv","bundesregierung","unternehmen","regierung","patienten","reform","euro","bund","schmoldt","spd","arbeitnehmer","bund","gdl","berlin","gesetz","bundesregierung","glos","arbeitnehmer","bund","berlin","schaeuble","mundt","patienten","kannegiesser","kommunen","berlin","bruederle","fordert","kommission","forderung","ig","reform","kommission","kommission","ig","werkvertraege","bundesregierung","gericht","staatsanwaltschaft","erbschaftsteuer","arbeitnehmer","gesetz","muesse","arbeitgeber","aerzte","fluechtlinge","erbschaftsteuer","tengelmann","edeka","gesetz","bundesregierung","ig","bund","bundesregierung","arbeitnehmer","glyphosat","bundesregierung","dsgvo","altersvorsorge","spd","metall","arbeitgeber","betriebe","altmaier","dihk"
"5","rechtssicherheit","gewerkschaften","hans","gewerkschaften","eichel","bundesregierung","bund","regierung","arbeitnehmer","milliarden","spd","spd","euro","spd","gewerkschaften","arbeitnehmer","gesetz","eichel","erhoehung","spd","euro","ausgaben","spd","euro","steinbrueck","kommission","steinbrueck","bund","bundesregierung","euro","kassen","arbeitnehmer","bahn","euro","arbeitnehmer","reform","bund","medikamente","handelsblatt","bruederle","kartellamt","behoerden","hundt","schaechter","zeitarbeit","schaeuble","zeitarbeit","bund","mehrkosten","metall","kommission","werft","mindestlohn","kommission","arbeitnehmer","gewerkschaften","bund","streik","fluechtlinge","mindestlohn","gesetz","gesetz","kaisers","ministererlaubnis","nahles","verfahren","fahrverbote","reform","euro","gesetzlichen","deutschland","euro","reform","kommunen","kommunen","vorgaben","beschaeftigten","duerfen","arbeitgeber","altmaier"
"6","arbeitnehmer","arbeitnehmer","steuerreform","metall","euro","gesetz","vorschlaege","spd","reform","spd","gerster","berlin","ba","mrd","arbeitslosengeld","eichel","euro","hundt","union","koalition","gewerkschaften","elterngeld","flugsicherung","bund","rente","bundesregierung","gesetz","bundesregierung","bund","arbeitgeber","arbeitgeber","berlin","kassen","konjunkturpaket","bund","bruederle","reform","geplante","gutachten","reform","schaeuble","gutachten","leyen","gesetz","kannegiesser","schlecker","metall","bundesregierung","euro","piloten","bundesregierung","rente","euro","urteil","gesetz","bund","mietpreisbremse","vorschlag","asylbewerber","spd","kosten","reform","gesetz","bundesregierung","arbeitsmarkt","iarc","kommunen","beschaeftigten","deutschland","rente","arbeitsmarkt","migranten","regeln","heil","gesetz","gesetz","dsgvo","kurzarbeit","beschaeftigten","massnahmen"
"7","steuerreform","reform","finanzminister","tarifrunde","arbeit","streik","berlin","berlin","arbeitgeber","berlin","rente","rentner","eichel","gewerkschaften","reform","bundesregierung","iv","gesetz","gewerkschaften","arbeitnehmer","spd","steinbrueck","steinbrueck","kassen","kommission","arbeit","spd","arbeitnehmer","glos","reform","forderung","steinbrueck","ig","regierung","bahn","verfahren","gesetz","handelsblatt","verlaengerung","handelsblatt","einfuehrung","schaeuble","reform","behoerden","forderungen","gewerkschaft","aerzte","gesetz","bundesregierung","euro","hre","kommunen","verfahren","gesetz","bundesregierung","mindestlohn","union","bundesregierung","beschaeftigten","bund","arbeitgeber","maizière","ministererlaubnis","fluechtlinge","euro","spd","spd","bamf","rente","kommission","bundesregierung","duerfen","betroffenen","alter","euro","beschaeftigten","bund","gesetz","unternehmen","gesetz"
