"","2001-01-01","2001-04-01","2001-07-01","2001-10-01","2002-01-01","2002-04-01","2002-07-01","2002-10-01","2003-01-01","2003-04-01","2003-07-01","2003-10-01","2004-01-01","2004-04-01","2004-07-01","2004-10-01","2005-01-01","2005-04-01","2005-07-01","2005-10-01","2006-01-01","2006-04-01","2006-07-01","2006-10-01","2007-01-01","2007-04-01","2007-07-01","2007-10-01","2008-01-01","2008-04-01","2008-07-01","2008-10-01","2009-01-01","2009-04-01","2009-07-01","2009-10-01","2010-01-01","2010-04-01","2010-07-01","2010-10-01","2011-01-01","2011-04-01","2011-07-01","2011-10-01","2012-01-01","2012-04-01","2012-07-01","2012-10-01","2013-01-01","2013-04-01","2013-07-01","2013-10-01","2014-01-01","2014-04-01","2014-07-01","2014-10-01","2015-01-01","2015-04-01","2015-07-01","2015-10-01","2016-01-01","2016-04-01","2016-07-01","2016-10-01","2017-01-01","2017-04-01","2017-07-01","2017-10-01","2018-01-01","2018-04-01","2018-07-01","2018-10-01","2019-01-01","2019-04-01","2019-07-01","2019-10-01","2020-01-01","2020-04-01","2020-07-01","2020-10-01"
"Share (in %) on ""wirtschaft""&""unsicher""-corpus","9.4472","10.9979","9.562","8.2219","11.7857","9.4907","9.3945","9.0717","6.3917","9.3791","11.2843","12.9216","11.2463","11.6074","10.9775","13.3427","12.5805","10.4832","12.1561","14.3057","10.8738","12.0451","9.4556","12.9631","12.0843","11.6458","10.7858","9.5829","9.3989","10.7687","10.3017","10.9191","12.3889","11.8112","10.5463","10.5656","9.2209","8.5958","9.0112","11.487","8.0628","11.6199","7.3282","8.0802","8.8244","9.0923","9.5053","9.6565","10.3413","11.3548","10.1398","10.825","11.9663","13.0141","10.1983","12.15","11.8141","11.1401","10.5887","10.8512","10.1544","10.1596","8.5626","9.9532","9.3311","10.2433","10.3943","9.28","11.5425","8.0619","8.8636","10.0502","9.0249","6.4114","8.5309","8.6132","11.3468","10.3638","10.0974","9.8153"
"Share (in %) on ""wirtschaft""-corpus","0.4973","0.4934","0.5994","0.672","0.5321","0.545","0.6339","0.5739","0.5482","0.5644","0.5166","0.5821","0.5516","0.5564","0.5182","0.6069","0.4705","0.4659","0.5661","0.5568","0.3661","0.4527","0.3385","0.4869","0.4027","0.404","0.5406","0.47","0.5358","0.4774","0.5329","0.7812","0.7563","0.6004","0.5143","0.4911","0.5102","0.5308","0.6111","0.7163","0.5043","0.6969","0.6393","0.6901","0.5596","0.604","0.7223","0.64","0.6621","0.6359","0.6197","0.5578","0.6225","0.5898","0.5949","0.7689","0.72","0.5829","0.68","0.6901","0.8447","0.8179","0.9025","1.0051","0.9842","0.876","0.7332","0.7258","0.7732","0.6566","0.7261","0.8502","0.9274","0.5094","0.8143","0.7236","1.2311","1.107","0.8986","0.8808"
"Share (in Promille) on entire corpus","1.0849","1.0333","1.2317","1.4359","1.1418","1.1445","1.4378","1.3145","1.1869","1.1553","1.016","1.1651","1.1047","1.1236","0.9699","1.1802","0.8812","0.8832","1.0259","1.1125","0.6941","0.8197","0.6058","0.9302","0.7693","0.7794","1.0348","0.9433","1.0823","0.9534","1.0791","1.9975","2.0694","1.5761","1.2289","0.9348","1.1605","1.2166","1.4152","1.7327","1.2444","1.6585","1.5927","1.7393","1.3355","1.4744","1.7324","1.5665","1.5995","1.5447","1.4356","1.3048","1.4996","1.4234","1.3937","1.8495","1.682","1.3763","1.5911","1.5607","1.9524","1.9389","2.0542","2.3428","2.3042","2.0005","1.7","1.6501","1.817","1.5268","1.8095","2.1043","2.1889","1.2715","2.0685","1.8285","3.5223","3.5048","2.6082","2.4992"
"1","frau","leben","menschen","mann","kinder","menschen","mann","leben","mann","menschen","leben","leben","leben","leben","juergens","s","frauen","ruge","mann","leben","frauen","leben","menschen","clapton","uhr","mann","leben","kinder","leben","kinder","kinder","leben","frau","mann","mo","frau","leben","frau","kinder","vater","frauen","frauen","frau","leben","kinder","frauen","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","frauen","  ","  ","frauen","  ","  ","  ","  ","kinder","kinder","  ","  ","frauen","  ","  ","  ","  ","  ","  ","  ","  ","  ","  "
"2","menschen","mann","leben","menschen","leben","mann","menschen","augstein","menschen","mann","menschen","geschichte","kinder","mann","frauen","menschen","heute","frauen","menschen","menschen","film","kinder","leben","cale","frauen","frau","kinder","mann","hacks","leben","frauen","mann","mann","vater","mann","sandmann","frau","mann","leben","kinder","eltern","leben","frauen","frauen","leben","walser","ulvi","kinder","mann","frauen","frauen","kinder","kinder","mann","leben","eltern","leben","  ","trump","leben","  ","stadt","leben","eltern","mann","  ","sokrates","kinder","frauen","kinder","stadt","leben","frauen","leben","frauen","kinder","menschen","kinder","menschen","menschen"
"3","heute","maischberger","mann","leben","mann","leben","leben","heute","frau","leben","leute","buch","menschen","posener","menschen","mann","frau","menschen","leben","mann","mann","paar","kinder","piëch","kinder","mutter","familie","familie","frau","menschen","mann","erzaehlt","frauen","frauen","eltern","frauen","buch","eltern","frau","frauen","mann","lown","menschen","grube","leute","leben","mann","frauen","frauen","frau","maenner","leben","mann","familie","kinder","kinder","leute","kinder","frauen","kinder","kinder","leute","stadt","kinder","leben","leben","schirach","familie","mann","mann","kinder","eltern","kinder","doris","leben","symrise","stadt","eltern","kinder","freundin"
"4","leben","frau","kinder","heute","menschen","heute","frau","frau","leben","frau","frau","kennedy","spaeter","paar","wenders","leben","menschen","kirche","leute","frauen","frau","zeitung","frauen","mann","familie","kinder","frau","leben","kinder","kahn","zeh","eltern","leben","frau","frauen","kinder","frauen","leben","frauen","krupp","kinder","frau","leben","mudry","schulze","sitaram","peggy","menschen","eltern","leben","mann","mann","familie","frauen","frau","leben","juden","leben","kinder","frauen","trump","leben","frauen","mann","menschen","paar","eltern","mutter","frau","  ","frauen","kinder","leben","mann","maenner","leben","leben","menschen","frauen","kinder"
"5","mann","alten","paar","buch","frau","frau","frauen","menschen","frauen","watson","mann","middlesex","buch","heute","maenner","heimat","leben","mann","paar","kinder","maenner","mann","angst","vater","mann","vater","mutter","vater","maenner","eltern","taleb","kinder","kinder","thomae","kinder","mann","mann","kinder","mutter","sohn","leben","maenner","mann","familie","mann","springer","frau","mann","barlach","kinder","raid","eltern","eltern","leben","marina","mann","kinder","hurrelmann","leute","kassem","familie","kunst","frau","leute","familie","frauen","lehrer","mann","maenner","maenner","leben","mann","mann","menschen","mann","frauen","krankenhaus","frauen","leute","eltern"
"6","kinder","buch","leute","paar","leute","kinder","leute","kinder","kinder","heute","kazan","frau","leute","menschen","mann","film","meves","nina","maenner","paar","kinder","kino","familie","leben","berlinalepalast","frauen","mann","paar","frauen","familie","frau","vater","maenner","eltern","leben","ddr","kinder","mutter","familie","leben","ferydoni","mann","leute","lafer","frau","mann","schwundeck","frau","vater","menschen","beitz","frau","frauen","maenner","eltern","dittrich","frauen","frau","mann","stadt","leben","menschen","walt","familie","kinder","menschen","middelhoff","eltern","kunst","frau","menschen","kind","menschen","frau","menschen","vater","kinder","mann","tag","stadt"
"7","geschichte","frauen","frau","leute","buch","leute","heute","mann","heute","leute","buch","eugenides","frau","leute","leben","leute","schiller","papst","frauen","heute","menschen","menschen","kochen","familie","maenner","familie","menschen","mutter","spaeter","spaeter","paar","familie","stadt","arbeit","frau","passadakis","depp","heute","jungen","frau","frau","kinder","kirch","mann","eltern","frau","eltern","maenner","familie","vater","kinder","familie","frau","leute","familie","familie","menschen","leute","paar","frau","mann","frau","polizei","leben","schriftsteller","eltern","mann","frau","familie","polen","vater","frau","stadt","vater","frau","stadt","patienten","patienten","stadt","leben"
