"","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
"2020-01-01",0,0,0,1,4,16,1,0,5,10,2,2,10,0
"2020-02-01",6,3,3,13,27,15,11,8,8,92,40,34,57,3
"2020-03-01",56,16,17,67,32,127,71,63,72,135,144,156,88,43
"2020-04-01",84,11,15,86,29,144,58,96,73,83,71,78,68,28
"2020-05-01",70,12,4,85,24,129,91,73,44,61,83,74,106,26
"2020-06-01",53,28,21,64,18,153,36,64,49,46,58,34,70,13
"2020-07-01",51,15,5,56,11,68,26,47,42,55,45,41,110,10
"2020-08-01",36,12,8,31,34,75,34,51,27,48,45,22,63,26
"2020-09-01",39,9,6,32,17,111,20,49,19,47,39,24,96,20
"2020-10-01",38,6,10,37,66,92,36,47,47,56,65,36,146,56
"2020-11-01",36,16,8,48,8,93,41,56,43,75,41,33,93,14
"2020-12-01",54,19,5,39,6,84,14,42,48,36,24,12,88,15
"2021-01-01",36,17,9,21,19,91,9,64,28,26,24,18,103,30
"2021-02-01",28,6,3,22,5,112,18,33,34,23,32,40,41,15
"2021-03-01",45,14,2,24,22,62,14,35,29,38,36,17,71,38
