"","2001-01-01","2001-04-01","2001-07-01","2001-10-01","2002-01-01","2002-04-01","2002-07-01","2002-10-01","2003-01-01","2003-04-01","2003-07-01","2003-10-01","2004-01-01","2004-04-01","2004-07-01","2004-10-01","2005-01-01","2005-04-01","2005-07-01","2005-10-01","2006-01-01","2006-04-01","2006-07-01","2006-10-01","2007-01-01","2007-04-01","2007-07-01","2007-10-01","2008-01-01","2008-04-01","2008-07-01","2008-10-01","2009-01-01","2009-04-01","2009-07-01","2009-10-01","2010-01-01","2010-04-01","2010-07-01","2010-10-01","2011-01-01","2011-04-01","2011-07-01","2011-10-01","2012-01-01","2012-04-01","2012-07-01","2012-10-01","2013-01-01","2013-04-01","2013-07-01","2013-10-01","2014-01-01","2014-04-01","2014-07-01","2014-10-01","2015-01-01","2015-04-01","2015-07-01","2015-10-01","2016-01-01","2016-04-01","2016-07-01","2016-10-01","2017-01-01","2017-04-01","2017-07-01","2017-10-01","2018-01-01","2018-04-01","2018-07-01","2018-10-01","2019-01-01","2019-04-01","2019-07-01","2019-10-01","2020-01-01","2020-04-01","2020-07-01","2020-10-01","2021-01-01"
"Share (in %) on ""wirtschaft""&""unsicher""-corpus","12.2962","8.9235","13.2276","10.4269","8.9262","10.9996","11.2624","8.5622","12.0923","7.9832","8.9693","7.5775","9.8924","9.0995","10.1851","8.427","5.6681","7.073","9.5564","6.4368","5.1177","8.2922","8.5335","5.8643","7.3107","6.9099","12.5173","11.2623","11.3556","8.2685","10.4798","8.1116","6.3801","7.072","7.1707","8.9057","9.2026","10.934","12.9309","8.451","10.3922","7.6656","11.5155","8.1023","6.9541","8.3761","8.3557","8.5113","9.6797","8.3021","9.2153","8.0411","9.8749","7.8284","9.915","9.6502","8.3846","7.5647","15.3406","12.4553","13.3763","10.0315","11.6268","8.9603","9.9482","9.35","8.8921","7.232","8.5331","8.2324","11.0574","10.6205","12.1583","10.1723","8.7483","7.7041","10.7634","8.1636","9.3251","10.3449","8.55"
"Share (in %) on ""wirtschaft""-corpus","0.7858","0.5004","1.0413","1.0403","0.5146","0.7564","0.924","0.6474","1.2218","0.5631","0.533","0.4456","0.6514","0.5579","0.6179","0.5189","0.2914","0.4104","0.5855","0.3353","0.2434","0.4254","0.3832","0.302","0.3256","0.3258","0.8031","0.7116","0.7825","0.4699","0.7062","0.7307","0.5256","0.4401","0.464","0.5777","0.6477","0.854","1.0793","0.6803","0.8027","0.6074","1.2075","0.8454","0.5201","0.7072","0.7975","0.6945","0.7968","0.6189","0.7102","0.5251","0.7053","0.4608","0.7398","0.7751","0.72","0.5183","1.2158","1.0324","1.4574","1.0251","1.4885","1.1435","1.3484","1.0262","0.812","0.7303","0.7493","0.8257","1.0821","1.1447","1.5094","0.9874","1.0191","0.8034","1.5133","1.1358","1.013","1.1838","0.8117"
"Share (in Promille) on entire corpus","2.2462","1.3851","2.7529","2.8307","1.4122","2.0604","2.7943","1.9617","3.4585","1.5924","1.4568","1.2357","1.8105","1.5632","1.6194","1.4426","0.7775","1.1228","1.5376","0.919","0.624","1.0487","0.9337","0.789","0.8566","0.8648","2.1111","1.9484","2.1395","1.2743","1.9537","2.5114","1.8786","1.5199","1.4749","1.6338","1.9696","2.6175","3.3157","2.1801","2.6079","1.9261","3.9767","2.7959","1.6257","2.3073","2.5268","2.2531","2.5532","1.9931","2.2176","1.6276","2.2567","1.4971","2.3046","2.4579","2.2884","1.6539","3.8583","3.1158","4.5032","3.2867","4.4973","3.594","4.2682","3.2227","2.5711","2.2944","2.3832","2.6007","3.6186","3.8055","4.864","3.3743","3.5241","2.8065","5.8276","4.9227","3.9029","4.4571","3.098"
"1","aktien","anleger","aktien","aktien","anleger","aktien","aktien","analysten","aktien","aktien","aktien","anleger","aktien","aktien","dax","aktien","anleger","anleger","aktien","aktien","aktien","anleger","anleger","aktien","anleger","aktien","anleger","dollar","dollar","aktien","aktien","aktien","dollar","anleger","dollar","anleger","dax","aktien","aktien","aktien","aktien","aktien","gold","aktien","anleger","anleger","anleger","aktien","anleger","anleger","dax","dollar","dax","aktien","anleger","aktien","anleger","aktien","aktien","aktien","aktien","aktien","anleger","anleger","anleger","aktien","aktien","gold","anleger","anleger","dollar","anleger","aktien","anleger","aktien","dollar","dollar","anleger","dollar","anleger","aktien"
"2","anleger","aktien","anleger","analysten","aktien","anleger","anleger","aktien","anleger","dax","anleger","aktien","anleger","anleger","anleger","anleger","aktien","dollar","dollar","anleger","anleger","aktien","dax","anleger","dax","dax","dax","dax","dax","anleger","dollar","dax","dax","dollar","anleger","aktien","anleger","anleger","anleger","anleger","anleger","anleger","anleger","anleger","aktien","aktien","dax","anleger","dax","aktien","anleger","aktien","anleger","anleger","dax","anleger","aktien","anleger","fed","anleger","anleger","dollar","aktien","aktien","dax","anleger","anleger","anleger","aktien","aktien","anleger","aktien","anleger","aktien","anleger","aktien","aktien","aktien","aktien","aktien","anleger"
"3","analysten","analysten","analysten","anleger","analysten","analysten","analysten","anleger","dax","analysten","dax","dax","dax","dax","aktien","dax","dollar","aktien","dax","dax","dollar","dax","aktien","quartal","aktien","anleger","aktien","anleger","anleger","quartal","dax","anleger","anleger","aktien","aktien","dollar","dollar","dollar","dax","dax","dax","dollar","aktien","dax","dax","dax","aktien","analysten","aktien","dax","aktien","anleger","aktien","dax","aktien","dax","dax","dax","dax","fed","dax","anleger","dax","dax","aktien","dax","investoren","aktien","dax","dax","aktien","dax","dollar","dollar","dollar","anleger","anleger","dollar","anleger","gold","dollar"
"4","boerse","boerse","boerse","dax","investoren","boersen","dax","boerse","analysten","anleger","boerse","dollar","kurse","analysten","analysten","dollar","analysten","analysten","anleger","analysten","dax","aktienmarkt","analysten","dollar","dollar","dollar","dollar","aktien","aktien","dax","analysten","dollar","investoren","dax","dax","dax","aktien","dax","dollar","dollar","dollar","dax","dax","dollar","dollar","dollar","dollar","dax","dollar","dollar","dollar","dax","dollar","punkten","dollar","dollar","dollar","dollar","anleger","zinsen","china","dax","fed","dollar","dollar","dollar","gold","dax","dollar","dollar","dax","investoren","dax","investoren","fed","aramco","dax","gold","gold","dollar","aktie"
"5","markt","markt","boersen","boerse","kurse","investoren","boerse","dax","kurse","punkte","analysten","investoren","boerse","boerse","boersen","analysten","boerse","investoren","analysten","boerse","investoren","boerse","dollar","analysten","boerse","maerkte","investoren","analysten","analysten","boerse","anleger","analysten","analysten","analysten","analysten","boerse","investoren","investoren","analysten","gold","gold","investoren","dollar","gold","investoren","analysten","investoren","dollar","gold","gold","investoren","fed","investoren","aktienmarkt","investoren","investoren","kurse","investoren","china","dax","investoren","investoren","anleihen","investoren","punkten","investoren","dax","dollar","investoren","boerse","investoren","fed","investoren","dax","gold","boerse","investoren","boersen","fonds","dax","dax"
"6","haendler","kurse","dax","kurse","boerse","boerse","kurse","dollar","boersen","investoren","kurse","analysten","analysten","kurse","investoren","boersen","investoren","usa","boerse","investoren","kurse","kurse","punkte","dow","aktienmarkt","aktienmarkt","punkte","quartal","gold","analysten","investoren","minus","kurse","investoren","boerse","dubai","analysten","gold","investoren","investoren","boerse","analysten","boerse","investoren","anleihen","investoren","kurse","boerse","boersen","analysten","fed","punkten","schwellenlaender","investoren","punkten","kurse","anleihen","punkte","dollar","investoren","dollar","boersen","investoren","boersen","bank","punkten","dollar","investoren","zinsen","investoren","gold","dollar","fed","anleihen","powell","dax","gold","dax","boerse","anleihen","investoren"
"7","nasdaq","haendler","haendler","boersen","boersen","dax","boersen","kurse","boerse","kurse","usa","boersen","woche","boersen","kurse","punkte","dax","freitag","freitag","markt","aktienmarkt","boersen","investoren","dax","investoren","experten","analysten","punkte","quartal","dollar","boerse","quartal","boerse","boerse","goldman","kurse","kurse","punkte","anleihen","boerse","kurse","gold","punkte","punkten","punkten","boersen","boersen","investoren","boerse","fed","usnotenbank","analysten","fed","dollar","punkte","punkte","rendite","rendite","boersen","dollar","boersen","gold","boersen","fed","investoren","fed","anleihen","zinsen","kurse","aktie","boerse","minus","usa","gold","investoren","investoren","boersen","kurse","investoren","investoren","renditen"
