"","2001-01-01","2001-04-01","2001-07-01","2001-10-01","2002-01-01","2002-04-01","2002-07-01","2002-10-01","2003-01-01","2003-04-01","2003-07-01","2003-10-01","2004-01-01","2004-04-01","2004-07-01","2004-10-01","2005-01-01","2005-04-01","2005-07-01","2005-10-01","2006-01-01","2006-04-01","2006-07-01","2006-10-01","2007-01-01","2007-04-01","2007-07-01","2007-10-01","2008-01-01","2008-04-01","2008-07-01","2008-10-01","2009-01-01","2009-04-01","2009-07-01","2009-10-01","2010-01-01","2010-04-01","2010-07-01","2010-10-01","2011-01-01","2011-04-01","2011-07-01","2011-10-01","2012-01-01","2012-04-01","2012-07-01","2012-10-01","2013-01-01","2013-04-01","2013-07-01","2013-10-01","2014-01-01","2014-04-01","2014-07-01","2014-10-01","2015-01-01","2015-04-01","2015-07-01","2015-10-01","2016-01-01","2016-04-01","2016-07-01","2016-10-01","2017-01-01","2017-04-01","2017-07-01","2017-10-01","2018-01-01","2018-04-01","2018-07-01","2018-10-01","2019-01-01","2019-04-01","2019-07-01","2019-10-01","2020-01-01","2020-04-01","2020-07-01","2020-10-01","2021-01-01","2021-04-01"
"Share (in %) on ""wirtschaft""&""unsicher""-corpus","8.0883","7.4064","9.0384","12.7505","9.0909","10.1578","9.3023","11.4222","9.9376","9.4149","8.3604","9.514","9.4876","8.6334","9.2393","7.6049","8.3959","7.2312","7.6323","6.6115","5.6224","6.7966","7.3235","6.4793","6.2112","5.9441","5.7759","8.9532","7.0167","6.8193","6.9154","10.3913","8.606","9.3892","8.5272","10.0643","8.8831","8.548","9.0925","7.0493","8.7472","6.2034","8.4359","10.0494","10.7495","9.1516","9.7617","10.4029","9.0998","9.3096","8.6989","8.9492","7.5248","8.4426","11.5067","10.7085","7.083","7.1477","8.449","10.2601","8.6716","6.4049","8.6361","8.3806","9.3743","8.991","8.7945","7.7558","7.8986","9.5682","9.123","7.6168","9.2803","9.6279","12.2791","10.7698","8.4568","8.9911","10.7596","10.1661","9.5158","7.9031"
"Share (in %) on ""wirtschaft""-corpus","0.5169","0.4153","0.7115","1.2721","0.5241","0.6985","0.7632","0.8636","1.0041","0.6641","0.4968","0.5594","0.6248","0.5294","0.5606","0.4683","0.4316","0.4196","0.4677","0.3444","0.2675","0.3487","0.3289","0.3337","0.2766","0.2803","0.3706","0.5657","0.4835","0.3875","0.466","0.9361","0.709","0.5843","0.5517","0.6529","0.6252","0.6677","0.7589","0.5674","0.6756","0.4915","0.8845","1.0486","0.804","0.7727","0.9317","0.8489","0.749","0.6941","0.6704","0.5845","0.5374","0.4969","0.8585","0.8601","0.6082","0.4897","0.6696","0.8504","0.9448","0.6545","1.1057","1.0695","1.2706","0.9868","0.8031","0.7832","0.6936","0.9597","0.8928","0.821","1.1521","0.9345","1.4303","1.1231","1.189","1.251","1.1688","1.1633","0.9034","0.6829"
"Share (in Promille) on entire corpus","1.4775","1.1496","1.881","3.4615","1.4383","1.9027","2.308","2.617","2.8422","1.878","1.3579","1.5515","1.7364","1.4831","1.469","1.3019","1.1516","1.1479","1.228","0.9439","0.6855","0.8596","0.8013","0.8717","0.7278","0.7439","0.9741","1.5489","1.322","1.051","1.2892","3.2173","2.5341","2.0179","1.7539","1.8463","1.9013","2.0463","2.3315","1.8185","2.1951","1.5587","2.9132","3.4678","2.513","2.5209","2.9519","2.7538","2.4002","2.235","2.0934","1.8114","1.7197","1.6144","2.6745","2.7275","1.9331","1.5627","2.125","2.5666","2.9193","2.0985","3.3405","3.3615","4.022","3.099","2.5429","2.4606","2.206","3.0227","2.9855","2.7292","3.7126","3.1923","4.9464","3.9233","4.5787","5.4217","4.5032","4.3801","3.448","2.4378"
"1","jahr","jahr","konjunktur","jahr","quartal","quartal","wachstum","jahr","jahr","wachstum","jahr","jahr","wachstum","wachstum","wachstum","jahr","jahr","quartal","quartal","jahr","jahr","wachstum","jahr","aufschwung","jahr","jahr","aufschwung","jahr","jahr","jahr","jahr","jahr","jahr","jahr","wirtschaft","jahr","jahr","wirtschaft","quartal","jahr","jahr","wachstum","wachstum","jahr","jahr","jahr","konjunktur","jahr","jahr","wachstum","quartal","jahr","wachstum","wachstum","wirtschaft","wirtschaft","jahr","wirtschaft","china","jahr","wirtschaft","wirtschaft","wirtschaft","jahr","jahr","deutschland","wirtschaft","jahr","jahr","investitionen","unternehmen","unternehmen","wachstum","wachstum","industrie","jahr","industrie","wirtschaft","erholung","wirtschaft","quartal","jahr"
"2","wachstum","wachstum","quartal","quartal","jahr","jahr","jahr","wachstum","wachstum","jahr","wachstum","aufschwung","aufschwung","jahr","deutschland","wachstum","deutschland","jahr","deutschen","wachstum","prognosen","jahr","konjunktur","befragten","konjunktur","aufschwung","konjunktur","aufschwung","rechnet","wachstum","wachstum","rezession","rueckgang","rueckgang","quartal","quartal","quartal","jahr","wirtschaft","aufschwung","wachstum","jahr","jahr","wachstum","wirtschaft","wachstum","wirtschaft","wirtschaft","wirtschaft","jahr","wachstum","wachstum","wirtschaft","wirtschaft","quartal","konjunktur","wirtschaft","deutschland","wachstum","ausgaben","jahr","jahr","jahr","deutschland","deutschland","jahr","deutschland","investitionen","unternehmen","wachstum","wirtschaft","wirtschaft","jahr","industrie","wirtschaft","wachstum","unternehmen","jahr","quartal","quartal","wirtschaft","quartal"
"3","wirtschaft","konjunktur","wachstum","wachstum","wachstum","wachstum","quartal","deutschland","konjunktur","deutschland","quartal","deutschen","jahr","quartal","unternehmen","deutschen","wachstum","wachstum","wachstum","deutschen","wirtschaft","wirtschaft","quartal","konjunktur","wachstum","wachstum","jahr","wachstum","konsum","aufschwung","quartal","konsum","rezession","prognose","jahr","nachfrage","wirtschaft","wachstum","arbeitsmarkt","wachstum","aufschwung","wirtschaft","quartal","deutschen","konjunktur","deutschland","unternehmen","konjunktur","wachstum","firmen","wirtschaft","unternehmen","jahr","jahr","wachstum","investitionen","verbraucher","jahr","brasilien","arbeitsmarkt","wachstum","investitionen","unternehmen","investitionen","wirtschaft","wirtschaft","investitionen","wirtschaft","wirtschaft","wirtschaft","jahr","wachstum","unternehmen","jahr","unternehmen","rezession","wirtschaft","quartal","wirtschaft","erholung","erholung","pandemie"
"4","quartal","quartal","jahr","konjunktur","erholung","aufschwung","konjunktur","quartal","deutschland","konjunktur","konjunktur","wachstum","deutschen","aufschwung","jahr","konsum","deutschen","deutschland","jahr","unternehmen","wachstum","nachfrage","entwicklung","jahr","entwicklung","institute","quartal","konjunktur","konjunktur","prognose","konjunktur","rueckgang","prognose","wirtschaft","wachstum","preise","erholung","aufschwung","wachstum","erholung","deutschland","entwicklung","deutschland","nachfrage","wachstum","quartal","deutsche","quartal","unternehmen","wirtschaft","jahr","investitionen","deutsche","unternehmen","konjunktur","unternehmen","firmen","wachstum","wirtschaft","china","china","deutschland","wachstum","unternehmen","wachstum","wachstum","jahr","unternehmen","firmen","exporte","wachstum","jahr","wirtschaft","wirtschaft","rezession","deutschland","quartal","erholung","jahr","jahr","jahr","anstieg"
"5","unternehmen","prognosen","rezession","rezession","wirtschaft","konjunktur","aufschwung","konjunktur","rueckgang","wirtschaft","aufschwung","deutschland","deutschland","deutschen","konjunktur","konjunktur","unternehmen","wirtschaft","anstieg","konsum","anstieg","entwicklung","industrie","prognose","aufschwung","entwicklung","entwicklung","konsum","wachstum","konjunktur","deutlich","nachfrage","wachstum","quartal","nachfrage","deutschland","unternehmen","unternehmen","aufschwung","unternehmen","nachfrage","nachfrage","wirtschaft","konjunktur","rezession","wirtschaft","deutschen","unternehmen","konjunktur","deutschland","china","wirtschaft","befragten","quartal","deutsche","stimmung","deutsche","unternehmen","unternehmen","konsum","konjunktur","unternehmen","deutschland","wachstum","investitionen","deutschen","deutschen","wachstum","deutschland","unternehmen","deutschen","deutsche","china","quartal","jahr","quartal","rueckgang","rezession","deutschland","wachstum","lockdown","wirtschaft"
"6","konjunktur","unternehmen","unternehmen","wirtschaft","aufschwung","einzelhandel","wirtschaft","unternehmen","wirtschaft","quartal","deutschland","verbraucher","konsum","deutschland","quartal","unternehmen","bip","unternehmen","deutsche","deutschland","befragten","quartal","punkte","institut","prognose","steigen","wachstum","prognose","deutlich","finanzmarktkrise","deutschland","erwartet","deutlich","kurzarbeit","rueckgang","kurzarbeit","konsum","erholung","deutschland","wirtschaft","anstieg","konjunktur","konjunktur","wirtschaft","unternehmen","rezession","jahr","kommenden","arbeitsmarkt","konjunktur","deutschland","quartal","deutschland","deutschland","deutschen","wachstum","wachstum","konjunktur","nachfrage","deutschland","deutschland","firmen","deutschen","firmen","deutschen","deutsche","unternehmen","deutschen","deutsche","jahr","investitionen","quartal","investitionen","unternehmen","wachstum","wirtschaft","china","weltwirtschaft","minus","unternehmen","industrie","erwartet"
"7","deutschland","wirtschaft","rueckgang","september","konjunktur","verbraucher","halbjahr","deutschen","deutschen","unternehmen","erholung","erholung","konjunktur","konjunktur","entwicklung","deutschland","konsum","deutschen","verbraucher","wirtschaft","konsum","verbraucher","wachstum","quartal","rechnen","leicht","einschaetzung","arbeitsmarkt","aufschwung","entwicklung","rueckgang","konjunktur","nachfrage","industrie","industrie","rueckgang","wachstum","konjunktur","jahr","konsum","wirtschaft","hatzius","unternehmen","rezession","prognose","unternehmen","deutschland","wachstum","deutschland","unternehmen","rezession","eurozone","unternehmen","bip","rueckgang","deutschland","unternehmen","rueckgang","konjunktur","wirtschaft","weltwirtschaft","wachstum","investitionen","deutschen","unternehmen","unternehmen","wachstum","deutschland","deutschen","firmen","usa","deutschland","deutschland","china","deutschland","industrie","deutsche","unternehmen","zweiten","oekonomen","minus","nachfrage"
