"","2001-01-01","2001-04-01","2001-07-01","2001-10-01","2002-01-01","2002-04-01","2002-07-01","2002-10-01","2003-01-01","2003-04-01","2003-07-01","2003-10-01","2004-01-01","2004-04-01","2004-07-01","2004-10-01","2005-01-01","2005-04-01","2005-07-01","2005-10-01","2006-01-01","2006-04-01","2006-07-01","2006-10-01","2007-01-01","2007-04-01","2007-07-01","2007-10-01","2008-01-01","2008-04-01","2008-07-01","2008-10-01","2009-01-01","2009-04-01","2009-07-01","2009-10-01","2010-01-01","2010-04-01","2010-07-01","2010-10-01","2011-01-01","2011-04-01","2011-07-01","2011-10-01","2012-01-01","2012-04-01","2012-07-01","2012-10-01","2013-01-01","2013-04-01","2013-07-01","2013-10-01","2014-01-01","2014-04-01","2014-07-01","2014-10-01","2015-01-01","2015-04-01","2015-07-01","2015-10-01","2016-01-01","2016-04-01","2016-07-01","2016-10-01","2017-01-01","2017-04-01","2017-07-01","2017-10-01","2018-01-01","2018-04-01","2018-07-01","2018-10-01","2019-01-01","2019-04-01","2019-07-01","2019-10-01","2020-01-01","2020-04-01","2020-07-01","2020-10-01","2021-01-01","2021-04-01"
"Share (in %) on ""wirtschaft""&""unsicher""-corpus","5.0936","5.0514","5.2668","3.4849","5.1737","6.1376","6.488","4.2447","3.4131","4.4399","4.6959","6.1781","5.6763","4.7684","7.5316","4.8543","6.388","7.2222","12.1913","8.252","6.2107","4.2352","6.8255","8.2836","5.1841","6.1551","6.184","5.5623","5.7016","4.4042","5.2604","5.0815","6.4775","7.1128","7.72","5.6569","6.1475","6.238","4.9151","4.1698","6.1172","7.5324","5.5235","3.8466","4.7556","5.2395","4.8815","4.8394","5.6152","5.6685","7.1481","5.8441","4.0026","4.0524","4.4382","4.6247","5.2718","5.3403","5.6234","5.3258","6.6473","7.6089","4.4147","6.1804","8.2967","9.5114","6.4608","7.6826","8.1469","7.3977","5.0616","7.4477","4.8091","5.0938","5.1337","6.9548","4.6512","4.1572","4.1691","5.7069","7.1046","7.0654"
"Share (in %) on ""wirtschaft""-corpus","0.3255","0.2832","0.4146","0.3477","0.2983","0.422","0.5323","0.3209","0.3449","0.3132","0.2791","0.3633","0.3738","0.2924","0.457","0.2989","0.3284","0.419","0.747","0.4299","0.2954","0.2173","0.3065","0.4266","0.2309","0.2902","0.3967","0.3514","0.3929","0.2503","0.3545","0.4578","0.5336","0.4426","0.4995","0.367","0.4327","0.4872","0.4103","0.3357","0.4725","0.5969","0.5792","0.4014","0.3557","0.4424","0.4659","0.3949","0.4622","0.4226","0.5509","0.3817","0.2859","0.2385","0.3311","0.3715","0.4527","0.3659","0.4457","0.4414","0.7242","0.7775","0.5652","0.7887","1.1245","1.044","0.59","0.7758","0.7154","0.742","0.4954","0.8027","0.597","0.4944","0.598","0.7253","0.6539","0.5784","0.4529","0.653","0.6745","0.6105"
"Share (in Promille) on entire corpus","0.9305","0.7841","1.0961","0.9461","0.8185","1.1496","1.6097","0.9725","0.9762","0.8856","0.7627","1.0075","1.0389","0.8192","1.1975","0.831","0.8762","1.1465","1.9616","1.1781","0.7573","0.5356","0.7468","1.1145","0.6074","0.7703","1.043","0.9623","1.0742","0.6787","0.9806","1.5733","1.9073","1.5286","1.5879","1.0378","1.3158","1.4933","1.2603","1.0757","1.5351","1.8926","1.9074","1.3274","1.1117","1.4433","1.4762","1.2811","1.4811","1.3608","1.7201","1.1829","0.9147","0.7749","1.0316","1.1779","1.4388","1.1676","1.4143","1.3323","2.2378","2.493","1.7076","2.479","3.5596","3.2784","1.8681","2.4374","2.2753","2.337","1.6564","2.6686","1.9239","1.6889","2.068","2.5335","2.5183","2.5068","1.7449","2.4588","2.5743","2.1794"
"1","cdu","partei","spd","spd","stoiber","spd","stoiber","schroeder","schroeder","spd","spd","spd","spd","spd","spd","merkel","spd","spd","spd","koalition","spd","merkel","cdu","cdu","stoiber","spd","spd","spd","spd","spd","csu","spd","spd","merkel","spd","spd","spd","merkel","cdu","partei","fdp","fdp","merkel","partei","merkel","merkel","merkel","merkel","fdp","spd","merkel","spd","spd","ramelow","spd","gabriel","merkel","partei","partei","merkel","afd","merkel","merkel","merkel","schulz","schulz","merkel","merkel","spd","spd","merkel","spd","spd","spd","spd","cdu","spd","merkel","soeder","merkel","merkel","gruenen"
"2","spd","schroeder","schill","schroeder","spd","schroeder","schroeder","spd","spd","schroeder","schroeder","schroeder","schroeder","schroeder","cdu","cdu","schroeder","schroeder","merkel","merkel","partei","spd","merkel","partei","seehofer","cdu","merkel","partei","koch","koehler","spd","partei","cdu","koehler","merkel","merkel","fdp","fdp","fdp","gruenen","merkel","merkel","fdp","fdp","fdp","spd","partei","steinbrueck","merkel","ude","spd","lindner","gabriel","adac","gabriel","spd","spd","poschardt","merkel","kanzlerin","cdu","partei","afd","cdu","spd","macron","schulz","fdp","partei","afd","scholz","gruenen","merkel","partei","afd","spd","merkel","fdp","spd","kanzlerin","cdu","laschet"
"3","schroeder","spd","cdu","gruenen","schroeder","stoiber","spd","kanzler","kanzler","kanzler","stoiber","partei","partei","cdu","schroeder","spd","kanzler","fischer","koalition","spd","cdu","partei","ruettgers","merkel","csu","stoiber","cdu","cdu","csu","cdu","partei","merkel","koch","spd","fdp","fdp","cdu","cdu","merkel","westerwelle","spd","partei","cdu","merkel","partei","roettgen","fdp","spd","spd","merkel","fdp","merkel","koalition","gruenen","koalition","partei","cdu","unfried","gabriel","schroeder","merkel","koalition","spd","partei","partei","spd","seehofer","spd","merkel","merkel","spd","partei","partei","gruenen","partei","partei","cdu","spd","merkel","spd","kanzlerin","partei"
"4","gruenen","gruenen","partei","fdp","fdp","partei","kanzler","koalition","partei","cdu","partei","union","cdu","partei","partei","partei","gruenen","muentefering","schroeder","stoiber","merkel","beck","partei","spd","merkel","partei","koalition","beck","partei","merkel","beckstein","cdu","union","cdu","cdu","westerwelle","csu","partei","partei","fdp","cdu","gruenen","spd","gruenen","roesler","fdp","cdu","fdp","partei","partei","seehofer","fdp","partei","merkel","cdu","cdu","csu","gruenen","cdu","partei","spd","kanzlerin","partei","kanzlerin","merkel","partei","afd","koalition","schulz","partei","csu","cdu","cdu","merkel","merkel","merkel","laschet","soeder","scholz","soeder","laschet","fdp"
"5","partei","cdu","schroeder","partei","partei","koalition","union","gerhard","union","union","kanzler","gruenen","fdp","kanzler","merkel","angela","partei","cdu","union","muentefering","koalition","koalition","spd","ruettgers","spd","huber","kanzlerin","koalition","cdu","csu","koalition","csu","merkel","union","koalition","kanzlerin","partei","schaeuble","union","sarrazin","koalition","cdu","koalition","roesler","westerwelle","cdu","csu","gruenen","cdu","steinbrueck","partei","union","gruenen","partei","merkel","koalition","partei","merkel","parteien","cdu","partei","cdu","csu","afd","gabriel","kohl","spd","partei","koalition","fdp","seehofer","merkel","afd","cdu","gruenen","gruenen","gruenen","cdu","partei","cdu","merz","soeder"
"6","fischer","fischer","runde","cdu","fischer","cdu","fdp","regierung","gerhard","partei","gruenen","rau","union","gruenen","hartz","union","cdu","gruenen","angela","angela","oettinger","angela","union","stoiber","partei","koalition","partei","csu","ypsilanti","wulff","gruenen","koalition","fdp","csu","steinmeier","gabriel","dortmund","kanzlerin","koalition","merkel","kanzlerin","angela","kanzlerin","koalition","kanzlerin","partei","angela","cdu","roesler","trittin","koalition","koalition","union","spd","partei","merkel","seehofer","cdu","spd","spd","kanzlerin","spd","cdu","valls","afd","merkel","gruenen","csu","union","cdu","partei","merz","scholz","koalition","cdu","krampkarrenbauer","partei","partei","cdu","bundestag","spd","cdu"
"7","funke","pds","stoiber","koalition","union","union","partei","clement","kohl","bocklet","koalition","kanzler","merkel","regierung","kanzler","stoiber","merkel","union","partei","schroeder","union","sozialdemokraten","koalition","koalition","huber","koehler","koch","merkel","koalition","bundespraesident","bayern","kanzlerin","csu","fdp","union","steinmeier","merkel","koalition","gruenen","cdu","union","spd","partei","kanzlerin","glaeseker","roesler","roesler","kanzlerin","schroeder","union","union","gabriel","gbw","gabriel","wowereit","kanzlerin","union","bnd","union","schmidt","gabriel","afd","kanzlerin","angela","cdu","gruenen","kanzlerin","gruenen","csu","csu","kanzlerin","csu","koalition","soeder","sachsen","koalition","fdp","kanzlerin","gruenen","giffey","dreyer","spd"
