"","2001-01-01","2001-04-01","2001-07-01","2001-10-01","2002-01-01","2002-04-01","2002-07-01","2002-10-01","2003-01-01","2003-04-01","2003-07-01","2003-10-01","2004-01-01","2004-04-01","2004-07-01","2004-10-01","2005-01-01","2005-04-01","2005-07-01","2005-10-01","2006-01-01","2006-04-01","2006-07-01","2006-10-01","2007-01-01","2007-04-01","2007-07-01","2007-10-01","2008-01-01","2008-04-01","2008-07-01","2008-10-01","2009-01-01","2009-04-01","2009-07-01","2009-10-01","2010-01-01","2010-04-01","2010-07-01","2010-10-01","2011-01-01","2011-04-01","2011-07-01","2011-10-01","2012-01-01","2012-04-01","2012-07-01","2012-10-01","2013-01-01","2013-04-01","2013-07-01","2013-10-01","2014-01-01","2014-04-01","2014-07-01","2014-10-01","2015-01-01","2015-04-01","2015-07-01","2015-10-01","2016-01-01","2016-04-01","2016-07-01","2016-10-01","2017-01-01","2017-04-01","2017-07-01","2017-10-01","2018-01-01","2018-04-01","2018-07-01","2018-10-01","2019-01-01","2019-04-01","2019-07-01","2019-10-01","2020-01-01","2020-04-01","2020-07-01","2020-10-01","2021-01-01","2021-04-01"
"Share (in %) on ""wirtschaft""&""unsicher""-corpus","6.2003","4.6577","3.4964","3.3418","5.0058","4.0999","4.4362","3.7416","4.5321","3.3558","4.9658","3.6938","5.4721","5.775","4.1279","5.4231","4.7047","3.5873","6.7722","6.0696","5.1762","6.2724","5.8035","4.3232","6.4633","5.5359","4.6681","5.9012","4.726","6.9148","4.2347","4.5999","3.6143","4.0785","4.6242","6.1601","4.4521","4.0974","6.1653","5.1175","11.1861","6.7063","3.3451","4.1894","4.8096","4.3989","4.0542","4.4353","3.9428","4.8759","6.5519","4.3616","4.747","5.801","2.7196","5.0354","4.57","4.6143","3.5206","3.5101","2.8576","3.2556","3.4383","2.921","2.3119","4.5375","4.5638","3.9214","3.5998","3.7776","3.8639","4.1759","3.3495","4.1778","4.2401","4.8096","4.2603","2.9861","4.4316","3.1711","5.5062","5.0643"
"Share (in %) on ""wirtschaft""-corpus","0.3962","0.2612","0.2752","0.3334","0.2886","0.2819","0.364","0.2829","0.4579","0.2367","0.2951","0.2172","0.3603","0.3541","0.2504","0.3339","0.2419","0.2081","0.415","0.3162","0.2462","0.3218","0.2606","0.2226","0.2878","0.261","0.2995","0.3729","0.3257","0.393","0.2854","0.4144","0.2977","0.2538","0.2992","0.3996","0.3134","0.32","0.5146","0.4119","0.864","0.5314","0.3508","0.4371","0.3597","0.3714","0.387","0.3619","0.3245","0.3635","0.5049","0.2848","0.339","0.3414","0.2029","0.4045","0.3924","0.3161","0.279","0.2909","0.3113","0.3327","0.4402","0.3728","0.3134","0.498","0.4168","0.396","0.3161","0.3789","0.3781","0.4501","0.4158","0.4055","0.4939","0.5016","0.599","0.4155","0.4814","0.3629","0.5227","0.4376"
"Share (in Promille) on entire corpus","1.1327","0.723","0.7277","0.9072","0.792","0.768","1.1007","0.8572","1.2962","0.6694","0.8065","0.6024","1.0015","0.9921","0.6563","0.9283","0.6453","0.5695","1.0896","0.8666","0.6311","0.7933","0.635","0.5817","0.7573","0.6928","0.7873","1.0209","0.8904","1.0657","0.7894","1.4242","1.0642","0.8765","0.9511","1.1301","0.9529","0.9809","1.5809","1.3202","2.8071","1.685","1.1552","1.4456","1.1244","1.2117","1.226","1.1741","1.04","1.1706","1.5767","0.8828","1.0848","1.1093","0.6321","1.2825","1.2473","1.0089","0.8855","0.8781","0.962","1.0667","1.3299","1.1716","0.9919","1.564","1.3196","1.2441","1.0054","1.1934","1.2645","1.4963","1.34","1.3852","1.7081","1.7521","2.3066","1.8007","1.8548","1.3663","1.9951","1.5622"
"1","verbraucher","kuenast","t","barrel","bauern","gold","eon","pischetsrieder","reisen","verbraucher","fahrzeuge","bewag","gentechnisch","opec","barrel","opel","opec","bernotat","katrina","gold","gas","oel","strom","iea","oel","dollar","klimaschutz","oel","strom","gas","oel","tonnen","gas","eon","oel","eiszeit","daiber","eon","bp","lomborg","e","energiewende","strom","teyssen","energiewende","energiewende","energiewende","energiewende","energiewende","energiewende","energiewende","energien","energiewende","strom","oel","fracking","oel","energiewende","eon","energiewende","energiewende","rwe","energiewende","eon","wald","afrika","eon","tonnen","affen","marx","energiewende","klimaschutz","nord","strom","co","energien","wasserstoff","co","co","wald","co","co"
"2","landwirtschaft","gentechnik","gottschalk","opec","kuenast","preise","hersteller","panke","barrel","gold","tui","bula","markt","barrel","oelpreis","bochum","erwaermung","oel","barrel","preise","energien","klimawandel","verbraucher","oel","schwab","preis","klimaforscher","klimawandel","preise","oel","preise","oel","bohunice","tonnen","teyssen","tonnen","roettgen","bp","strom","strom","autofahrer","oel","energien","wasser","erneuerbaren","energien","energien","strom","energien","strom","energien","energiewende","strom","energiewende","energiewende","energiewende","energiewende","oel","rwe","strom","energien","terium","rwe","energien","eon","marx","uniper","bauern","staedte","altmaier","bundesregierung","methos","venezuela","landwirtschaft","klimaschutz","co","strom","toennies","nord","ibisch","energien","kakteen"
"3","kuenast","klauenseuche","preise","t","sonnleitner","verbraucher","verbraucher","gold","preis","handel","mattes","preise","oel","oel","oel","gm","maehlmann","gold","dollar","gas","josefsson","energie","usa","barrel","strom","oel","klimawandel","verbraucher","oel","preise","tonnen","gold","strom","gentechnik","gaz","rwe","strom","strom","energie","energien","tankstellen","fukushima","energie","takada","energien","oel","eeg","kraftwerke","altmaier","hatje","erneuerbaren","rwe","eegumlage","eegumlage","rwe","foerderung","strom","kohle","hull","oel","erneuerbaren","glyphosat","gas","oel","teyssen","eon","braunkohle","tunnel","eon","din","bondam","enbw","indonesien","stream","emissionen","kohle","co","klimaschutz","stream","tesla","strom","strom"
"4","bsekrise","maul","gold","verbraucher","landwirtschaft","kuenast","preise","cent","opec","opec","opel","gottschalk","preise","oelpreis","opec","preise","barrel","sonnleitner","oel","vogelgrippe","vogelgrippe","preise","bp","strom","klimawandel","gas","tonnen","energie","preis","nachfrage","ebeling","preise","energie","nachfrage","strom","grad","voser","hayward","rwe","tonnen","roettgen","energie","erneuerbaren","gas","strom","erneuerbaren","erneuerbaren","energien","erneuerbaren","ausbau","strom","erneuerbaren","kanal","energien","klimawandel","energien","energien","strom","kosten","energien","kohle","schmitz","innogy","opec","energiewende","wildberger","afrika","nord","gigawatt","energiewende","kopenhagen","simbabwe","gas","bericht","strom","klimaschutz","energien","emissionen","strom","bauhus","wasserstoff","klimaschutz"
"5","bauern","preise","verbraucher","autos","gold","preussag","energien","bmw","bmw","trittin","markt","casjens","hunold","erdoel","preise","produktion","gold","preise","hurrikan","dollar","preise","gas","pinkwart","preise","stadler","energie","klimawandels","opec","nachfrage","weizen","graphit","werhahn","gazprom","strom","eon","klima","shell","oel","tonnen","rechnungshof","japan","japan","produktion","energie","roettgen","barrel","strom","erneuerbaren","strom","energien","kraftwerke","energie","energie","rwe","anlage","dii","energie","opec","energiewende","rwe","masai","newco","strom","elbe","oel","strom","energiewende","pestizide","innogy","engels","grad","energien","maduro","meter","tonnen","emissionen","klimaschutz","strom","stahl","holz","erneuerbaren","soep"
"6","bse","bse","mill","shell","oel","preiserhoehungen","renault","eon","tui","eon","neuzulassungen","jahr","mandac","dollar","preis","ruesselsheim","preise","energien","preise","oel","preis","kernenergie","kernenergie","gas","eon","preise","barrel","dollar","kraftwerke","bauern","sperber","produktion","preise","opec","waelder","klimawandel","eon","gas","oel","erneuerbaren","super","strom","japan","erdgas","foerderung","koernig","erneuerbare","cent","foerderung","altmaier","ausbau","strom","gabriel","energie","strom","oel","kraftwerke","kraftwerke","ks","kohle","karen","energien","energien","elbvertiefung","wasser","energien","heil","eon","strom","energien","radfahren","co","kohleausstieg","nord","emissionshandel","erneuerbaren","erneuerbaren","oel","wasserstoff","wasser","wind","cent"
"7","fleisch","bauern","opec","preise","frenzel","handel","branche","aldi","oel","barrel","preise","marken","produktion","pro","gottschalk","preis","verbraucher","strom","piëch","nachfrage","oel","liter","dollar","opec","barrel","stadtwerke","oel","preise","opec","energie","simbabwe","barrel","tonnen","produktion","kruemmel","winter","klimawandel","teyssen","preise","energie","biosprit","kraftwerke","eon","autofahrer","megawatt","kraftwerke","e","industrie","anlagen","emissionshandel","eeg","klimaschutz","eeg","kraftwerke","energie","gas","fukushima","ziele","kraftwerke","opec","kent","areva","blockchain","suhrkamp","energien","katar","strom","afrika","leistung","normen","eegumlage","mastiaux","sonde","kraftstoffe","preis","energie","bauern","foerderung","energien","wilson","erneuerbare","tiere"
