"","2001-01-01","2001-04-01","2001-07-01","2001-10-01","2002-01-01","2002-04-01","2002-07-01","2002-10-01","2003-01-01","2003-04-01","2003-07-01","2003-10-01","2004-01-01","2004-04-01","2004-07-01","2004-10-01","2005-01-01","2005-04-01","2005-07-01","2005-10-01","2006-01-01","2006-04-01","2006-07-01","2006-10-01","2007-01-01","2007-04-01","2007-07-01","2007-10-01","2008-01-01","2008-04-01","2008-07-01","2008-10-01","2009-01-01","2009-04-01","2009-07-01","2009-10-01","2010-01-01","2010-04-01","2010-07-01","2010-10-01","2011-01-01","2011-04-01","2011-07-01","2011-10-01","2012-01-01","2012-04-01","2012-07-01","2012-10-01","2013-01-01","2013-04-01","2013-07-01","2013-10-01","2014-01-01","2014-04-01","2014-07-01","2014-10-01","2015-01-01","2015-04-01","2015-07-01","2015-10-01","2016-01-01","2016-04-01","2016-07-01","2016-10-01","2017-01-01","2017-04-01","2017-07-01","2017-10-01","2018-01-01","2018-04-01","2018-07-01","2018-10-01","2019-01-01","2019-04-01","2019-07-01","2019-10-01","2020-01-01","2020-04-01","2020-07-01","2020-10-01","2021-01-01","2021-04-01"
"Share (in %) on ""wirtschaft""&""unsicher""-corpus","5.0556","4.392","5.6631","4.9535","5.125","5.5864","6.8211","6.5319","6.4097","6.1955","4.5031","5.4876","5.4194","6.5046","5.6741","6.8678","5.8721","6.2584","5.0615","6.4021","5.8277","4.7722","4.9541","5.008","5.6559","5.3601","8.5896","6.3863","9.1327","7.0266","8.6637","7.628","6.6813","7.1043","6.6323","7.5601","6.5805","7.0363","7.5321","7.0057","6.0723","5.0668","7.4857","7.5434","7.4755","7.0979","7.2662","7.5964","7.2068","7.0406","5.1472","6.4216","4.9393","6.9989","5.3025","5.6548","5.1901","4.8143","4.6039","6.0254","5.5413","4.6899","6.6754","5.7505","5.0235","4.5089","5.7169","5.1753","5.5211","3.9248","4.9266","6.3087","6.5358","5.8509","5.2819","5.9735","5.2912","7.4361","5.8479","6.4765","4.7621","6.5617"
"Share (in %) on ""wirtschaft""-corpus","0.3231","0.2463","0.4458","0.4942","0.2955","0.3841","0.5596","0.4939","0.6476","0.437","0.2676","0.3227","0.3569","0.3988","0.3443","0.4229","0.3019","0.3631","0.3101","0.3335","0.2772","0.2448","0.2225","0.2579","0.2519","0.2527","0.5511","0.4035","0.6294","0.3993","0.5838","0.6872","0.5504","0.4421","0.4291","0.4904","0.4632","0.5496","0.6287","0.5639","0.469","0.4015","0.7849","0.7871","0.5591","0.5993","0.6936","0.6199","0.5932","0.5249","0.3967","0.4194","0.3528","0.4119","0.3956","0.4542","0.4457","0.3298","0.3649","0.4994","0.6037","0.4792","0.8546","0.7339","0.6809","0.4949","0.5221","0.5226","0.4848","0.3936","0.4821","0.68","0.8114","0.5679","0.6153","0.6229","0.7439","1.0346","0.6352","0.7411","0.4521","0.567"
"Share (in Promille) on entire corpus","0.9235","0.6817","1.1786","1.3448","0.8108","1.0464","1.6924","1.4965","1.8332","1.2358","0.7314","0.8949","0.9918","1.1174","0.9021","1.1757","0.8055","0.9935","0.8144","0.914","0.7106","0.6036","0.5421","0.6738","0.6627","0.6708","1.4487","1.1049","1.7207","1.0829","1.6151","2.3617","1.9673","1.5268","1.3642","1.3869","1.4084","1.6844","1.9314","1.8073","1.5238","1.2731","2.5851","2.603","1.7476","1.9552","2.1973","2.0109","1.9009","1.6903","1.2386","1.2998","1.1288","1.3383","1.2325","1.4403","1.4165","1.0526","1.1579","1.5073","1.8655","1.5366","2.5821","2.3065","2.1553","1.5541","1.653","1.6419","1.542","1.2399","1.6122","2.2605","2.6147","1.94","2.1277","2.1761","2.8648","4.484","2.4476","2.7904","1.7255","2.024"
"1","banken","fonds","anleger","anleger","banken","banken","banken","banken","banken","banken","anleger","anleger","fonds","bank","anleger","anleger","anleger","banken","versicherer","fonds","fonds","reits","fonds","fonds","hedgefonds","fonds","ikb","banken","bank","banken","banken","bank","bank","bank","bank","anleger","bank","fonds","banken","bank","banken","bank","bank","bank","bank","bank","bank","bank","bank","bank","bank","bank","bank","bank","bank","banken","bank","banken","bank","bank","bank","banken","bank","bank","bank","bank","bank","bank","wohnungen","bank","geld","euro","bank","bank","bank","zielke","bank","wirecard","wirecard","bank","bank","ey"
"2","fonds","anleger","fonds","banken","bank","fonds","fonds","anleger","anleger","fonds","banken","banken","banken","fonds","banken","fonds","fonds","fonds","fonds","bank","immobilien","anleger","banken","banken","banken","banken","banken","bank","ikb","bank","bank","fonds","banken","banken","banken","bank","banken","anleger","bank","westlb","bank","banken","banken","banken","banken","ackermann","banken","banken","banken","kunden","banken","banken","banken","kunden","banken","bank","jain","bank","banken","banken","banken","bank","banken","banken","banken","banken","banken","kunden","investoren","banken","banken","bank","banken","banken","banken","bank","banken","bank","banken","banken","mieten","euro"
"3","anleger","bank","banken","bank","fonds","anleger","anleger","immobilien","aktien","bank","castries","bank","anleger","anleger","bank","banken","banken","anleger","aktien","anleger","bank","fonds","versicherer","anleger","fonds","sparkassen","bank","ikb","banken","fonds","fonds","banken","commerzbank","papiere","anleger","banken","fonds","banken","anleger","fonds","fonds","westlb","fonds","anleger","jain","jain","versicherer","kunden","kunden","sparer","kaeufer","fonds","anleger","banken","kunden","kunden","banken","bargeld","postbank","kunden","fonds","kunden","frankfurt","immobilien","frankfurt","fonds","kunden","commerzbank","immobilien","wohnungen","bank","kunden","wirecard","mieten","kunden","banken","kunden","banken","marsalek","euro","banken","wohnungen"
"4","dm","banken","risiken","fonds","anleger","bank","bank","fonds","fonds","anleger","sparkassen","leasing","hedgefonds","hedgefonds","fonds","versicherer","bank","bank","bank","sparkassen","sparkassen","sparkasse","geld","geld","anleger","bank","fonds","westlb","fonds","abgeltungsteuer","anleger","anleger","fonds","anleger","risiken","zulagen","anleger","bank","fonds","ghizzoni","anleger","kfw","geld","kunden","ackermann","banken","kunden","fonds","fonds","banken","vermoegen","kunden","prokon","roth","wohnungen","stresstest","euro","konto","kunden","bergmann","immobilien","frankfurt","geld","kunden","geld","kunden","anleger","banken","geld","frankfurt","mieter","banken","bafin","frankfurt","euro","euro","mieten","wohnungen","bafin","kunden","vermieter","mietendeckel"
"5","bank","aktien","bank","aktien","leasing","aktien","versicherer","bank","bank","eigenheimzulage","investoren","sparkassen","derivate","banken","kunden","investoren","anleihen","rendite","banken","immobilien","anleger","investoren","bank","bank","investoren","kunden","kfw","sparkassen","anleger","anleger","rendite","geld","dresdner","geld","fonds","fonds","geld","munich","landesbanken","banken","westlb","commerzbank","kunden","versicherer","euro","boersig","zinsen","immobilien","immobilien","altersvorsorge","makler","sparkassen","zinsen","fonds","buffett","fonds","zinsen","versicherer","fonds","wohnungen","euro","euro","kunden","geld","fonds","immobilien","zinsen","kaufhof","fonds","fonds","versicherer","wirecard","mieten","vermieter","wohnungen","wohnungen","mieter","mieter","bank","mieter","euro","vonovia"
"6","aktien","dresdner","aktien","immobilien","investoren","pensionsfonds","aktien","aktien","immobilien","stiftungen","produkte","renditen","risiko","altersvorsorge","aktien","immobilienfonds","kunden","hedgefonds","risiken","banken","investoren","immobilien","anleger","reifner","unternehmen","zertifikate","geld","ackermann","kfw","kunden","geld","sparkassen","kunden","fonds","geld","geld","versicherer","re","sparkassen","investoren","versicherung","fonds","hedgefonds","geld","immobilien","fitschen","immobilien","versicherer","geld","fonds","immobilien","bafin","kredite","hvb","of","zinsen","investmentbanking","immobilien","immobilien","swaps","institute","versicherer","immobilien","fonds","cryan","geld","wohnungen","fonds","bitcoin","kunden","frankfurt","kaeufer","mieter","wohnungen","vermieter","immobilien","vermieter","euro","kunden","versicherer","immobilie","mieter"
"7","risiken","growth","investoren","schmidtbank","risiken","zinsen","allianz","euro","kunden","aktien","fonds","kunden","risiken","rendite","aktienfonds","produkte","aktien","sparkassen","anleger","immobilienfonds","banken","beispiel","sparkassen","schmid","basel","bieten","sachsenlb","fonds","kredite","rendite","ackermann","abgeltungsteuer","anleger","bad","euro","sparer","sparkassen","sparkassen","institute","anleihen","euro","ikb","voigtlaender","fonds","investmentbanking","kunden","libor","hsh","oppenheim","zinsen","riesterrente","anleger","weimer","versicherer","institute","anleger","kunden","kunden","kapital","kaeufer","rendite","geld","fonds","mieter","kunden","wohnungen","frankfurt","geld","kryptowaehrungen","cryan","kunden","cannabis","kunden","commerzbank","mieten","kunden","mietendeckel","mieten","wohnungen","mieten","wohnungen","vermieter"
"8","basel","allianz","unternehmen","kunden","altersvorsorge","antwort","immobilien","kunden","unternehmen","risiken","zinsen","risiken","aktien","aktien","lebensversicherungen","bank","vermoegen","immobilien","antwort","naser","immobilienfonds","sparkassen","immobilien","kapital","immobilien","anleger","rubenstein","markt","geld","sparkassen","kunden","sparer","versicherer","wagener","eigenkapital","dresdner","mieter","geld","geld","immobilien","investoren","sparkassen","anleger","eigenkapital","fonds","fonds","geld","rendite","zinsen","geld","geld","kfw","immobilien","aktien","finanzkrise","versicherer","morgan","wohnungen","euro","fonds","geldhaeuser","kaeufer","cryan","mieten","euro","preise","geld","mieter","zinsen","mieter","vermieter","quadratmeter","commerzbank","wirecard","ermotti","mieten","wohnungen","miete","ey","wirecard","mieter","wohnen"
"9","kredite","fund","dm","investoren","kunden","euro","versicherungen","eigenheimzulage","versicherer","risiko","rendite","schinzler","bank","kunden","hedgefonds","immobilie","renditen","altersvorsorge","hedgefonds","investoren","risiko","superfonds","branche","immobilienfonds","vermoegen","landesbank","krise","investoren","kunden","ikb","versicherer","kunden","risiken","immobilien","mieter","riestersparer","investoren","immobilienfonds","ackermann","anleger","finanzkrise","versicherer","bomhard","wilhelm","private","investmentbanking","rendite","vermoegen","jain","sparkassen","versicherer","basel","kunden","jain","commerzbank","immobilien","jains","hsbc","geld","jp","altersvorsorge","mieter","bargeld","wohnung","kaeufer","ferienimmobilien","cerberus","zinsen","bank","geld","euro","immobilien","miete","geld","mieter","commerzbank","euro","kunden","grenke","wohnungen","bafin","wirecard"
"10","hedge","versicherer","anleihen","bieten","versicherungen","moody","risiken","kreditinstitute","antwort","immobilien","markt","lebensversicherung","immobilien","kfw","risiken","kapital","immobilien","renditen","frage","allianz","fitch","bank","reits","altersvorsorge","versicherer","markt","investoren","kunden","bomhard","antwort","finanzkrise","euro","geld","kunden","kunden","rendite","hypo","weimer","commerzbank","euro","immobilien","finanzkrise","investoren","immobilien","kunden","euro","sparer","anleger","sparer","fahrenschon","euro","sparer","wohnungen","euro","turner","euro","jp","institute","versicherer","euro","geld","banker","euro","makler","zinsen","sparer","kredit","frankfurt","wework","mieten","fonds","geld","hedgefonds","mieter","immobilien","kredite","miete","immobilien","ag","vermieter","vetter","wohnung"
"11","risiko","beispiel","markt","s","beispielsweise","altersvorsorge","unternehmen","eigenkapital","renditen","kapital","renditen","fonds","investoren","antwort","produkte","aktien","investoren","private","immobilie","immobilie","branche","kunden","nachhilfe","investoren","markt","experten","anleger","branche","risiken","immobilien","sparkassen","zinsen","allianz","eigenkapital","investoren","beitraege","meister","euro","kunden","rendite","sparer","risiko","hartmann","anleihen","geld","renditen","fonds","altersvorsorge","euro","anleger","finanzkrise","eigenkapital","allianz","bewertungsreserven","euro","lebensversicherung","anshu","euro","schwangerschaft","banker","kunden","fonds","zinsen","kapital","banker","mieter","euro","kaufen","bueros","niederrad","wirecard","markt","euro","kunden","investmentbanking","wohnung","geld","vermieter","pruefer","commerzbank","ey","vermoegen"
"12","leasinggesellschaften","immobilien","risiko","unternehmen","versicherer","investiert","kapital","investoren","kredite","investoren","kunden","hedge","markt","frage","bausparkassen","rueckversicherer","geld","risiken","rendite","private","geld","rendite","maerkten","branche","satz","immobilien","markt","kfw","ackermann","landesbanken","krise","bayernlb","staat","zinsen","rendite","altersvorsorge","euro","ergo","eigenkapital","immobilienfonds","ackermann","kunden","euro","rendite","zimmerer","finanzierung","euro","zinsen","finanzkrise","immobilien","sparer","geld","geld","sparer","sparkassen","schiffsfonds","deutsche","zinsen","paydirekt","fosun","bargeld","altersvorsorge","kaeufer","wohnungen","immobilie","ubs","investoren","anleger","spilker","zahlungsverkehr","miete","preise","wohnungen","hongkong","prag","frankfurt","riley","mietendeckel","braun","mietendeckel","greensill","mieten"
"13","sparkassen","nutzungsdauer","versicherer","anleihen","aktien","risiken","kunden","kredite","versicherungen","versicherer","unternehmen","investoren","basel","lebensversicherung","rueckversicherer","altersvorsorge","euro","viterra","branche","kunden","steffen","bieten","versicherungswirtschaft","hohe","schaeden","investieren","hedgefonds","krise","westlb","investmentfonds","dachfonds","kfw","bad","sparer","kemmer","risiken","boni","versicherer","immobilienfonds","sparkassen","investieren","allianz","handelsblatt","euro","finanzkrise","commerzbank","anleger","investmentbanking","versicherer","rendite","immobilie","bayernlb","mieter","anleger","sozialcharta","geld","schweizer","sparer","giropay","postbank","eigenkapital","immobilien","banker","geldhaeuser","frankfurter","beispielsweise","kredite","moder","euro","bundesbank","branche","verkauft","frankfurt","singapur","mietendeckel","geld","immobilien","sparkassen","bonusgold","quadratmeter","wohnen","grenke"
"14","unternehmen","risiko","aktienfonds","altersvorsorge","heydt","portfolio","basel","immobilie","s","protektor","makler","basel","derivaten","laufzeit","emittenten","risiken","altersvorsorge","investoren","immobilien","unternehmen","kapital","investment","vermoegensverwalter","kredite","lse","hedgefonds","kredite","umfang","investoren","kaeufer","kfw","risiken","investoren","euro","zinsen","kunden","rendite","mrd","euro","landesbank","rendite","anleger","finanzkrise","ackermann","anleihen","weber","investmentbanking","banker","anleger","commerzbank","fonds","risiko","of","geld","frankfurt","aktien","preise","privatkunden","kapitalmarkt","geld","finanzkrise","institute","credit","institute","quadratmeter","branche","wohnen","immobilien","wert","investmentbanking","lebensversicherer","zinsen","geld","banker","miete","wirecard","laut","kredite","euro","miete","sparkassen","miete"
"15","privaten","versicherungen","fondsmanager","sparkassen","kapital","frage","schultenoelle","altersvorsorge","euro","kunden","altersvorsorge","eigenkapital","volatilitaet","renditen","sparkassen","anbieter","risiko","unternehmen","moodys","eigenheimzulage","renditen","investments","rueck","moszkowicz","altersvorsorge","investoren","finanzinvestoren","maerkten","zertifikate","kredite","ikb","immobilienfonds","sparkassen","wert","weber","eigenkapital","kapital","kredite","kapital","renditen","versicherungen","eigentuemer","versicherer","institute","renditen","immobilien","lebensversicherung","renditen","quadratmeter","finanzkrise","zulagen","finanzaufsicht","unicredit","immobilien","londoner","miller","vermoegen","riester","anleger","hvb","geldhaus","zinsen","wohnungen","euro","investoren","geldanlage","hoelzer","bundesbank","immobilie","euro","immobilien","mieter","institut","baete","ertraege","eigentuemer","eigentuemer","braun","mieten","private","commerzbank","berliner"
"16","deutschen","dm","kunden","tabelle","portfolio","unternehmen","altersvorsorge","markt","eigenkapital","geld","private","versicherer","strategie","private","s","kunden","unternehmen","hoppenstedt","euro","trusts","westlb","hedgefonds","privaten","investment","beispielsweise","schwarzman","westlb","landesbank","rendite","geldanlage","lehman","kredite","euro","rendite","krockow","rechnung","bayernlb","investoren","vermoegen","geld","kaeufer","kapitalerhoehung","kapital","risiko","wohnungen","geld","fitschen","lebensversicherung","vermoegen","vermoegen","kunden","finanztransaktionssteuer","finanzkrise","commerzbank","regulierung","lenzenhuber","frankfurter","geld","grunderwerbsteuer","immobilien","fintechs","konto","pokerstars","banker","postbank","finanzkrise","kapital","investieren","kaeufer","leg","bafin","investoren","finanzaufsicht","mietendeckel","deutschen","private","investoren","bafin","mietendeckel","wohnung","wirecard","quadratmeter"
"17","kunden","sparkassen","rendite","kredite","immobilienfonds","kunden","renditen","rating","kapital","altersvorsorge","aktien","aktien","zinsen","immobilien","altersvorsorge","bafin","risiken","landesbanken","altersvorsorge","versicherer","fleischmann","risiko","muenchener","risiko","geld","schaeden","staatsfonds","geld","sparkassen","finanzplanung","aig","aktien","kaeufer","landesbanken","anleihe","commerzbank","immobilien","eigenkapital","rendite","stiftungen","verbriefungen","immobilien","institute","aktien","estate","anleger","finanzkrise","euro","frankfurt","versicherer","regulierung","zinsen","fonds","rafael","anleger","kapital","geld","regulierung","deutsche","markt","zinsen","volumen","immobilienfonds","zinsen","anleger","anleger","branche","vermieter","athleten","bargeld","arzneien","eigenkapital","fusion","sparkassen","geld","gebuehren","fonds","marsalek","ctp","staatsanwaltschaft","mietendeckel","immobilien"
