"","2001-01-01","2001-04-01","2001-07-01","2001-10-01","2002-01-01","2002-04-01","2002-07-01","2002-10-01","2003-01-01","2003-04-01","2003-07-01","2003-10-01","2004-01-01","2004-04-01","2004-07-01","2004-10-01","2005-01-01","2005-04-01","2005-07-01","2005-10-01","2006-01-01","2006-04-01","2006-07-01","2006-10-01","2007-01-01","2007-04-01","2007-07-01","2007-10-01","2008-01-01","2008-04-01","2008-07-01","2008-10-01","2009-01-01","2009-04-01","2009-07-01","2009-10-01","2010-01-01","2010-04-01","2010-07-01","2010-10-01","2011-01-01","2011-04-01","2011-07-01","2011-10-01","2012-01-01","2012-04-01","2012-07-01","2012-10-01","2013-01-01","2013-04-01","2013-07-01","2013-10-01","2014-01-01","2014-04-01","2014-07-01","2014-10-01","2015-01-01","2015-04-01","2015-07-01","2015-10-01","2016-01-01","2016-04-01","2016-07-01","2016-10-01","2017-01-01","2017-04-01","2017-07-01","2017-10-01","2018-01-01","2018-04-01","2018-07-01","2018-10-01","2019-01-01","2019-04-01","2019-07-01","2019-10-01","2020-01-01","2020-04-01","2020-07-01","2020-10-01","2021-01-01","2021-04-01","2021-07-01"
"Share (in %) on ""wirtschaft""&""unsicher""-corpus","6.0996","7.6464","6.0248","5.5147","7.3047","7.9084","7.2135","5.66","5.1683","6.7848","7.0824","5.8062","7.2262","5.3358","6.4269","6.7012","7.6408","7.1611","5.6906","7.0988","7.0078","6.4495","6.0616","7.1674","7.9559","9.3815","4.9481","5.7567","6.1707","5.8324","5.9051","5.8688","7.1568","6.4297","7.1965","7.233","5.2067","4.7847","5.0217","6.5776","6.1575","5.1871","5.5897","7.0094","5.8581","6.007","5.0705","5.7497","4.6193","6.5832","5.9247","5.9696","5.2126","5.7738","6.3124","6.4487","5.3768","7.0174","5.104","6.657","4.8331","5.8255","5.2895","6.7973","5.9554","7.0922","6.7839","9.4756","7.6118","9.0824","5.4248","6.6387","8.3599","8.4714","8.8884","8.5016","7.049","7.5024","8.0596","8.0628","8.0276","6.7198","6.4872"
"Share (in %) on ""wirtschaft""-corpus","0.3898","0.4287","0.4743","0.5502","0.4211","0.5438","0.5918","0.4279","0.5222","0.4786","0.4209","0.3414","0.4759","0.3272","0.3899","0.4126","0.3928","0.4155","0.3487","0.3698","0.3334","0.3309","0.2722","0.3691","0.3543","0.4423","0.3175","0.3637","0.4252","0.3315","0.3979","0.5287","0.5896","0.4001","0.4656","0.4692","0.3665","0.3737","0.4191","0.5295","0.4756","0.411","0.5861","0.7314","0.4382","0.5072","0.484","0.4692","0.3802","0.4908","0.4566","0.3899","0.3723","0.3398","0.471","0.518","0.4617","0.4808","0.4045","0.5518","0.5266","0.5953","0.6772","0.8675","0.8072","0.7784","0.6195","0.9569","0.6684","0.9109","0.5309","0.7155","1.0379","0.8223","1.0354","0.8866","0.991","1.0438","0.8755","0.9226","0.7621","0.5807","0.6154"
"Share (in Promille) on entire corpus","1.1143","1.1869","1.2538","1.4971","1.1557","1.4814","1.7897","1.2968","1.4782","1.3534","1.1503","0.9469","1.3225","0.9166","1.0219","1.1471","1.0481","1.1368","0.9156","1.0135","0.8545","0.8157","0.6632","0.9643","0.9322","1.1741","0.8345","0.9959","1.1626","0.8989","1.1008","1.8171","2.1073","1.3818","1.4802","1.3269","1.1144","1.1454","1.2876","1.6968","1.5452","1.3033","1.9303","2.4188","1.3695","1.6547","1.5333","1.522","1.2184","1.5805","1.4257","1.2083","1.1912","1.1041","1.4672","1.6425","1.4675","1.5343","1.2837","1.6653","1.6271","1.9087","2.046","2.7264","2.5551","2.4445","1.9615","3.0062","2.1259","2.8692","1.7753","2.3788","3.3444","2.8088","3.5805","3.097","3.8165","4.5241","3.3732","3.4739","2.9087","2.0728","2.1707"
"1","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","kleinfeld","unternehmen","unternehmen","unternehmen","unternehmen","mitarbeiter","unternehmen","unternehmen","mitarbeiter","unternehmen","familienunternehmen","unternehmen","mitarbeiter","unternehmen","unternehmen","mitarbeiter","unternehmen","gruenewald","mitarbeiter","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","mitarbeiter","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","mitarbeiter","digitalisierung","unternehmen","unternehmen","digitalisierung","unternehmen","unternehmen","unternehmen","unternehmen","startups","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen"
"2","internet","mitarbeiter","firmen","mitarbeiter","kirch","mitarbeiter","mitarbeiter","kunden","firmen","firmen","mitarbeiter","mitarbeiter","thielen","deutsche","mitarbeiter","mitarbeiter","mitarbeiter","firmen","unternehmen","ackermann","mitarbeiter","internet","mitarbeiter","unternehmen","mitarbeiter","mitarbeiter","unternehmen","mitarbeiter","unternehmen","mitarbeiter","unternehmen","mitarbeiter","manager","unternehmen","mitarbeiter","internet","unternehmen","mitarbeiter","kunden","mitarbeiter","maschmeyer","mitarbeiter","mitarbeiter","mitarbeiter","mitarbeiter","firmen","mitarbeiter","familienunternehmen","mitarbeiter","mitarbeiter","internet","berger","unternehmen","scape","mitarbeiter","google","mitarbeiter","mitarbeiter","mitarbeiter","daten","internet","digitalisierung","unternehmen","unternehmen","digitalisierung","digitalisierung","unternehmen","digitalisierung","digitalisierung","daten","klenk","ki","daten","mitarbeiter","mitarbeiter","digitalisierung","startups","mitarbeiter","daten","mitarbeiter","homeoffice","mitarbeiter","daten"
"3","mitarbeiter","firmen","internet","firmen","enron","kirch","mohn","mitarbeiter","kunden","mitarbeiter","zapf","collect","berger","kunden","posch","manager","deutschland","mitarbeiter","mitarbeiter","kunden","firma","mitarbeiter","kunden","kunden","made","manager","manager","obermann","unicef","gmbh","sat","kunden","kunden","mitarbeitern","manager","unternehmen","internet","koeppel","mitarbeiter","firmen","firmen","internet","kunden","handelsblatt","nokia","huawei","manager","facebook","daten","auszeit","snowden","mitarbeiter","mails","seidel","internet","amazon","internet","internet","google","kunden","google","kunden","kunden","mitarbeiter","digitalen","mitarbeiter","google","mitarbeiter","facebook","sap","digitalisierung","unternehmen","intelligenz","purpose","digitale","daten","digitale","startups","digitale","startups","mitarbeiter","manager","digitale"
"4","kunden","kunden","mitarbeiter","kunden","mitarbeiter","firmen","firmen","firmen","mitarbeiter","berger","kunden","kunden","mitarbeiter","manager","kunden","­","manager","manager","mojto","deutschland","kunden","kunden","chef","firma","germany","firma","firma","berger","mitarbeiter","kunden","kunden","internet","mitarbeiter","kunden","kunden","mitarbeiter","mitarbeitern","kunden","aldi","internet","mitarbeiter","kunden","firmen","manager","firma","firma","internet","internet","produkte","firmen","daten","kunden","firma","firma","daten","daten","google","google","kunden","google","daten","internet","doepfner","kunden","mitarbeiter","maschinen","kunden","digitale","startups","digitalisierung","berndzen","mittelstaendler","technologie","getty","digitalisierung","mitarbeiter","mitarbeiter","firmen","kunden","homeoffice","google","digitale","firmen"
"5","telekom","internet","kunden","telekom","kunden","kunden","firma","hb","hb","manager","firmen","firmen","kunden","mitarbeiter","firmen","firmen","cebit","firma","siemens","mitarbeiter","springer","manager","heuskel","manager","kunden","kleisterlee","kunden","pin","internet","telekom","manager","ebay","berater","lienke","firma","kunden","firmen","sap","spacs","unternehmer","awd","manager","heraeus","mittelstaendler","unternehmer","mitarbeiter","kunden","mitarbeiter","internet","firma","kunden","cloud","kunden","mitarbeiter","digitalen","internet","kunden","digitale","firma","mitarbeiter","mitarbeiter","daten","telekom","digitale","digitale","internet","siedle","internet","daten","facebook","daten","intelligenz","digitale","daten","startups","biontech","digitalisierung","kunden","mitarbeiter","arbeiten","firmen","homeoffice","mitarbeiter"
"6","firma","economy","firma","branche","firmen","manager","middelhoff","nakamura","rtl","firma","roedental","toll","berater","firmen","schwenker","deutschland","rtl","deutschland","firmen","manager","sat","manfredsson","kollegen","telekom","firma","kunden","mitarbeitern","grameenphone","fernsehen","firmen","baehr","mitarbeitern","firmen","fuehrungskraefte","miele","online","kunden","snabe","albrecht","facebook","kunden","doepfner","firma","firma","firmen","cloud","apple","netz","firmen","kunden","google","daten","internet","internet","google","cloud","pischek","digitalen","amazon","digitale","apple","google","internet","internet","kunden","gruender","firma","kunden","dommermuth","mcdermott","digitalen","daten","netzbetreiber","digitale","work","digitale","digitalen","arbeiten","homeoffice","fuehrungskraefte","digitale","familienunternehmen","kunden"
"7","firmen","firma","branche","manager","branche","deutschland","manager","berger","branche","markt","eichhorn","manager","manager","deutschland","deutschland","aufsichtsrat","ag","deutsche","firma","holtzbrinck","risks","firmen","firma","kleinfeld","qualitaet","aufsichtsrat","firmen","kunden","manager","obermann","pro","unternehmer","koelner","management","firmen","rossmann","rolff","mitarbeitern","spac","manager","familienunternehmen","firma","rorsted","firmen","facebook","kunden","firma","kunden","firma","daten","firmen","anbieter","firmen","kunden","berater","digitalen","digitalen","apple","apple","internet","digitale","mittelstand","aldi","firma","google","kunden","markt","digitalen","google","amazon","startups","kuenstliche","auktion","technologien","intelligenz","startups","kunden","digitale","digitalisierung","digitale","kunden","anbieter","google"
