"","2001-01-01","2001-04-01","2001-07-01","2001-10-01","2002-01-01","2002-04-01","2002-07-01","2002-10-01","2003-01-01","2003-04-01","2003-07-01","2003-10-01","2004-01-01","2004-04-01","2004-07-01","2004-10-01","2005-01-01","2005-04-01","2005-07-01","2005-10-01","2006-01-01","2006-04-01","2006-07-01","2006-10-01","2007-01-01","2007-04-01","2007-07-01","2007-10-01","2008-01-01","2008-04-01","2008-07-01","2008-10-01","2009-01-01","2009-04-01","2009-07-01","2009-10-01","2010-01-01","2010-04-01","2010-07-01","2010-10-01","2011-01-01","2011-04-01","2011-07-01","2011-10-01","2012-01-01","2012-04-01","2012-07-01","2012-10-01","2013-01-01","2013-04-01","2013-07-01","2013-10-01","2014-01-01","2014-04-01","2014-07-01","2014-10-01","2015-01-01","2015-04-01","2015-07-01","2015-10-01","2016-01-01","2016-04-01","2016-07-01","2016-10-01","2017-01-01","2017-04-01","2017-07-01","2017-10-01","2018-01-01","2018-04-01","2018-07-01","2018-10-01","2019-01-01","2019-04-01","2019-07-01","2019-10-01","2020-01-01","2020-04-01","2020-07-01","2020-10-01","2021-01-01","2021-04-01","2021-07-01"
"Share (in %) on ""wirtschaft""&""unsicher""-corpus","4.277","4.9202","4.546","4.2626","5.357","4.2752","3.1389","4.2709","3.3846","3.7736","6.2398","5.3667","3.6653","4.859","3.9053","4.8635","4.9675","3.8031","3.0434","4.0759","5.521","5.7424","4.6597","4.6441","5.6147","4.9595","3.1203","3.9826","4.267","4.899","4.2848","4.6282","4.5481","4.124","4.9328","6.0073","3.7102","3.5234","3.3303","4.1639","3.5663","5.2232","3.0563","3.4818","3.8306","3.7435","3.9526","3.9392","4.1744","4.9775","3.5736","3.8552","5.0083","4.593","3.5481","4.6838","4.6346","4.2771","3.7509","3.7949","3.8641","4.2233","3.5914","4.1822","3.5709","3.5641","4.3275","4.6154","4.5608","3.8031","4.2206","2.5357","3.5643","3.1098","3.6179","3.9101","6.6952","7.1215","6.0021","6.3793","5.1886","3.2299","4.9683"
"Share (in %) on ""wirtschaft""-corpus","0.2733","0.2759","0.3579","0.4253","0.3088","0.294","0.2575","0.3229","0.342","0.2662","0.3708","0.3156","0.2414","0.2979","0.2369","0.2995","0.2554","0.2207","0.1865","0.2123","0.2626","0.2946","0.2093","0.2392","0.25","0.2338","0.2002","0.2516","0.294","0.2784","0.2887","0.4169","0.3747","0.2566","0.3192","0.3897","0.2611","0.2752","0.278","0.3352","0.2755","0.4139","0.3205","0.3633","0.2865","0.3161","0.3773","0.3214","0.3436","0.3711","0.2754","0.2518","0.3577","0.2703","0.2647","0.3762","0.398","0.293","0.2973","0.3146","0.421","0.4316","0.4598","0.5337","0.484","0.3912","0.3952","0.4661","0.4005","0.3814","0.4131","0.2733","0.4425","0.3019","0.4214","0.4078","0.9413","0.9908","0.652","0.73","0.4926","0.2791","0.4713"
"Share (in Promille) on entire corpus","0.7813","0.7637","0.9461","1.1572","0.8475","0.8008","0.7788","0.9785","0.968","0.7527","1.0134","0.8752","0.6708","0.8347","0.6209","0.8326","0.6814","0.6037","0.4897","0.5819","0.6732","0.7263","0.5098","0.6248","0.6579","0.6207","0.5262","0.689","0.804","0.755","0.7988","1.433","1.3392","0.8863","1.0146","1.102","0.7941","0.8435","0.8539","1.0742","0.895","1.3124","1.0554","1.2015","0.8955","1.0312","1.1953","1.0428","1.101","1.195","0.86","0.7803","1.1445","0.8783","0.8247","1.193","1.2649","0.9351","0.9434","0.9493","1.3009","1.3837","1.3892","1.6775","1.5321","1.2285","1.2513","1.4643","1.2738","1.2014","1.3812","0.9086","1.4259","1.0311","1.4574","1.4244","3.6249","4.2943","2.5121","2.7486","1.88","0.9963","1.6624"
"1","mark","mark","mark","mark","hamburg","hamburg","stadt","hamburg","hamburg","hamburg","hamburg","hamburg","berlin","messe","muenchen","stadt","stadt","hamburg","hamburg","berliner","berlin","wm","wm","ag","fc","studenten","hens","hamburg","hamburg","schueler","hamburg","puma","merckle","okhrin","stadt","trainer","eichin","hamburg","stadt","studenten","gema","ehec","studenten","berggruen","kuntz","mikhailov","aigner","hochschulen","stork","lippens","charlotte","bayern","hoeness","studenten","bremen","studenten","minhoff","tengelmann","springer","hamburg","tourismus","neon","urlauber","amri","touristen","hochschulen","schabirosky","katalonien","puigdemont","business","chemnitz","studenten","kienbaum","tui","cook","cook","abgesagt","fussball","reisewarnung","gaeste","reisen","werder","gaeste"
"2","berlin","hamburg","hamburg","hamburg","stadt","stadt","hamburger","millionen","euro","berlin","euro","studenten","hamburg","stadt","hamburg","hamburg","berliner","stadt","euro","trainer","ag","fifa","gmbh","drittes","tel","hochschulen","quadratmeter","dsv","tui","hamburg","czinczoll","zeitz","adolf","bayern","hamburg","bayern","haie","stadt","hamburger","hochschulen","magath","gemuese","stadt","vogl","adidas","kerkloh","liga","studenten","nehm","bayern","stadt","phillips","selbstanzeige","wm","fotografie","fussball","bode","bachelor","axel","foodwatch","studium","hochschulen","touristen","bhumibol","sacher","touristen","schueler","katalanischen","journalisten","mihail","uhle","trabelsi","boeing","ruanda","thomas","charlotte","messe","galerien","reisen","flughafen","hotels","kohfeldt","messe"
"3","hamburg","berlin","stadt","berlin","millionen","messe","euro","berlin","berlin","stadt","millionen","hamburger","real","muenchen","berlin","euro","euro","quadratmeter","stadt","euro","bilanzpressekonferenz","hamburg","hoffmann","kofler","watzke","henzler","krug","studenten","hapaglloyd","bayern","hapaglloyd","hamburg","hoeness","studenten","rive","studenten","bayern","luebeck","rossini","bachelor","haniel","spies","legionaere","messe","brand","studenten","jennrich","buettgen","radler","fc","dutt","bahlsen","bayern","psg","studenten","fifa","hsv","weltausstellung","edeka","formel","urlauber","kunstmarkt","tourismus","katzen","universitaeten","studenten","goerlitz","puigdemont","yuecel","school","neugebauer","tunesien","adac","boeing","condor","studenten","olympischen","hotels","urlauber","messen","gaeste","verein","bayern"
"4","airbus","hamburger","millionen","stadt","euro","hamburger","hamburg","euro","millionen","berliner","stadt","stadt","studenten","euro","thannhuber","monaco","bau","euro","ppp","stadt","arena","studenten","zwischennutzung","hamburg","u","hamburg","hamburg","elbe","liga","schulen","hamburger","hamburger","lemke","messe","schiffe","van","saison","spieler","diego","hiss","haniels","studenten","althusmann","hainer","abitur","magerl","studenten","universitaeten","hochhaeuser","fussball","absolventen","fti","uli","stones","hochschule","lamberty","goetzen","fuld","tengelmann","schueler","de","guenther","reisen","kunst","gaeste","la","fiebig","spanien","pagel","parker","mittelmeer","conai","max","studenten","msc","fuersattel","messen","spieler","touristen","reisen","urlaub","touristen","reisen"
"5","berliner","stadt","berlin","millionen","franc","berlin","berliner","hamburger","wohnungen","millionen","hamburger","berliner","koeln","hamburger","seidensticker","metzelder","hamburg","berlin","steinwerder","millionen","walterheilit","tickets","trainer","uldall","hamburg","stadt","studenten","saison","hamburger","mannschaft","myerson","messe","hamburger","haderthauer","bayern","fc","hamburg","magath","studenten","master","schalke","erreger","hochschulen","messen","spieler","praktikum","gema","woehrl","stadt","stadt","studenten","symrise","fc","hochschulen","wirtschaftspsychologie","wm","studium","hochschulen","studenten","hamburger","touristen","spieler","urlaub","autoren","reisebueros","reisen","awd","spanischen","tuerkei","hochschulen","fc","studium","flugzeug","bosnienherzegowina","reisen","thomas","veranstalter","saison","veranstalter","messe","saison","reisen","spiele"
"6","stadt","millionen","berliner","berliner","hamburger","millionen","berlin","mio","esch","euro","franken","millionen","messe","hamburg","millionen","spieler","berlin","berliner","hamburger","berlin","infotelefon","muenchen","hamburger","spieler","frankfurt","premiere","finance","muenchen","universitaeten","fc","schueler","berliner","wolf","frenzel","adc","spieler","leitner","studenten","van","trainer","stadt","seifert","studium","arte","messen","atv","  ","muenchen","frankfurt","klubs","college","studium","stern","fussball","werder","messen","spieler","studium","fach","fifa","lloret","hochschule","ottmann","urlauber","tourismus","medici","tuerkei","barcelona","genschow","studium","tuerkei","universitaet","ethiopian","ensembles","mba","pis","filbry","kuenstler","airlines","memmingen","tourismus","bremen","zuschauer"
"7","a","berliner","knippel","muenchen","berliner","muenchen","millionen","berliner","stadt","messe","mio","euro","stadt","wohnungen","hamburger","hamburger","millionen","schechinger","bau","muenchen","hamburg","berliner","mannschaft","schaaf","mannschaft","arena","kunst","dolmetscher","premiere","sport","nol","hainer","saison","karmann","messe","hoelzl","j","wuerdest","master","kunstmarkt","eichinger","gurken","oenning","hamburg","fck","kuntz","hoeller","professoren","lilly","muenchen","chattanooga","muenchen","  ","rolling","hamburg","liga","tengelmann","edeka","studium","olympia","tunesien","vermoegensmanager","studenten","kuenstler","studenten","znojmo","tourismus","madrid","katalonien","universitaet","braehmer","gaeste","attac","istanbul","urlauber","absolventen","spiele","abgesagt","tui","tirol","messen","messen","hotel"
