"","2001-01-01","2001-04-01","2001-07-01","2001-10-01","2002-01-01","2002-04-01","2002-07-01","2002-10-01","2003-01-01","2003-04-01","2003-07-01","2003-10-01","2004-01-01","2004-04-01","2004-07-01","2004-10-01","2005-01-01","2005-04-01","2005-07-01","2005-10-01","2006-01-01","2006-04-01","2006-07-01","2006-10-01","2007-01-01","2007-04-01","2007-07-01","2007-10-01","2008-01-01","2008-04-01","2008-07-01","2008-10-01","2009-01-01","2009-04-01","2009-07-01","2009-10-01","2010-01-01","2010-04-01","2010-07-01","2010-10-01","2011-01-01","2011-04-01","2011-07-01","2011-10-01","2012-01-01","2012-04-01","2012-07-01","2012-10-01","2013-01-01","2013-04-01","2013-07-01","2013-10-01","2014-01-01","2014-04-01","2014-07-01","2014-10-01","2015-01-01","2015-04-01","2015-07-01","2015-10-01","2016-01-01","2016-04-01","2016-07-01","2016-10-01","2017-01-01","2017-04-01","2017-07-01","2017-10-01","2018-01-01","2018-04-01","2018-07-01","2018-10-01","2019-01-01","2019-04-01","2019-07-01","2019-10-01","2020-01-01","2020-04-01","2020-07-01","2020-10-01","2021-01-01","2021-04-01","2021-07-01"
"Share (in %) on ""wirtschaft""&""unsicher""-corpus","8.7813","8.4909","8.2408","9.1897","4.9117","6.2815","8.7476","8.0105","9.2859","6.9853","5.814","5.0235","4.3899","6.5046","4.1593","5.5737","4.05","4.5367","4.2603","4.8648","3.4412","6.1594","5.338","3.7159","5.0581","3.6609","9.4483","6.7675","7.4858","6.1906","5.5742","8.5292","6.5818","5.6195","6.6026","7.1028","9.1469","11.3962","7.5739","11.5195","8.1443","10.9758","16.6377","14.2156","10.1757","12.0083","12.0532","7.5238","9.9827","7.9223","9.4521","9.6041","7.3335","7.6641","6.9782","7.1736","10.2931","10.2091","9.6937","5.8042","5.2982","4.8903","6.9484","7.0392","4.9339","5.7305","6.534","4.1264","3.6979","5.9005","7.3748","7.8941","5.7779","5.9715","6.5934","3.647","7.7045","6.1617","4.3403","4.4608","3.8411","4.4742","5.9325"
"Share (in %) on ""wirtschaft""-corpus","0.5612","0.4761","0.6487","0.9169","0.2832","0.4319","0.7177","0.6056","0.9383","0.4927","0.3455","0.2954","0.2891","0.3988","0.2524","0.3432","0.2082","0.2632","0.261","0.2534","0.1637","0.316","0.2397","0.1914","0.2253","0.1726","0.6062","0.4276","0.5159","0.3518","0.3756","0.7683","0.5422","0.3497","0.4272","0.4608","0.6438","0.8901","0.6322","0.9273","0.6291","0.8697","1.7446","1.4833","0.7611","1.0139","1.1505","0.614","0.8217","0.5906","0.7284","0.6272","0.5238","0.4511","0.5206","0.5762","0.8839","0.6994","0.7683","0.4811","0.5772","0.4997","0.8896","0.8983","0.6687","0.629","0.5967","0.4167","0.3247","0.5918","0.7217","0.8508","0.7173","0.5796","0.768","0.3803","1.0832","0.8573","0.4715","0.5104","0.3646","0.3866","0.5628"
"Share (in Promille) on entire corpus","1.6041","1.318","1.715","2.4948","0.7771","1.1766","2.1704","1.8353","2.6558","1.3934","0.9443","0.8192","0.8034","1.1174","0.6613","0.9541","0.5555","0.7202","0.6855","0.6946","0.4196","0.779","0.5841","0.4999","0.5927","0.4582","1.5935","1.1708","1.4104","0.9541","1.0392","2.6408","1.938","1.2077","1.3581","1.303","1.9577","2.7281","1.9421","2.9717","2.0438","2.7578","5.7456","4.9054","2.3788","3.3078","3.6449","1.9917","2.6331","1.9019","2.2746","1.944","1.6759","1.4655","1.622","1.8271","2.8092","2.2321","2.438","1.452","1.7837","1.6023","2.6877","2.8234","2.1169","1.9752","1.8892","1.3091","1.0328","1.864","2.4134","2.8286","2.3115","1.9799","2.656","1.3285","4.1714","3.7155","1.8165","1.9219","1.3918","1.3801","1.985"
"1","ezb","ezb","ezb","ezb","ezb","ezb","ezb","ezb","ezb","ezb","ezb","dollar","ezb","ezb","fed","ezb","dollar","ezb","dollar","ezb","ezb","ezb","ezb","ezb","ezb","ezb","ezb","ezb","ezb","ezb","banken","banken","banken","banken","bernanke","banken","banken","banken","banken","irland","banken","griechenland","ezb","ezb","ezb","griechenland","ezb","ezb","ezb","ezb","ezb","ezb","ezb","ezb","ezb","ezb","griechenland","griechenland","griechenland","ezb","ezb","ezb","ezb","ezb","ezb","ezb","ezb","ezb","ezb","ezb","tuerkei","italien","ezb","ezb","ezb","ezb","ezb","ezb","ezb","ezb","ezb","ezb","ezb"
"2","zinssenkung","zentralbank","dollar","zentralbank","duisenberg","dollar","dollar","zinssenkung","dollar","dollar","zinsen","ezb","dollar","zinsen","zinsen","dollar","ezb","dollar","ezb","zinsen","geldpolitik","zinsen","notenbank","inflation","yen","japan","notenbank","banken","fed","zinsen","ezb","ezb","iwf","iwf","ezb","ezb","griechenland","ezb","notenbank","portugal","ezb","banken","griechenland","banken","banken","banken","banken","griechenland","banken","banken","griechenland","banken","draghi","iwf","banken","griechenland","ezb","ezb","tsipras","banken","banken","geldpolitik","banken","italien","eurozone","geldpolitik","draghi","geldpolitik","italien","italien","ezb","ezb","banken","draghi","inflation","zinsen","banken","schulden","italien","lagarde","italien","inflation","inflation"
"3","usa","zinssenkung","zentralbank","usa","zentralbank","zinsen","yen","zentralbank","zinssenkung","zentralbank","iwf","euro","zentralbank","dollar","dollar","zinsen","zinsen","euro","fed","fed","dollar","inflation","zinsen","fed","zinsen","geldmenge","zinsen","zinsen","zinsen","banken","fed","krise","pfund","inflation","banken","hb","bernanke","griechenland","hb","banken","zinsen","iwf","banken","griechenland","griechenland","spanien","zentralbank","waehrungsunion","zypern","eurozone","banken","eurozone","eurozone","banken","eurozone","zentralbank","eurozone","griechischen","ezb","draghi","zentralbank","eurozone","geldpolitik","banken","geldpolitik","draghi","geldpolitik","zentralbank","eurozone","draghi","krise","banken","italien","banken","zinsen","banken","lagarde","italien","banken","banken","draghi","geldpolitik","geldpolitik"
"4","zentralbank","euro","usa","rezession","euro","zentralbank","zentralbank","zinsen","zentralbank","greenspan","euro","usa","zinsen","notenbank","zentralbank","zentralbank","fed","zentralbank","zinsen","geldpolitik","zentralbank","zentralbank","fed","geldpolitik","japan","iwf","zentralbank","fed","zentralbank","zentralbank","zentralbank","zentralbank","geithner","zinsen","lehman","notenbanken","hb","staatsanleihen","inflation","ezb","griechenland","ezb","eurozone","eurozone","eurozone","ezb","staatsanleihen","zentralbank","eurozone","iwf","eurozone","geldpolitik","banken","geldpolitik","draghi","geldpolitik","zentralbank","eurozone","griechischen","geldpolitik","draghi","draghi","zentralbank","geldpolitik","griechenland","eurozone","italien","notenbank","draghi","geldpolitik","italien","italienische","draghi","geldpolitik","notenbank","italien","notenbank","notenbank","notenbank","geldpolitik","inflation","schulden","fed"
"5","fed","duisenberg","euro","geldpolitik","eurozone","usa","zinsen","dollar","duisenberg","deflation","fed","zentralbank","notenbank","yen","geldpolitik","notenbank","trichet","zinsen","greenspan","inflation","bernanke","notenbank","inflation","zinsen","zentralbank","leitzins","banken","zentralbank","banken","finanzkrise","finanzkrise","iwf","bernanke","ezb","notenbank","dollar","fed","zentralbank","bernanke","staatsanleihen","portugal","umschuldung","staatsanleihen","staatsanleihen","weidmann","eurozone","notenbank","banken","notenbank","zypern","draghi","griechenland","zentralbank","zentralbank","geldpolitik","draghi","tsipras","griechische","iwf","eurozone","geldpolitik","zentralbank","eurozone","draghi","italien","iwf","griechenland","banken","geldpolitik","italienischen","banken","regierung","zinsen","italien","geldpolitik","geldpolitik","zentralbank","zinsen","inflation","notenbank","zinsen","notenbank","zentralbank"
"6","greenspan","zinsen","rezession","zinssenkungen","geldpolitik","duisenberg","usa","yen","zinsen","zinsen","usa","yen","usa","zentralbank","notenbank","inflation","euroraum","eurozone","zentralbank","zentralbank","greenspan","geldpolitik","bernanke","waehrung","bernanke","zentralbank","finanzmaerkten","finanzmaerkten","inflation","inflation","krise","zentralbanken","krise","japan","fed","inflation","zentralbank","hb","ezb","fed","staatsanleihen","schulden","anleihen","anleihen","anleihen","waehrungsunion","spanien","draghi","draghi","draghi","iwf","draghi","geldpolitik","zinsen","zentralbank","staatsanleihen","banken","banken","eurozone","griechenland","griechenland","griechenland","draghi","monte","draghi","griechenland","eurozone","zinsen","notenbank","zinsen","iwf","rom","notenbank","notenbank","zentralbank","notenbank","italien","europaeischen","zentralbank","inflation","schulden","wiederaufbaufonds","lagarde"
"7","euro","geldpolitik","notenbank","duisenberg","zinsen","inflationsrate","notenbank","geldpolitik","fed","geldpolitik","notenbank","zinsen","trichet","inflation","ezb","trichet","geldpolitik","usa","inflation","dollar","fed","zinserhoehungen","zentralbank","zentralbank","inflation","geldpolitik","fed","inflation","notenbank","notenbank","paulson","japan","regierung","fed","japan","notenbank","notenbank","iwf","regierung","staaten","anleihen","geldpolitik","zinsen","zentralbank","zentralbank","staatsanleihen","waehrungsunion","iwf","zentralbank","geldpolitik","zentralbank","zentralbank","notenbank","draghi","schaeuble","banken","griechischen","grexit","geldpolitik","zentralbank","iwf","portugal","notenbank","dei","inflation","zentralbank","anleihekaeufe","schaeuble","inflation","eurozone","geldpolitik","zinsen","geldpolitik","tuerkei","italien","iwf","geldpolitik","zentralbank","geldpolitik","schulden","banken","euroraum","zinsen"
"8","zinssenkungen","zinssenkungen","zinssenkungen","zinsen","erholung","euroraum","euro","duisenberg","usa","euro","dollar","bank","fed","usa","usa","oelpreis","zentralbank","wachstum","notenbank","trichet","inflation","bernanke","zinserhoehung","yen","leitzinsen","japans","krise","notenbank","geldpolitik","leitzins","dollar","usa","zinsen","rezession","liquiditaet","zinsen","dollar","maerkte","usa","eurozone","irland","griechischen","staaten","efsf","iwf","zentralbank","griechenland","eurozone","fed","zentralbank","zinsen","zinsen","fed","deflation","zinsen","notenbank","griechische","athen","griechische","zinsen","kredite","zinsen","zinsen","zentralbank","iwf","banken","zentralbank","eurozone","kredite","zentralbank","zentralbank","italienischen","zentralbank","zinsen","banken","holzmann","notenbanken","urteil","kredite","lira","notenbank","zinsen","anleihekaeufe"
"9","zinsen","dollar","zinssenkung","dollar","geldmenge","notenbank","euroraum","fed","eurozone","duisenberg","zentralbank","japan","yen","euroraum","greenspan","wachstum","notenbank","leitzinsen","euro","zinserhoehung","zinsen","stark","japan","leitzinsen","notenbank","japanischen","leitzins","bank","leitzins","bernanke","inflation","finanzmaerkte","dollar","notenbanken","krise","weltwirtschaft","ezb","eurozone","zentralbank","griechenland","staaten","griechenlands","maerkte","notenbank","staatsanleihen","griechischen","eurozone","europaeische","inflation","waehrungsunion","schaeuble","fed","inflation","griechenland","europa","eurozone","athen","griechenlands","griechen","reformen","griechen","waehrungsunion","kredite","paschi","zentralbank","athen","inflation","iwf","banken","griechenland","notenbank","staatsanleihen","eurozone","weidmann","salvini","schulden","staatsanleihen","krise","oekonomen","tuerkei","geldpolitik","lagarde","notenbank"
"10","euroraum","inflation","geldpolitik","euro","dollar","eurozone","iwf","japan","geldpolitik","notenbank","greenspan","trichet","zinssenkung","trichet","inflation","euroraum","inflation","inflation","trichet","bernanke","waehrung","fed","leitzins","geldmenge","trichet","leitzinsen","trichet","trichet","bernanke","fed","konjunktur","zinsen","strausskahn","usa","inflation","trichet","japan","krise","fed","anleihen","notenbank","zentralbank","zentralbank","zinsen","zinsen","athen","esm","spanien","staatsanleihen","zinsen","fed","notenbank","europaeischen","eurozone","mario","iwf","griechenlands","griechen","griechenlands","notenbank","eurozone","banken","italien","renzi","banken","inflation","mario","italien","powell","iwf","tuerkische","italiens","italienischen","eurozone","eurozone","eurozone","finanzkrise","staaten","italiens","europaeischen","zentralbank","eurozone","eurozone"
"11","dollar","usa","yen","zinssenkung","notenbank","euro","fed","notenbank","euro","usa","wachstum","japanischen","euroraum","fed","weber","geldmenge","bundesbank","zinssenkung","wachstum","usa","notenbank","dollar","trichet","dollar","finanzmaerkten","zinsen","leitzinsen","leitzins","finanzkrise","rezession","zinsen","leitzins","zentralbank","krise","reserve","krise","waehrung","handelsblatt","griechenland","spanien","zentralbank","staatsanleihen","notenbank","europaeischen","notenbank","griechische","geldpolitik","notenbank","geldpolitik","waehrung","schuldenschnitt","schulden","zinsen","massnahmen","inflation","tsipras","franken","iwf","athen","iwf","notenbank","staatsanleihen","notenbanker","iwf","staatsanleihen","schaeuble","franken","powell","zinsen","notenbank","lira","eurozone","regierung","lira","draghi","draghi","zinsen","iwf","eurozone","zinsen","europaeischen","zentralbank","italien"
"12","notenbank","wachstum","uswirtschaft","fed","inflation","fed","wachstum","euro","konjunktur","weltwirtschaft","geldpolitik","notenbank","geldpolitik","geldpolitik","bundesbank","usa","usa","fed","zinssenkung","notenbank","zinserhoehung","leitzinsen","zinserhoehungen","bernanke","geldpolitik","inflation","kredite","notenbanken","rezession","trichet","bernanke","notenbank","staaten","regierung","dollar","geld","meltzer","griechenlands","staatsanleihen","waehrungsunion","maerkte","zinsen","schulden","europaeische","esm","griechen","anleihen","europaeischen","zyperns","europaeische","finanzminister","esm","spanien","waehrungsunion","waehrung","rezession","snb","euro","grexit","mario","zinsen","kredite","italiens","italiens","zinsen","euroraum","banken","draghi","zentralbank","italienische","draghi","zentralbank","staatsanleihen","zentralbank","tsipras","weidmann","krise","notenbanken","wirtschaft","zentralbank","staatsanleihen","europa","schulden"
"13","yen","fed","fed","euroraum","rezession","inflation","zinssenkung","usa","leitzinsen","zinssenkung","inflation","wechselkurs","issing","japan","leitzinsen","euro","leitzinsen","waehrung","oelpreis","greenspan","japanischen","zinserhoehung","euroraum","geruechte","zinserhoehung","notenbank","bernanke","rezession","wachstum","iwf","fannie","notenbanken","finanzminister","of","geldpolitik","usa","trichet","trichet","maerkte","zinsen","eurozone","waehrungsfonds","efsf","griechen","efsf","euro","draghi","geldpolitik","griechenland","geld","notenbank","spanien","europa","soros","schulden","zinsen","euro","tsipras","banken","regierung","regierung","mario","notenbanken","eurozone","notenbank","ausstieg","kaeufe","finanzminister","euro","italiens","zinsen","salvini","euroraum","tuerkische","fed","inflation","schulden","banken","euroraum","anleihen","lagarde","italien","vargas"
"14","duisenberg","notenbank","konjunktur","notenbank","usa","europaeischen","konjunktur","konjunktur","oelpreis","europaeische","waehrung","geldpolitik","euro","iwf","oelpreis","yen","erwartet","bundesbank","wirtschaft","zinserhoehungen","wachstum","waehrung","finanzmaerkte","leitzins","dollar","monetaeren","turbulenzen","dollar","solow","dollar","notenbank","dollar","weber","geldpolitik","schulden","zentralbank","iwf","staaten","iwf","iwf","inflation","inflation","waehrungsunion","waehrungsunion","schulden","notenbank","fed","zinsen","euro","slowenien","geldpolitik","europa","staatsanleihen","mario","sapin","inflation","staatsanleihen","zentralbank","zentralbank","waehrungsunion","athen","italien","renzi","kredite","rom","kredite","notenbank","italienischen","fuest","anleihekaeufe","eurozone","notenbank","ezbpraesident","inflation","griechenland","zentralbank","kredite","inflation","milliarden","notenbanken","anleihekaeufe","fed","anleihen"
"15","geldpolitik","iwf","waehrung","europa","zinssenkungen","yen","geldpolitik","inflation","krieg","euroraum","japan","chefvolkswirt","eurozone","wachstum","wachstum","europaeische","leitzins","trichet","leitzins","eurozone","euro","issing","iwf","notenbank","iwf","waehrung","zinserhoehung","of","finanzmaerkte","krise","usa","rezession","roubini","minsky","trichet","geithner","geldpolitik","schulden","rezession","notenbank","japan","handelsblatt","irland","staaten","schuldenschnitt","griechenlands","europaeischen","griechen","zinsen","krise","athen","inflation","waehrungsfonds","notenbank","staatsanleihen","waehrungsfonds","schweizer","waehrungsunion","reformen","glaeubiger","tsipras","schulden","waehrungsunion","zinsen","spanien","griechische","euro","anleihekaeufe","europaeischen","staatsanleihen","schwellenlaender","geldpolitik","kredite","schulden","regierung","tuerkei","fed","anleihen","conte","iwf","eurozone","banken","oekonomen"
"16","japan","euroland","weltwirtschaft","waehrung","bank","waehrung","duisenberg","eurozone","wirtschaft","yen","oekonomen","euros","leitzinsen","weltwirtschaft","geldmenge","eurozone","oekonomen","euros","leitzinsen","euroraum","usa","wachstum","dollar","euroraum","finanzmaerkte","trichet","finanzmaerkte","finanzkrise","weltwirtschaft","euroraum","zinserhoehung","finanzkrise","verstaatlichung","finanzminister","federal","iwf","zinsen","zinsen","staaten","irische","weltwirtschaft","portugal","italien","italien","staaten","iwf","inflation","euro","notenbanker","kredite","portugal","rezession","deflation","schulden","europaeischen","kredite","griechen","reformen","regierung","spanien","geld","notenbanken","monte","italienischen","euro","griechischen","euroraum","notenbanken","griechenland","europaeischen","inflation","schulden","rezession","staatsanleihen","schulden","lagarde","oekonomen","staatsanleihen","lagarde","krise","oekonomen","staaten","pepp"
"17","europaeische","waehrung","wachstum","bank","wim","preisstabilitaet","wirtschaft","deflation","notenbank","konjunktur","euroland","wachstum","greenspan","zinserhoehung","oekonomen","fed","niedrigen","euroraum","geldpolitik","yen","japanische","trichet","liquiditaet","zinserhoehung","japanische","zinserhoehung","zentralbanken","krise","wirtschaft","notenbanken","leitzinsen","schwellenlaender","japan","waehrungsfonds","ben","maerkte","regierungen","kredite","kredite","zentralbank","spanien","glaeubiger","glaeubiger","iwf","eurostaaten","weidmann","zinsen","inflation","waehrungsunion","fed","europaeischen","finanzmaerkte","waehrung","waehrungsfonds","null","athen","deflation","regierung","syriza","europaeischen","notenbanker","waehrung","bankenkrise","waehrungsunion","schulden","mario","staatsanleihen","euroraum","italienische","waehrungsunion","griechenland","bruessel","mario","mario","notenbanken","staatsanleihen","anleihen","bundesbank","schulden","tuerkische","geduld","maerkte","powell"
"18","eurozone","europaeischen","zinsen","konjunktur","wachstum","leitzinsen","inflation","wachstum","weltwirtschaft","wachstum","europa","duisenberg","europaeische","oelpreise","wirtschaft","chefvolkswirt","waehrung","geldpolitik","yen","europaeischen","brown","europaeischen","usa","zinserhoehungen","trades","finanzmaerkte","dollar","usa","usnotenbank","washington","finanzmaerkten","japans","bank","weltwirtschaft","brothers","pfund","krise","griechische","zinsen","finanzmaerkte","schulden","notenbank","pleite","griechische","waehrungsunion","europaeische","italien","staaten","geld","schulden","regierung","regierung","troika","staatsanleihen","griechenland","griechische","geldpolitik","draghi","kredite","milliarden","griechische","massnahmen","iwf","anleihen","padoan","europaeischen","krise","krise","waehrungsunion","weidmann","waehrung","inflation","inflation","iwf","zinssenkung","euroraum","finanzmaerkte","geldpolitik","staatsanleihen","italien","polegato","voruebergehend","wieland"
"19","wirtschaft","euroraum","europaeische","wirtschaft","fed","zinserhoehung","greenspan","europaeische","yen","wirtschaft","bergsten","aufwertung","euros","weber","europaeische","geldpolitik","wachstum","waehrungen","zinserhoehung","wachstum","japan","geldmenge","geldpolitik","japan","fed","yen","geldmarkt","geldpolitik","dollar","finanzmaerkten","amerika","euroraum","ezb","bernanke","wirtschaft","depression","finanzmaerkte","griechischen","wirtschaft","maerkte","ungleichgewichte","schaeuble","krise","maerkte","italien","zinsen","schulden","bankenunion","zyprische","notenbank","staatsanleihen","italien","schaeuble","leitzins","notenbank","europa","zinsen","kredite","fuest","inflation","europaeischen","iwf","paschi","griechenland","kommission","glaeubiger","anleihen","griechenland","italienischen","lega","erdogan","bip","lira","kredite","italienischen","spielraum","euroraum","anleihekaeufe","wirtschaftsleistung","staatsanleihen","schuldenbremse","tuerkei","inflationsrate"
"20","wachstum","greenspan","euroraum","welteke","europaeischen","erholung","bank","leitzinsen","bank","fed","deflation","waehrung","wachstum","leitzinsen","yen","waehrung","santomero","bank","usa","oekonomen","bank","ben","fukui","basispunkte","risiken","wachstum","japan","bernanke","trichet","amerikanische","amerikanische","regierung","notenbank","depression","zinsen","regierung","usa","spekulanten","massnahmen","irlands","usa","irland","portugal","eurolaender","griechischen","inflation","laender","staatsanleihen","europaeischen","spanien","mario","finanzminister","oekonomen","krisenlaender","europaeische","schulden","iwf","europaeische","alexis","draghis","griechischen","schaeuble","europaeische","italienische","waehrungsunion","tsipras","zinsen","inflation","oekonomen","milliarden","italienischen","kredite","italienische","lega","powell","finanzkrise","inflation","staatsverschuldung","fed","finanzkrise","hoehere","pepp","geldpolitischen"
