"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14"
"Proportion (%)","6.581","5.3356","4.5566","7.2721","6.0676","11.2151","6.052","7.0442","10.1475","9.402","4.3714","7.2245","8.9084","5.822"
"1","unternehmen","eu","strom","euro","china","menschen","bank","bundesregierung","  ","aktien","hamburg","ezb","jahr","spd"
"2","mitarbeiter","brexit","oel","konzern","trump","welt","banken","bund","leben","anleger","stadt","banken","wachstum","merkel"
"3","kunden","regierung","energien","mrd","usa","gesellschaft","fonds","euro","kinder","dax","studenten","zentralbank","wirtschaft","partei"
"4","firmen","grossbritannien","energiewende","umsatz","peking","politik","anleger","gesetz","frauen","dollar","hamburger","geldpolitik","quartal","cdu"
"5","firma","russland","energie","milliarden","chinas","heute","kunden","spd","mann","investoren","muenchen","zinsen","deutschland","fdp"
"6","internet","bruessel","gas","mio","obama","gibt","geld","eichel","menschen","analysten","millionen","notenbank","konjunktur","koalition"
"7","manager","land","preise","millionen","iran","deutschland","euro","arbeitnehmer","frau","boerse","messe","eurozone","unternehmen","gruenen"
"8","daten","britische","erneuerbaren","gewinn","krieg","freiheit","immobilien","arbeitgeber","eltern","boersen","berlin","inflation","deutschen","union"
"9","digitalisierung","britischen","barrel","quartal","washington","europa","versicherer","reform","familie","kurse","bayern","griechenland","rueckgang","schroeder"
"10","mitarbeitern","briten","eon","aktie","bush","soziale","sparkassen","gewerkschaften","leute","anleihen","trainer","fed","deutsche","csu"
"11","digitale","london","tonnen","mill","praesident","globalisierung","investoren","ig","maenner","gold","saison","iwf","aufschwung","kanzlerin"
"12","google","parlament","co","unternehmen","irak","demokratie","rendite","berlin","vater","punkten","spieler","staatsanleihen","entwicklung","angela"
"13","digitalen","tuerkei","pro","jahr","chinesischen","sozialen","zinsen","beschaeftigten","paar","punkte","berliner","draghi","investitionen","stoiber"
"14","branche","premier","verbraucher","geschaeft","amerika","staat","aktien","metall","heute","aktie","fc","dollar","industrie","parteien"
"15","startups","europaeischen","opec","siemens","land","leben","wohnungen","unternehmen","erzaehlt","aktienmarkt","hochschulen","euroraum","konsum","waehler"
"16","fuehrungskraefte","putin","rwe","vorstandschef","amerikaner","buerger","altersvorsorge","arbeit","mutter","usa","studium","euro","deutlich","kanzler"
"17","unternehmens","russischen","kraftwerke","uebernahme","chinesische","zukunft","risiken","kommission","stadt","bank","fussball","italien","arbeitsmarkt","ministerpraesident"
"18","neue","frankreich","klimaschutz","analysten","trumps","tun","markt","muesse","spaeter","minus","verein","europaeischen","rezession","sozialdemokraten"
