"","2001-01-01","2001-02-01","2001-03-01","2001-04-01","2001-05-01","2001-06-01","2001-07-01","2001-08-01","2001-09-01","2001-10-01","2001-11-01","2001-12-01","2002-01-01","2002-02-01","2002-03-01","2002-04-01","2002-05-01","2002-06-01","2002-07-01","2002-08-01","2002-09-01","2002-10-01","2002-11-01","2002-12-01","2003-01-01","2003-02-01","2003-03-01","2003-04-01","2003-05-01","2003-06-01","2003-07-01","2003-08-01","2003-09-01","2003-10-01","2003-11-01","2003-12-01","2004-01-01","2004-02-01","2004-03-01","2004-04-01","2004-05-01","2004-06-01","2004-07-01","2004-08-01","2004-09-01","2004-10-01","2004-11-01","2004-12-01","2005-01-01","2005-02-01","2005-03-01","2005-04-01","2005-05-01","2005-06-01","2005-07-01","2005-08-01","2005-09-01","2005-10-01","2005-11-01","2005-12-01","2006-01-01","2006-02-01","2006-03-01","2006-04-01","2006-05-01","2006-06-01","2006-07-01","2006-08-01","2006-09-01","2006-10-01","2006-11-01","2006-12-01","2007-01-01","2007-02-01","2007-03-01","2007-04-01","2007-05-01","2007-06-01","2007-07-01","2007-08-01","2007-09-01","2007-10-01","2007-11-01","2007-12-01","2008-01-01","2008-02-01","2008-03-01","2008-04-01","2008-05-01","2008-06-01","2008-07-01","2008-08-01","2008-09-01","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01","2017-01-01","2017-02-01","2017-03-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-10-01","2017-11-01","2017-12-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01","2018-08-01","2018-09-01","2018-10-01","2018-11-01","2018-12-01","2019-01-01","2019-02-01","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01","2021-01-01","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01","2022-01-01","2022-02-01","2022-03-01"
"Share (in %) on ""wirtschaft""&""unsicher""-corpus","4.0503","5.8784","6.2558","7.5096","5.9118","5.3907","8.0924","4.3949","3.0513","3.8799","5.3378","5.0344","5.9311","5.1143","3.4939","5.0163","3.541","7.9654","6.8046","6.655","4.3119","4.2771","4.2598","3.1429","2.8176","2.8045","3.4554","4.145","3.6019","3.1212","3.6649","4.8002","1.9439","4.6242","4.2264","4.7771","3.6738","5.7685","6.1237","7.6009","4.6507","6.1882","4.3498","3.3438","3.9754","3.8117","4.5622","5.4108","4.123","4.7497","3.7361","7.9328","6.719","10.9999","3.2439","5.7483","5.1713","4.6739","4.8524","4.0587","6.4916","6.2109","5.8471","7.5997","7.3394","5.1806","4.3255","4.3867","5.9205","6.4581","4.6179","6.7566","6.1841","6.0404","5.0188","7.499","8.1559","6.6633","7.6889","3.8784","4.4967","6.9068","4.0466","7.5403","4.2455","4.0565","5.7271","5.7489","5.0437","7.6356","7.3823","9.9567","5.1996","3.2131","4.4819","4.2802","3.7632","4.1524","5.3632","3.6829","4.1142","4.9457","4.9074","4.0199","3.5077","4.2259","2.9002","4.0797","6.1887","6.3152","7.8024","8.1596","5.7176","6.1331","5.3184","3.2781","4.622","3.9543","7.9828","8.8004","3.2037","3.4293","4.7772","3.3837","7.1917","5.8774","5.9856","4.9142","4.8876","5.049","8.8036","6.6617","5.4044","3.6572","5.4809","8.6317","4.7971","8.6176","4.2162","3.7851","3.4563","2.9008","5.0341","5.6587","7.5656","6.9774","5.745","5.8834","3.2255","5.0439","6.1225","3.2921","2.5183","5.6138","5.0764","4.8181","9.4948","9.0331","10.2977","8.0191","8.1223","7.9831","7.9684","8.0131","13.3635","4.3533","4.7726","6.7828","4.2979","5.0389","8.8649","5.8176","6.5017","3.2628","5.2266","4.5304","3.8337","4.005","4.6066","3.7252","4.3138","9.1214","6.6184","7.3652","6.1866","24.4198","15.873","6.0648","5.8634","8.1327","5.7773","4.8255","5.2977","4.3005","8.0769","4.6879","5.0482","10.4769","5.8938","5.9731","4.0047","6.1973","5.8546","4.893","3.0713","3.2274","5.0042","3.0257","3.9734","5.8302","5.8885","6.4177","6.8399","7.1896","5.4749","8.3992","4.8342","9.6353","8.716","4.8102","4.2499","4.0333","4.565","3.3768","5.2045","10.4095","4.7313","5.4715","4.604","3.7267","1.4383","1.4204","1.7301","2.4233","3.8864","3.4872","3.2577","2.8498","2.7078","6.2287","2.9361","3.3307","3.7876","4.3797","3.2398","3.8264","3.9461","3.0306","3.5243","3.4083","5.3738","4.8689","4.8237","4.2889","3.2929"
"Share (in %) on ""wirtschaft""-corpus","0.266","0.3591","0.4048","0.4892","0.297","0.2833","0.4973","0.3109","0.3236","0.4714","0.4848","0.4223","0.4045","0.2676","0.1813","0.3311","0.2375","0.5844","0.5306","0.545","0.3736","0.3134","0.3172","0.2505","0.2246","0.2896","0.4213","0.3447","0.2506","0.1869","0.185","0.3171","0.12","0.2434","0.2887","0.2641","0.2289","0.438","0.3816","0.4633","0.3387","0.3142","0.2385","0.2295","0.2361","0.2308","0.2583","0.3664","0.2007","0.2718","0.1827","0.3831","0.4288","0.6846","0.1697","0.3024","0.3981","0.294","0.2502","0.1687","0.3303","0.2316","0.3086","0.3787","0.4064","0.2499","0.1543","0.2181","0.2876","0.3537","0.2099","0.3684","0.2689","0.2673","0.2298","0.4069","0.3902","0.2681","0.3427","0.282","0.3322","0.3543","0.286","0.5221","0.3037","0.2988","0.3497","0.317","0.3068","0.4184","0.4778","0.5812","0.4053","0.3414","0.3478","0.3589","0.3349","0.3187","0.4356","0.2661","0.2383","0.2777","0.3269","0.242","0.2345","0.2558","0.1851","0.2858","0.39","0.503","0.5411","0.57","0.4711","0.5041","0.4452","0.2846","0.3703","0.247","0.7015","0.8189","0.2215","0.2061","0.4795","0.2461","0.5607","0.5144","0.516","0.6224","0.4939","0.5121","0.9618","0.6802","0.4766","0.2671","0.345","0.6481","0.4552","0.7156","0.4533","0.3586","0.2891","0.2479","0.3993","0.4507","0.5945","0.5935","0.4798","0.5259","0.1896","0.3771","0.4896","0.2362","0.1994","0.4378","0.2716","0.3048","0.5303","0.6742","0.8611","0.4849","0.4947","0.4385","0.5177","0.6234","1.0831","0.3534","0.3624","0.5706","0.4051","0.4705","0.6239","0.3816","0.4889","0.2127","0.3438","0.4","0.3257","0.3707","0.3767","0.2718","0.5067","1.0324","0.6343","0.6655","0.5635","3.0361","2.4443","0.7552","0.6262","0.8215","0.7201","0.7689","0.8371","0.5985","0.8889","0.6374","0.5049","0.9967","0.5564","0.5648","0.341","0.6828","0.6028","0.4346","0.27","0.2627","0.4666","0.2723","0.3953","0.643","0.5514","0.6469","0.6771","0.7735","0.6104","0.8513","0.6488","1.1637","1.0398","0.4848","0.4052","0.3833","0.5397","0.3805","0.6182","1.1078","0.5316","0.509","0.5144","0.4658","0.2592","0.1975","0.2625","0.3067","0.4343","0.3674","0.3535","0.3726","0.3163","0.5808","0.3085","0.2919","0.3525","0.3383","0.3106","0.3314","0.3356","0.3191","0.3359","0.2693","0.5625","0.5761","0.5339","0.4567","0.4807"
"Share (in Promille) on entire corpus","0.7901","1.0039","1.1398","1.4095","0.8037","0.7708","1.3438","0.8096","0.8494","1.3064","1.2838","1.1582","1.1764","0.7073","0.487","0.9338","0.6432","1.5436","1.6085","1.6895","1.0978","0.9722","0.9653","0.7351","0.6823","0.8152","1.1164","0.9152","0.7279","0.5463","0.5136","0.835","0.3329","0.6809","0.816","0.708","0.6431","1.1954","1.0629","1.3459","0.985","0.8235","0.6285","0.5742","0.6425","0.6486","0.7152","1.0113","0.5505","0.7104","0.4842","1.0117","1.1643","1.9536","0.4322","0.7799","1.0929","0.8013","0.6964","0.4574","0.8998","0.5434","0.8072","0.9867","1.0543","0.5546","0.3576","0.5234","0.7447","0.9302","0.5552","0.9421","0.7171","0.7009","0.5988","1.0603","1.0344","0.7242","0.8714","0.7464","0.8953","0.9804","0.7737","1.4311","0.867","0.8127","0.9187","0.8957","0.8205","1.1015","1.2864","1.5561","1.1867","1.2011","1.1837","1.2125","1.1879","1.1315","1.5786","0.9284","0.8177","0.9552","1.0399","0.7426","0.7698","0.7872","0.5151","0.7643","1.1565","1.5597","1.6593","1.751","1.463","1.5233","1.2761","0.898","1.1907","0.8087","2.2963","2.5073","0.7666","0.6422","1.5273","0.7976","1.727","1.6458","1.6356","2.066","1.6727","1.7167","3.2818","2.1441","1.5648","0.8252","1.0396","2.0908","1.5038","2.3309","1.4559","1.0892","0.9426","0.805","1.3258","1.423","1.9379","1.8901","1.52","1.6889","0.6106","1.2176","1.5945","0.7029","0.6249","1.3975","0.8298","0.9272","1.759","2.077","2.7546","1.6073","1.6268","1.3782","1.5661","1.9361","3.4863","1.1221","1.169","1.7743","1.3274","1.4708","1.9539","1.1727","1.5591","0.7048","1.1287","1.2602","1.0045","1.1237","1.1451","0.8102","1.6519","3.0619","1.931","2.152","1.8043","9.6614","7.2778","2.2035","1.9848","2.48","2.4462","2.3118","2.7615","1.8637","2.7442","1.9792","1.6013","3.1318","1.708","1.8579","1.071","2.1573","1.9312","1.3275","0.8961","0.7912","1.4945","0.835","1.3013","1.9912","1.7866","2.2424","2.2501","2.6846","2.0261","2.6221","2.1786","3.75","3.2522","1.6655","1.387","1.3004","1.7831","1.3324","2.2124","3.8028","1.8802","1.7885","1.961","1.6565","1.0824","0.9018","1.1279","1.2714","1.7065","1.4135","1.3362","1.4448","1.1738","2.1479","1.1855","1.1436","1.3069","1.214","1.1162","1.1702","1.1482","1.0652","1.2955","1.0057","2.0134","2.1344","1.9702","1.6357","1.9025"
"1","regierung","tuerkei","brasilien","regierung","eu","polen","argentinien","argentinien","eu","eu","eu","cavallo","aznar","peso","argentinien","polen","fortuyn","brasilien","brasilien","brasilien","brasilien","lula","tuerkei","eu","eu","chirac","tuerkei","polen","regierung","polen","yukos","regierung","eu","russland","tuerkei","eu","tuerkei","tuerkei","eu","eu","regierung","juncker","gazprom","russland","tuerkei","tuerkei","tuerkei","tuerkei","verfassung","russland","russland","putin","verfassung","eu","chirac","regierung","eu","tuerkei","regierung","lamy","ukraine","russland","russland","italien","brasilien","eu","russland","eu","blair","polen","russland","russland","russland","sarkozy","frankreich","russland","sarkozy","putin","tuerkei","regierung","sarkozy","russland","prodi","zuma","putin","regierung","klerk","brown","moskau","russland","tuerkei","russland","russland","tuerkei","eu","russland","ukraine","sarkozy","eu","russland","kirchner","russland","eu","russland","eu","russland","schweiz","papandreou","regierung","schweiz","griechenland","athen","regierung","eu","eu","berlusconi","sarkozy","eu","sarkozy","regierung","bosomworth","italien","eu","land","juncker","land","italien","sarkozy","putin","italien","berlusconi","eu","monti","land","sarkozy","sarkozy","hollande","regierung","hollande","regierung","rajoy","samaras","cameron","monti","cameron","monti","eu","regierung","ungarn","eu","russland","berlusconi","brembo","juncker","ukraine","janukowitsch","russland","ukraine","russland","russland","schulz","russland","russland","russland","schottland","renzi","russischen","russland","russland","moskau","russland","russland","russland","tuerkei","eu","london","olexander","pfund","london","spanien","eu","eu","eu","eu","brexit","eu","eu","grossbritannien","eu","may","eu","eu","eu","eu","eu","eu","may","may","brexit","eu","brexit","may","brexit","eu","grossbritannien","brexit","brexit","zollunion","eu","eu","brexit","eu","grossbritannien","eu","brexit","brexit","eu","brexit","brexit","brexit","eu","eu","brexit","brexit","brexit","johnson","johnson","johnson","eu","eu","johnson","eu","eu","britischen","johnson","eu","eu","grossbritannien","eu","grossbritannien","eu","eu","eu","eu","eu","eu","grossbritannien","eu","grossbritannien","eu","eu","nordirland","eu","eu","eu"
"2","polen","brasilien","regierung","cavallo","berlusconi","eu","regierung","jospin","regierung","argentinien","bbva","argentinien","eu","regierung","tuerkei","jospin","lowe","argentinien","tuerkei","iwf","iwf","brasilien","eu","tuerkei","kommission","frankreich","regierung","eu","kroatien","referendum","chodorkowskij","frankreich","tuerkische","chodorkowski","russland","karamanlis","ruehe","eu","zapatero","tuerkei","eu","eu","russland","gyurcsany","eu","eu","eu","putin","referendum","russischen","regierung","eu","franzosen","barroso","putin","eu","juschtschenko","barroso","parlament","eu","eu","putin","frankreich","berlusconi","baltischen","tuerkei","ukraine","regierung","italia","russland","eu","eu","eu","royal","eu","royal","polen","russland","erdogan","chávez","brown","frankreich","russland","russland","eu","russland","regierung","italien","eu","medwedjew","eu","medwedjew","russische","russland","sarkozy","sarkozy","russland","brown","schweiz","bulgarien","aussenpolitik","ungarn","barroso","petrobras","berlusconi","eu","northug","athen","argentiniens","eu","eu","eu","briten","sarkozy","ungarn","regierung","tuerkei","tuerkei","land","juppé","premier","eu","italien","eu","strausskahn","eu","tremonti","spanien","berlusconi","paris","italien","cameron","frankreich","regierung","putin","frankreich","sarkozy","monti","monti","roemer","regierung","hollande","bruessel","berlusconi","eu","berlusconi","parlament","hollande","hollande","frankreich","regierung","kirchner","juwelier","luxemburg","eu","kiew","frankreich","eu","ukraine","eu","russland","ukraine","russische","russischen","unabhaengigkeit","russischen","russland","putin","moskau","russland","ukraine","britische","cameron","erdogan","russland","erdogan","katalonien","erdogan","britischen","frankreich","russland","brexit","grossbritannien","grossbritannien","grossbritannien","grossbritannien","grossbritannien","eu","grossbritannien","brexit","brexit","grossbritannien","grossbritannien","grossbritannien","london","erdogan","eu","brexit","grossbritannien","grossbritannien","eu","eu","grossbritannien","britische","brexit","grossbritannien","eu","eu","orbán","brexit","eu","brexit","brexit","brexit","eu","eu","brexit","eu","eu","eu","brexit","brexit","weyand","eu","grossbritannien","eu","grossbritannien","brexit","johnson","britischen","eu","bruessel","grossbritannien","eu","eu","britischen","johnson","eu","johnson","eu","wirksamkeit","impfstoff","astrazeneca","luther","schottland","grossbritannien","johnson","grossbritannien","nordirland","johnson","weine","eu","paris","kommission","macron"
"3","russland","russland","eu","argentinien","roma","regierung","brasilien","tuerkei","argentinien","regierung","tuerkei","regierung","bruessel","brasilien","land","chirac","sedelmayer","regierung","argentinien","argentinien","regierung","eu","regierung","chávez","union","franzoesischen","eu","frankreich","kirchner","zloty","russlands","eu","land","putin","koizumi","putin","eu","putin","russland","regierung","polen","lamy","chirac","mbeki","peso","regierung","polen","ukraine","land","kiew","juschtschenko","tuerkei","tuerkei","verfassung","land","tuerkei","russland","eu","spanien","gazprom","russland","villepin","eu","prodi","russland","suez","praesident","frankreich","brown","eu","russische","europa","milinkewitsch","linke","regierung","eu","frankreich","russische","tuerkischen","russland","praesident","putin","italien","polen","moskau","tuerkische","de","regierung","brown","irland","regierung","russischen","brown","moskau","brown","land","moskau","eu","bruessel","tuerkei","stronach","praesident","islands","russischen","bruessel","georgien","ferrero","eu","ukraine","land","land","griechenland","cameron","regierung","land","fini","eu","nairobi","eu","russland","russland","berlusconi","sarkozy","frankreich","stoiber","parlament","berlusconi","tuerkei","russland","berlusconi","monti","putin","eu","russland","hollande","hollande","eu","rajoy","berlusconi","rutte","kosovo","regierung","monti","italien","grossbritannien","grillo","bruessel","putin","orbán","russland","land","napolitano","turk","kirchner","russland","eu","eu","schweiz","sanktionen","krim","putin","sanktionen","russischen","eu","schotten","russische","eu","russischen","eu","russischen","putin","eu","eu","akp","renzi","pen","eu","harper","eu","sothebys","russischen","grossbritannien","briten","briten","eu","brexit","brexit","britische","london","eu","briten","brexit","may","london","grossbritannien","grossbritannien","grossbritannien","eu","london","brexit","may","brexit","pfund","brexit","eu","eu","britischen","brexit","soros","grossbritannien","grossbritannien","briten","eu","london","may","may","grossbritannien","may","may","grossbritannien","bruessel","london","britischen","johnson","pfund","brexit","brexit","grossbritannien","grossbritannien","brexit","hai","pfund","britische","britische","pfund","brexit","brexit","pfund","grossbritannien","britische","britische","eindhoven","moutier","england","eukommission","netanjahu","britische","gdl","eu","lesen","château","britische","brexit","polen","seite"
"4","de","regierung","argentinien","dervis","regierung","pasok","chirac","regierung","polen","bruessel","regierung","abwertung","solbes","argentinien","eu","le","eu","le","iwf","russland","argentinien","regierung","akp","brasilien","regierung","paris","chirac","bruessel","russland","tuerkei","lebedjew","franzoesische","regierung","eu","eu","russland","mitgliedstaaten","regierung","spanien","polen","tuerkei","bruessel","russischen","ungarn","kroes","russland","verheugen","russland","eu","regierung","bruessel","euverfassung","frankreich","bruessel","bruessel","telstra","regierung","europa","bruessel","europaeischen","kiew","de","tuerkei","regierung","eu","enel","janukowitsch","krise","russland","ungarn","polen","russischen","blair","linken","spanien","ukraine","franzosen","brown","russland","rubel","nhs","brown","russischen","anc","russland","berlusconi","suedafrika","russland","russland","rom","russischen","moskau","moskau","suedafrikas","italien","russische","slowakei","kayseri","topolánek","ukraine","schatz","moskau","bruessel","georgien","russische","lettland","morales","díaz","redrado","griechenland","schweiz","regierung","britischen","papakonstantinou","europaeischen","italien","nabucco","russland","regierung","berlusconi","europaeische","land","land","island","land","sarkozy","italiens","italien","medwedjew","italiens","papandreou","sarkozy","sarkozy","eu","eu","regierung","regierung","italien","regierung","sozialisten","eu","eu","italien","regierung","valls","italien","berlusconi","frankreich","regierung","bruessel","erdogan","regierung","zamboanga","land","abkommen","ukraine","putin","russland","russische","putin","regierungschefs","eu","sanktionen","schottland","russland","ukraine","moldau","russische","separatisten","hollande","eu","russische","georgien","erdogans","briten","ukraine","katalanische","briten","akp","eu","premier","britischen","brexit","brexit","briten","briten","london","london","briten","grossbritannien","london","london","briten","bruessel","may","referendum","theresa","grossbritannien","britischen","london","grossbritannien","grossbritannien","london","grossbritannien","london","grossbritanniens","grossbritannien","grossbritannien","ungarn","london","london","moldau","britische","stubb","grossbritannien","britische","britische","grossbritannien","grossbritannien","britischen","britischen","pfund","grossbritannien","grossbritannien","eu","london","britische","eu","brexit","grossbritannien","boris","studiengebuehren","pfund","england","brexit","bruessel","bruessel","brexit","britische","johnson","brexit","nachbarland","johnson","schottland","schottischen","bennett","england","britische","britische","koenigreich","bruessel","grossbritannien","kommission","boris","thani"
"5","kutschma","eu","verheugen","krise","berlusconis","putin","eu","russland","bruessel","polen","berlusconi","aires","jospin","bruessel","madrid","pen","regierung","pen","regierung","regierung","lula","praesident","ankara","kopenhagen","verfassung","de","frankreich","polnischen","russische","eu","russische","polen","italien","russlands","putin","regierung","regierung","putins","madrid","slowakei","belka","bull","moskau","moskau","regierung","kolumbien","verfassung","eu","russland","juschtschenko","chirac","yukos","eu","frankreich","russische","ukraine","tuerkei","tuerken","juschtschenko","parlament","russische","frankreich","russischen","frankreich","moskau","eta","juschtschenko","polen","telecom","préda","regierung","russische","schotten","blair","enel","regierung","verfassung","russischen","tuerkische","tuerkei","parlament","cameron","brown","slowenien","medwedjew","praesident","partei","partei","putin","eu","tnkbp","putin","zuma","regierung","regierung","russischen","gazprom","russland","sarkozy","regierung","de","eu","island","regierung","russland","calmyrey","magnitskij","ferrán","land","athen","barroso","papandreou","frankreich","land","osteuropa","silvio","regierung","russlands","landes","eu","davos","europa","regierung","sarkozy","premier","lauvergeon","land","regierung","tremonti","sarkozy","italiens","grossbritannien","italien","parlament","regierung","madrid","tuerkei","land","italien","premier","clegg","frankreich","eu","rajoy","britische","bersani","insel","europa","poloz","tuerkei","frankreich","tuerkei","italien","regierung","putin","chodorkowskij","hollande","schweizer","russischen","ukraine","ukraine","franzosen","eu","ukraine","schottischen","russland","putin","russlands","grossbritannien","miliband","russischen","russen","briten","rohani","rajoy","italien","madrid","pis","cameron","podemos","britischen","russland","osborne","austritt","erdogan","london","britische","briten","brexit","pfund","britischen","irland","brexit","brexit","britischen","polen","brexit","theresa","eu","pfund","reesmogg","london","may","bruessel","may","johnson","austritt","hawes","bruessel","britische","britischen","bruessel","britischen","europaeischen","britische","britischen","may","maerz","britische","briten","grossbritannien","britische","eu","britischen","britischen","grossbritannien","eu","boris","britischen","britische","kontrollen","britischen","johnson","grossbritannien","michel","britische","britische","globalgeschichte","sunak","gantz","astrazeneca","kommission","vakzin","worms","schweiz","gdl","eu","dosen","rutte","bruessel","nordirland","bruessel","grossbritannien","nordirland","grossbritannien"
"6","moskau","iwf","dervis","ankara","bruessel","simitis","koizumi","eu","solbes","brasilien","lateinamerika","buenos","chirac","frankreich","aires","frankreich","haag","eu","eu","lateinamerika","camorra","paulo","mexiko","zypern","staaten","frankreichs","moskau","russland","resona","forint","madrid","huebner","beitritt","yukos","polen","tuerkei","frankreich","erdogan","russischen","tuerkischen","brasilien","regierung","kommission","anc","kessler","beitritt","regierung","russischen","argentinien","ungarn","solbes","russische","euverfassung","chirac","russland","russische","praesident","regierung","premier","bruessel","russischen","eu","moskau","russland","regierung","parlament","regierung","europa","regierung","regierung","giscard","moskau","weissrussland","brown","europa","land","verheugen","regierung","regierung","russischen","russischen","darling","regierung","mbeki","premier","mbeki","anc","rom","regierung","iren","akp","georgien","regierung","suedafrika","nicolas","eu","premier","schweiz","premier","polen","magna","jobbik","russland","hatoyama","irland","mitschek","giovanni","land","weissrussland","europaeischen","athen","griechische","land","premier","russland","nord","land","regierung","premier","kasachstan","sarkozy","tuerkei","kommission","regierung","eu","medwedjew","italienische","erdogan","moskau","frankreich","regierung","camerons","fiskalpakt","premier","frankreich","eu","rupo","eu","madrid","frankreich","parlament","parlament","regierung","eu","bruessel","frankreich","regierung","italien","europa","paris","premier","casson","lissabon","eu","vilnius","tuerkei","land","bruessel","eu","russische","juncker","juncker","putin","moskau","pfund","moskau","russische","rubel","rubel","russische","grossbritannien","russischen","tories","landes","pristina","britischen","katalanen","katalonien","tuerkei","ciudadanos","moskau","britische","erdogan","britische","europa","britische","britischen","brexit","may","britische","grossbritannien","briten","london","britische","brexit","tuerkische","britische","briten","briten","insel","briten","tories","briten","london","britischen","britischen","nordirland","premierministerin","orbáns","may","bruessel","deal","may","britische","britischen","grossbritannien","britischen","britischen","britischen","pfund","britische","bruessel","johnson","pfund","britische","deal","labour","britischen","britische","pfund","brexit","londoner","brexit","johnson","bruessel","johnson","pen","harten","briten","brexit","grossbritannien","spahns","grossbritannien","kuestermeier","bruessel","weselsky","regierung","bentley","seite","kuprijanow","regierung","britischen","seite","gazprom","bruessel"
"7","landes","land","mori","brasilien","europaeischen","moskau","russland","iwf","brasilien","moskau","sch","peso","argentinien","franzoesischen","buenos","ukraine","argentinien","land","spanien","botín","brasiliens","cl","bruessel","lateinamerika","argentinien","regierung","bruessel","regierung","mrd","pébereau","russland","berlusconi","frankreich","regierung","yukos","europaeische","pasok","italien","regierung","europa","mexiko","tuerkei","regierung","spanien","bruessel","sarkozy","ariman","berlusconi","polen","russische","franzosen","russland","referendum","europa","chiracs","russland","tymoschenko","tuerkischen","brasilien","russischen","moskau","ukraine","chirac","eu","putin","madariaga","land","tuerkei","provera","putin","land","russlands","schottischen","eu","chávez","russische","tuerkei","blair","land","zypern","cameron","regierung","moskau","regierung","wahl","land","mbeki","akp","fernández","russischen","erdogan","russische","suedafrika","land","einwanderer","kreml","gas","franzoesischen","praesident","parlament","eu","wto","beitritt","russische","barroso","dogan","red","schweiz","minsk","ozawa","regierung","land","bulgarien","ungarn","frankreich","lega","frankreich","land","ruerup","land","russische","italienische","bruessel","europaeischen","paris","russland","regierung","eu","regierung","bruessel","eu","medwedjew","cameron","italien","tschechien","spanien","griechen","hollande","land","sp","samaras","ukraine","land","parlament","briten","regierung","hollande","landes","paris","italien","russlands","roma","praesidenten","front","moldau","russland","ukraine","tuerkei","moskau","moskau","zuma","putin","moskau","putin","putin","pfund","russlands","moskau","regierung","kiew","sanktionen","pfund","pfund","russische","sanktionen","jeanmarie","spanischen","christies","brexit","mehrheit","britische","briten","russland","grossbritanniens","london","austritt","briten","britischen","britische","london","britische","bruessel","europaeischen","may","briten","erdogans","london","britischen","may","britischen","london","britischen","britischen","briten","theresa","britische","london","erdogan","viktor","britischen","britische","europaeischen","briten","grossbritannien","bruessel","ungeordneten","premierministerin","britische","unterhaus","london","may","grossbritannien","leyen","britische","london","nordirland","premierminister","mehrheit","london","johnson","regierung","england","of","brexit","britische","grossbritannien","bbc","britische","boris","britischen","pfund","pharmafirmen","bern","karl","unabhaengigkeit","tigray","london","frankreich","forschenden","le","polen","johnson","bruessel","london","lesen"
