"","Topic 1: Corporate Culture","Topic 2: EU Conflicts","Topic 3: Energy & Climate Change Mitigation","Topic 4: Companies & Markets","Topic 5: Geopolitics","Topic 6: Society","Topic 7: Financial Markets I","Topic 8: German Politics I","Topic 9: Miscellaneous","Topic 10: Financial Markets II","Topic 11: Leisure & Hospitality","Topic 12: Central banks","Topic 13: German Economy","Topic 14: German Politics II"
"2020-01-01",0,0,0,1,4,16,1,0,5,10,2,2,10,0
"2020-02-01",6,3,3,13,27,15,11,8,8,92,40,34,57,3
"2020-03-01",56,16,17,67,32,127,71,63,72,135,144,156,88,43
"2020-04-01",84,11,15,86,29,144,58,96,73,83,71,78,68,28
"2020-05-01",70,12,4,85,24,129,91,73,44,61,83,74,106,26
"2020-06-01",53,28,21,64,18,153,36,64,49,46,58,34,70,13
"2020-07-01",51,15,5,56,11,68,26,47,42,55,45,41,110,10
"2020-08-01",36,12,8,31,34,75,34,51,27,48,45,22,63,26
"2020-09-01",39,9,6,32,17,111,20,49,19,47,39,24,96,20
"2020-10-01",38,6,10,37,66,92,36,47,47,56,65,36,146,56
"2020-11-01",36,16,8,48,8,93,41,56,43,75,41,33,93,14
"2020-12-01",54,19,5,39,6,84,14,42,48,36,24,12,88,15
"2021-01-01",36,17,9,21,19,91,9,64,28,26,24,18,103,30
"2021-02-01",28,6,3,22,5,112,18,33,34,23,32,40,41,15
"2021-03-01",45,14,2,24,22,62,14,35,29,38,36,17,71,38
"2021-04-01",13,6,1,2,7,50,19,49,24,8,15,13,65,16
"2021-05-01",28,9,5,19,5,88,13,16,25,20,10,6,41,13
"2021-06-01",22,7,3,13,8,48,2,14,19,15,14,23,71,3
"2021-07-01",9,19,1,10,6,23,9,15,11,28,40,27,68,8
"2021-08-01",18,4,4,16,6,55,15,33,17,28,20,14,80,8
"2021-09-01",25,7,1,13,12,14,7,16,2,6,6,19,82,12
"2021-10-01",8,8,3,11,4,12,3,26,3,10,25,28,49,9
"2021-11-01",15,8,4,14,11,26,9,19,20,16,28,15,61,12
"2021-12-01",22,18,7,14,11,55,13,27,11,12,54,33,109,14
"2022-01-01",12,10,5,10,3,46,8,18,12,18,43,21,123,4
"2022-02-01",7,6,3,6,3,27,4,17,12,11,43,9,40,3
"2022-03-01",15,4,2,10,10,28,5,22,10,12,26,33,92,14
"2022-04-01",4,3,1,11,7,17,4,12,12,7,27,19,70,11
"2022-05-01",7,8,2,22,10,23,6,7,8,16,25,19,112,3
"2022-06-01",13,3,0,13,2,10,6,8,9,15,13,21,49,4
"2022-07-01",10,5,1,14,6,27,8,9,9,12,16,15,60,8
