"","2001-01-01","2001-02-01","2001-03-01","2001-04-01","2001-05-01","2001-06-01","2001-07-01","2001-08-01","2001-09-01","2001-10-01","2001-11-01","2001-12-01","2002-01-01","2002-02-01","2002-03-01","2002-04-01","2002-05-01","2002-06-01","2002-07-01","2002-08-01","2002-09-01","2002-10-01","2002-11-01","2002-12-01","2003-01-01","2003-02-01","2003-03-01","2003-04-01","2003-05-01","2003-06-01","2003-07-01","2003-08-01","2003-09-01","2003-10-01","2003-11-01","2003-12-01","2004-01-01","2004-02-01","2004-03-01","2004-04-01","2004-05-01","2004-06-01","2004-07-01","2004-08-01","2004-09-01","2004-10-01","2004-11-01","2004-12-01","2005-01-01","2005-02-01","2005-03-01","2005-04-01","2005-05-01","2005-06-01","2005-07-01","2005-08-01","2005-09-01","2005-10-01","2005-11-01","2005-12-01","2006-01-01","2006-02-01","2006-03-01","2006-04-01","2006-05-01","2006-06-01","2006-07-01","2006-08-01","2006-09-01","2006-10-01","2006-11-01","2006-12-01","2007-01-01","2007-02-01","2007-03-01","2007-04-01","2007-05-01","2007-06-01","2007-07-01","2007-08-01","2007-09-01","2007-10-01","2007-11-01","2007-12-01","2008-01-01","2008-02-01","2008-03-01","2008-04-01","2008-05-01","2008-06-01","2008-07-01","2008-08-01","2008-09-01","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01","2017-01-01","2017-02-01","2017-03-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-10-01","2017-11-01","2017-12-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01","2018-08-01","2018-09-01","2018-10-01","2018-11-01","2018-12-01","2019-01-01","2019-02-01","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01","2021-01-01","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01","2022-01-01","2022-02-01","2022-03-01","2022-04-01","2022-05-01","2022-06-01","2022-07-01","2022-08-01"
"Share (in %) on ""wirtschaft""&""unsicher""-corpus","10.9412","7.8201","9.3793","11.0223","9.5263","12.4098","10.2709","12.5391","7.0683","6.0278","10.4591","9.4161","13.1469","6.7174","14.8043","10.644","9.5003","8.3581","10.6439","9.7341","7.8227","7.6723","8.963","10.7614","8.6308","4.9673","5.9925","8.1658","9.9573","10.244","9.7177","11.9659","11.768","11.4689","15.3968","11.0103","12.3087","12.8637","8.8114","11.645","11.8892","11.1835","11.2003","10.7881","10.9671","8.3513","13.642","17.9995","12.1179","12.598","12.9814","10.5835","10.517","10.3776","13.7521","11.0566","11.886","17.2879","12.0649","12.5958","8.5946","11.4082","12.6307","11.6896","13.0391","11.1532","8.8327","8.3122","10.9274","11.0726","13.532","14.6485","9.7319","17.2187","9.9932","9.7435","13.2291","12.184","14.0634","8.286","11.3953","8.7039","8.1806","12.0054","6.8585","10.6397","11.1204","7.7982","13.2451","11.4352","10.8289","9.6465","10.3411","10.6615","10.8579","11.3766","14.3666","9.6487","12.7197","10.2858","13.918","11.6926","11.7306","9.2273","10.4619","9.881","14.5614","7.1663","8.6949","10.0712","8.8131","7.5204","10.1295","8.0676","8.2499","7.5909","11.2307","11.0655","12.2815","10.9907","10.2468","7.8179","6.779","10.3425","10.6602","13.6856","7.2061","8.3498","6.2109","9.4743","6.0739","8.98","6.755","9.9404","10.5778","8.8826","10.5418","7.7271","9.2486","10.4926","8.7458","10.0978","5.6906","13.6759","12.8248","8.6919","9.5528","10.623","11.8443","11.8662","7.5073","10.3331","12.961","9.1156","14.1676","10.2099","14.1686","11.6343","10.8301","12.866","11.2336","15.3635","9.6662","8.96","11.7394","8.889","13.6823","14.2802","11.369","13.1921","10.7269","8.318","15.2818","9.5628","10.7346","10.9456","10.093","11.6001","11.4815","8.9991","10.2473","9.6253","10.643","12.4788","11.3632","7.667","8.6432","12.35","4.4212","16.3668","5.5741","9.8038","8.4712","9.5442","10.3287","9.4371","9.2829","12.3925","7.0579","9.1776","15.2934","9.1197","9.2311","9.5629","14.2885","9.6201","10.389","5.6978","9.3323","8.7262","9.6857","7.2058","9.9565","7.9983","12.3516","9.677","5.4604","8.3795","12.6463","8.4113","6.6125","3.9684","9.8109","5.8413","9.9756","7.0275","7.6692","11.8685","9.0672","12.2143","12.1561","11.7055","9.1848","10.2332","10.1654","9.015","11.0786","9.2439","9.3036","11.4077","12.1004","9.3204","10.2674","17.2917","11.0139","11.8865","9.8257","11.1161","7.8631","5.5703","9.3534","8.4358","6.9032","8.4033","7.1082","7.7369","6.5286","15.0876","9.7616","6.3249"
"Share (in %) on ""wirtschaft""-corpus","0.7187","0.4777","0.6069","0.718","0.4786","0.6522","0.6312","0.8871","0.7495","0.7323","0.95","0.7899","0.8966","0.3515","0.7683","0.7026","0.6372","0.6133","0.83","0.7972","0.6778","0.5622","0.6675","0.8577","0.688","0.5129","0.7307","0.6791","0.6928","0.6135","0.4904","0.7905","0.7267","0.6037","1.0517","0.6086","0.767","0.9768","0.5491","0.7098","0.866","0.5678","0.6142","0.7403","0.6514","0.5058","0.7724","1.2187","0.59","0.7208","0.6347","0.5112","0.6712","0.6459","0.7192","0.5816","0.9151","1.0874","0.622","0.5235","0.4373","0.4254","0.6667","0.5826","0.7221","0.538","0.3152","0.4133","0.5309","0.6065","0.6151","0.7987","0.4231","0.762","0.4575","0.5286","0.6329","0.4903","0.6269","0.6024","0.8419","0.4465","0.5781","0.8313","0.4907","0.7836","0.679","0.43","0.8056","0.6266","0.7009","0.5631","0.806","1.1329","0.8426","0.9539","1.2787","0.7406","1.0331","0.7432","0.8062","0.6565","0.7815","0.5555","0.6993","0.5982","0.9292","0.502","0.548","0.8017","0.6112","0.5253","0.8346","0.6631","0.6905","0.6591","0.8997","0.6913","1.0793","1.0227","0.7086","0.4698","0.6804","0.7521","0.8312","1.1977","0.6212","1.0575","0.6276","0.9609","0.6636","0.917","0.5958","0.726","0.6659","0.6669","1.0003","0.6417","0.9943","0.9941","0.7315","0.8631","0.4514","1.0893","1.0077","0.7393","0.7978","0.9496","0.6961","0.8872","0.6004","0.7414","1.0261","0.7108","0.7581","0.646","0.7914","0.8683","0.9056","0.778","0.6842","0.8439","0.628","0.6971","0.9515","0.7217","1.0391","1.2013","1.0716","1.2319","0.755","0.5456","1.1492","0.6233","0.7061","0.9665","0.8576","1.0738","0.9389","0.6567","1.2036","1.0894","1.02","1.1276","1.035","0.9532","1.331","1.5378","0.4721","1.6532","0.6948","1.562","1.3386","1.3282","1.1367","1.2832","0.9284","1.179","0.6663","0.8678","1.3022","1.0047","0.9504","0.8494","1.2563","0.7832","0.9688","0.5127","0.9285","0.9624","0.907","0.7263","0.9856","0.8605","1.3771","0.9808","0.7329","1.012","1.5086","0.8478","0.6305","0.3771","1.1598","0.6582","1.185","0.7479","0.8617","1.1042","1.013","1.5267","2.191","1.6274","1.3934","1.2953","1.136","0.9499","1.2023","1.2087","1.0868","1.0637","1.2715","0.8167","0.9556","1.3358","1.056","1.0296","0.8355","1.1704","0.7494","0.4401","0.979","0.9981","0.7641","0.8849","1.0377","1.0599","0.9017","1.9635","1.4257","0.9047"
"Share (in Promille) on entire corpus","2.1344","1.3355","1.709","2.0688","1.295","1.7744","1.7055","2.3098","1.9675","2.0297","2.5156","2.1662","2.6077","0.9291","2.0635","1.9814","1.7257","1.6197","2.516","2.4711","1.9916","1.7439","2.0312","2.5169","2.0899","1.4438","1.9361","1.803","2.0122","1.793","1.3618","2.0815","2.0151","1.6888","2.9727","1.6319","2.1545","2.6658","1.5294","2.0621","2.5181","1.4882","1.6184","1.8526","1.7725","1.421","2.1385","3.364","1.6179","1.8842","1.6824","1.3498","1.8224","1.8431","1.8322","1.5001","2.512","2.9638","1.7316","1.4195","1.1913","0.9981","1.7438","1.5177","1.873","1.1939","0.7302","0.9917","1.3746","1.5949","1.6269","2.0425","1.1285","1.9978","1.1922","1.3777","1.6779","1.3242","1.5938","1.5946","2.2689","1.2355","1.5641","2.2785","1.4007","2.1317","1.7838","1.215","2.1548","1.6497","1.887","1.5076","2.3602","3.9854","2.8676","3.2229","4.535","2.6292","3.7438","2.5929","2.7662","2.2582","2.4859","1.7045","2.296","1.8406","2.5864","1.3425","1.6248","2.4869","1.8742","1.6138","2.592","2.0038","1.9794","2.0794","2.8932","2.263","3.5329","3.1314","2.452","1.464","2.1673","2.4381","2.5599","3.8322","1.9692","3.5104","2.1256","3.2213","2.2642","2.8902","1.9559","2.2431","2.0063","2.1516","3.3048","2.0901","3.1937","3.0194","2.3851","2.8023","1.4987","3.4391","3.2851","2.3545","2.5274","3.0495","2.2421","2.8646","1.9551","2.2061","3.2162","2.2692","2.3159","1.9647","2.6249","2.6752","2.897","2.5788","2.2499","2.6524","1.8997","2.1649","3.0626","2.2911","3.3513","3.7354","3.5113","3.8508","2.3643","1.6768","3.6645","2.0655","2.3181","3.0446","2.6444","3.2546","2.8539","1.9572","3.9239","3.231","3.1052","3.6462","3.3141","3.0334","3.9629","4.4871","1.4966","4.991","2.3602","4.6967","4.4157","4.1361","3.5093","3.9843","2.9445","3.7044","2.0453","2.8547","4.0899","3.1746","3.0451","2.5944","4.1688","2.3583","3.1026","1.5725","3.0563","2.9803","2.9387","2.5177","3.2754","2.9866","4.5709","3.021","2.4608","3.2612","4.7187","2.9124","2.1581","1.2795","3.8321","2.3048","4.2407","2.5673","3.0478","3.8795","3.8621","5.429","9.1481","7.4319","5.9881","5.3689","4.4636","3.6543","4.544","4.6864","4.033","3.9339","4.8858","3.2001","3.5427","4.7931","3.7946","3.6353","2.859","3.907","2.8904","1.6437","3.5044","3.698","2.8196","3.1772","4.1068","4.1211","3.4511","7.6466","5.771","3.5628"
"1","frau","sarah","kaliningrad","maischberger","anderson","leben","menschen","kinder","kunst","buch","shylock","mann","mann","frau","kinder","leben","kinder","gibraltar","leben","frau","mann","leben","augstein","frau","frauen","rothschilds","menschen","watson","menschen","leben","menschen","leute","kazan","kirche","kennedy","ellis","kinder","kluge","teufel","castorf","licht","posener","frauen","juergens","wenders","menschen","loriot","s","schiller","menschen","meves","kirche","frauen","ruge","mann","menschen","maenner","mann","sanjoy","leben","frauen","frauen","frauen","kino","zeitung","mann","frauen","leben","menschen","mann","clapton","piëch","familie","uhr","kinder","mann","mutter","baer","kinder","leben","island","braun","kinder","mann","horx","leben","hacks","leben","kinder","claussen","zeh","figes","frauen","tiggemann","leben","eltern","frau","bochum","mann","frauen","vater","madoff","roughani","frauen","mo","mohn","sandmann","frauen","buch","depp","frauen","mutter","frau","junge","ali","jungen","kinder","ursel","krupp","flick","mann","menschen","frauen","freud","frauen","lown","kirch","frau","papst","mudry","leben","grube","kiruna","schulze","vera","walser","frauen","wiesner","schwundeck","ulvi","  ","kinder","frauen","  ","barlach","frauen","  ","  ","  ","frauen","frauen","beitz","raid","  ","  ","  ","kinder","  ","familie","  ","  ","familie","  ","  ","  ","eltern","  ","dittrich","  ","  ","  ","kinder","hurrelmann","frauen","frauen","trump","eltern","kassem","  ","  ","hook","kinder","frauen","stadt","  ","  ","  ","leben","kirchen","  ","  ","  ","  ","mann","schriftsteller","paar","kinder","boehm","kinder","  ","sokrates","  ","musik","  ","maenner","rechtschreibung","kunst","schule","kinder","frauen","  ","leben","  ","kind","mann","kiechle","frauen","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","kinder","  ","  ","  ","  ","  ","eltern","  ","kinder","leben","menschen","frauen","leben","leben","wuerth","frau","vetter","lansink","frauen","leben","peng","kinder","seoul","kinder","maenner","weizen","menschen","leute"
"2","menschen","frau","heute","slomka","buch","jeans","mann","mann","musik","menschen","leute","menschen","leben","alte","buch","menschen","eltern","mann","mann","leben","menschen","hensel","ddr","leben","frau","mann","mann","mann","leben","menschen","buch","frau","uhr","dogville","middlesex","island","buch","schnabel","frau","genau","heute","leben","brando","menschen","dohnányi","maenner","heute","heimat","heute","leben","frau","papst","kinder","nina","familie","leute","prostatakrebs","frauen","leben","kinder","glueck","film","mann","film","kinder","paar","hemmersbach","hickman","kochen","friedrich","cale","sebastian","leben","berlinalepalast","nanjie","frau","frauen","mann","familie","claussen","leben","bologna","vater","familie","sex","frau","dattel","redaktion","kahn","eltern","bleil","kinder","taleb","mann","maori","kinder","siebert","stadt","maenner","mann","thomae","capurganá","mann","leben","mcdonald","erzaehlt","frau","koffer","leben","frau","leben","loebenfelder","studiert","mann","familie","frau","judith","vater","frauen","geissler","kinder","dorf","ferydoni","leben","dussmann","leben","mann","frauen","quandt","schwarzer","gaertner","frauen","davos","maenner","kinder","springer","sitaram","leben","  ","peggy","eltern","hobsbawm","menschen","kinder","mann","  ","mann","frauen","gemeinde","  ","maenner","menschen","  ","leben","t","zanele","  ","kinder","  ","leben","frauen","mann","kinder","kirche","marina","kinder","eltern","  ","kinder","juden","frauen","frauen","  ","schavan","  ","  ","leben","  ","leben","frauen","trump","familie","papst","  ","leute","leben","polizei","walt","leute","koeppel","timo","kampa","grams","guersel","  ","maedchen","eltern","helmut","mann","film","schirach","kotschedoff","kinder","familie","frauen","martenstein","kirche","stadt","kunst","polen","kinder","stadt","stadt","eltern","  ","  ","  ","hebbel","kinder","doris","leben","familie","frauen","leben","frauen","leben","symrise","kinder","maenner","krankenhaus","menschen","patienten","  ","mann","stadt","menschen","frauen","menschen","  ","freundin","frauen","frauen","leben","frau","frauen","vater","familie","menschen","gehirn","themis","kinder","friedrich","reeperbahn","leute","menschen","vater","generation","getreide","glueck","menschen"
"3","angermann","kinder","leben","mann","frauen","musik","leben","frau","menschen","leben","wiebold","jahre","stirlitz","stadt","schriftsteller","mann","menschen","menschen","menschen","mann","neapel","mann","leben","alte","leben","heute","kinder","menschen","paar","mann","mann","leben","jaeger","wunder","eugenides","leben","leben","graf","leute","leben","leute","mann","maenner","udo","menschen","frauen","bahr","leben","frauen","paar","frauen","johannes","menschen","zeit","leben","ddr","adorf","menschen","frau","paar","leben","mann","kinder","bravo","kind","kultur","leben","angst","jungen","vater","musik","mihail","methadon","frauen","maenner","familie","mann","fennesz","frau","holczer","mutter","stadt","buelow","leben","goeze","keynes","herstatt","schule","kuttner","menschen","menschen","buch","kinder","paar","gopinath","wollenschlaeger","kinder","lebt","frauen","frau","mann","kolumbien","leben","leute","eltern","heute","passadakis","kinder","elvis","schmidt","buch","frau","leben","kinder","leben","frauen","mutter","remnick","mann","kinder","eltern","leben","eltern","maenner","maenner","frauen","frau","beruf","leben","alice","familie","lafer","buch","kinder","leben","doepfner","frau","menschen","frau","vedder","paar","  ","  ","frauen","wallace","mann","menschen","torsch","leben","koenig","  ","kinder","mann","masuch","kinder","zug","mann","mann","frauen","frauen","mann","  ","frauen","film","silva","enzensberger","mann","familie","leute","leben","leben","markus","leute","  ","wagner","leute","kinder","naser","kinder","kinder","projects","vater","kinder","leben","stadt","leute","stadt","  ","  ","zhang","s","eltern","kinder","  ","buecher","  ","frauen","menschen","alten","gewalt","kinder","menschen","mugabe","mutter","mann","frauen","ddr","menschen","pacha","maenner","essen","sohn","kinder","kinder","leben","miley","schwester","menschen","frauen","menschen","vater","frau","mann","stunden","kamprad","lauterbach","frauen","schueler","leben","menschen","leben","menschen","eltern","frau","leute","kinder","menschen","stadt","kinder","menschen","menschen","frau","frauen","rente","camus","kinder","haeusser","frauen","mann","ebeling","frau","frauen","leben","leben","suedkorea","mann","jungen","hafen","langensiepen","familie"
"4","mann","menschen","menschen","sorben","art","schiller","kinder","leben","leben","groothuis","mann","leben","frau","leute","leben","heute","journalisten","frau","frau","springer","leute","geschichte","heute","kinder","pound","leben","stalins","heute","jahre","frau","leben","paar","leben","menschen","buch","ruth","spaeter","anrede","luebeck","eltern","paar","heute","jahre","familie","mann","avedon","mann","menschen","leben","frauen","heute","ratzinger","rheims","leben","siegelsbach","mann","frauen","leben","menschen","menschen","frau","maenner","frau","fernsehen","leben","leben","menschen","selten","jugendlichen","maenner","jj","auto","platini","urania","frauen","vater","herder","musik","brigitte","menschen","lim","buch","schell","kinder","maenner","menschen","ulbricht","menschen","leben","frau","leben","spaeter","eltern","leben","mann","familie","leben","frau","leeson","maenner","gottschaldt","mann","erzaehlt","maenner","kinder","leben","ddr","frau","kinder","mann","gruen","ira","schneider","eltern","lehrer","mann","leben","leben","kinder","sohn","familie","journalisten","maenner","briefe","leben","kaminer","leben","menschen","buch","leben","kinder","leben","leute","leben","eltern","mathias","babu","mann","christy","mann","kuenstler","mann","suedkoreaner","parker","vater","maenner","eltern","juden","kinder","frau","leben","mann","spaeter","musik","bianca","buch","frau","r","kinder","woodley","frau","leben","utsch","leute","leben","  ","frauen","leben","frau","bilder","menschen","leben","milch","kinder","mann","gandhi","  ","stadt","mann","frau","new","  ","franziskus","duesseldorf","kunst","stadt","falkai","meyer","wiesn","polizei","freital","kinder","leben","menschen","leben","kinder","  ","kinder","  ","clyde","lehrer","frau","mann","kinder","  ","familie","glashuette","mdr","  ","frau","juruna","mann","schueler","  ","reim","henle","laura","chouraqui","muller","leben","roller","umzug","vater","mau","omido","mueller","stadt","leben","sellmeier","stadt","stadt","kinder","frauen","leben","frauen","tag","kinder","bautzen","menschen","roehren","eltern","vater","tag","renten","kinder","dutschke","magugu","explosion","kinder","leben","hoefeler","redaktion","leute","frauen","kinder","erzaehlt","frau","tonnen","nahles","mann"
"5","leben","roberts","geschichte","heute","eltern","heimat","leute","menschen","wendler","leser","menschen","wippermann","menschen","heute","menschen","beckmann","heute","anzug","frauen","menschen","leben","heute","menschen","kirche","menschen","frau","schwarz","leute","frauen","kinder","leute","menschen","menschen","leute","calliope","paar","kleidung","kunst","heute","all","beck","macht","menschen","paar","leben","mann","menschen","film","kindler","crichton","kinder","hickey","prostitution","menschen","geschichte","paar","leben","lenze","eltern","jessica","geschichte","stets","eltern","schnee","frauen","kunst","schweizer","rablstadler","leben","napoléon","ruhm","porsche","mann","film","kindern","maenner","benner","paar","leben","kinder","siedler","kuester","jahre","mutter","kirche","familie","spaeter","lorenz","menschen","spaeter","job","frau","the","erzaehlt","maenner","madoff","mann","menschen","frau","hummler","ehre","marienhof","kinder","pauline","heute","jungen","mann","maenner","schwartz","fengshui","eltern","heim","frauen","heute","theo","leben","familie","buch","leben","brueck","schering","sitzt","fisher","martha","moeller","rathgeber","junge","leute","menschen","frau","mann","mann","paar","frauen","times","grass","lal","generation","mann","  ","mann","eltern","familie","kalender","horzon","koch","erzaehlt","sohn","vater","kinder","kinder","eltern","erzaehlt","mann","annalea","mann","familie","markus","stueckl","la","maenner","leute","familie","eltern","frau","leben","menschen","schaefer","barra","mann","harpprecht","  ","leben","frau","ddr","stadt","mann","leben","sarajevo","ruth","tay","leben","stadt","leute","frau","weisberg","leben","mutter","frauen","familie","haus","helmut","leute","hotel","lyrik","juan","stadt","  ","helmut","bonnie","middelhoff","mann","  ","weihnachten","bilder","frau","king","familie","mann","mann","monte","vater","frau","hvorecký","haus","scania","leben","juden","mann","house","selmayr","patienten","maenner","patienten","stadt","vater","uiguren","erzaehlt","park","patienten","meidinger","eltern","familien","frauen","kinder","b","avp","uhr","familie","sandra","rapper","generaele","frau","mutter","liebe","juden","ging","lehrplan","staudt","frauen","vater","erzaehlt","lay","frau","chang","vanya","frauen","bauern","leben","leben"
"6","preussen","essen","literatur","s","frau","menschen","fragt","paar","stadt","heute","schweizer","heute","aum","zeit","leute","leute","kind","levy","stadt","friede","stefanie","menschen","kordon","herodes","wallace","geschichte","ddr","carlo","alten","spaeter","heute","heute","mann","geschichte","roman","sherman","menschen","paar","leben","menschen","mann","poseners","marlon","mann","maenner","kinder","ddr","pamuk","schillers","frau","vater","ii","leute","frauen","alfred","frau","heute","geschichte","gruendgens","parker","laesst","diesmal","film","winter","menschen","lang","schweiz","kinder","maedchen","flick","geschichte","berton","erzaehlt","darsteller","wang","kinder","verlag","junge","hobmeier","mann","frau","paar","geschichte","menschen","wieckenberg","paar","phorms","kinder","spaeter","liu","geld","gemacht","newman","buch","uhr","frau","vater","guest","lehrer","asgodom","leben","kinder","heute","mann","leben","kahawatte","frauen","menschen","frau","schmidts","sohn","mann","heute","woessmann","kinder","mutter","eltern","leute","maenner","friedrich","jutta","fluechtlinge","leben","menschen","jungen","frau","menschen","mann","freizeit","familie","tribunal","essen","alten","mann","leute","martin","suckale","leute","leben","uhr","leben","erzaehlt","mann","maenner","  ","kinder","frauen","geschichte","menschen","leute","mann","  ","leute","eltern","arbeit","leben","leben","josten","mann","maedchen","eva","vater","frau","stadt","zugspitze","kind","mutter","mann","menschen","leute","eltern","jones","habeck","leben","kinder","frauen","buch","familie","paar","kunst","  ","frau","  ","platten","leben","paar","menschen","antarktis","stadt","uhr","gruppe","leute","steilshoop","journalisten","literatur","leben","remo","leben","eltern","eltern","kluge","leben","libanon","eltern","frau","mann","uhr","praktikum","ausstellung","  ","eltern","frauen","frauen","rudiš","frauen","eltern","maenner","gomez","leben","mann","mann","getty","menschen","frau","maenner","frauen","mann","eltern","regenbogen","kuenzelsau","muenchen","stadt","kindern","grafenwoehr","yamada","hause","familie","leben","frauen","leben","leute","leute","leute","asmus","mutter","menschen","paar","leben","familie","menschen","familie","staendig","menschen","jungen","eunkyung","macht","arbeit","oezdemir","frau","frauen"
"7","familie","heute","nikitin","stunden","alten","alten","danke","ddr","brendel","frauen","zeit","hanitzsch","iwakura","frauen","leser","spaeter","s","tun","leute","frauen","familie","alte","mann","kirchen","heute","beginnt","grand","urbani","maenner","leute","paar","kirche","springer","leben","geschichte","bam","filme","herr","uhr","augen","genua","serono","verblueffung","geschichte","frauen","beyer","leute","mann","tod","spaeter","kindern","menschen","milieu","leute","heute","geschichte","huland","roman","kinder","sarah","ortheil","heute","buch","leben","hinz","frau","wirkt","familie","angst","familie","dick","schule","jacobsen","regie","mann","geschichte","frau","jahre","lukas","frau","familie","jahre","erzaehlt","leute","frauen","kinder","leben","mann","familie","yanhui","mann","erzaehlt","maenner","nagusch","vater","leben","familie","film","leben","job","familie","arzt","macht","eltern","menschen","mann","kinder","geschenk","mann","hubers","anselm","brossardt","beruf","hebammen","paar","kinder","erzaehlt","spaeter","familie","frau","christopher","kreative","junge","familie","mann","mann","baur","maenner","frauen","paar","menschen","schulz","mann","vaeter","uhr","menschen","mann","jahre","miles","gericht","spaeter","leben","jan","frau","sohn","familie","wullers","frau","frau","mann","familie","krupp","frauen","familie","eltern","frau","jungen","leben","ai","menschen","kinder","kinder","leben","kinder","mann","frueher","lernen","fatima","kirche","angst","heimat","frau","menschen","familie","menschen","kinder","erzaehlt","hoyerswerda","stadt","leben","red","zaheer","badenbaden","menschen","menschen","the","kinder","frauen","leben","leben","paar","mann","familie","vater","kunst","caracas","leben","augen","leben","kinder","schule","leute","leben","vater","familie","  ","museum","frau","nemat","kinder","menschen","familie","schweden","roberto","frau","leute","magdalena","camp","frau","modis","stadt","tochter","schueler","frauen","sohn","kinder","maenner","menschen","menschen","mutter","uhr","kind","menschen","schule","muschi","leute","onlyfans","erzaehlt","leben","aerzte","schule","shin","eltern","paar","eltern","frauen","frau","serie","mutter","jungen","eltern","bisschen","qiao","paar","gorbatschow","paar","menschen","chicago","frauen","isar"
