"date","Topic 1: Corporate Culture","Topic 2: EU Conflicts","Topic 3: Energy & Climate Change Mitigation","Topic 4: Companies & Markets","Topic 5: Geopolitics","Topic 6: Society","Topic 7: Financial Markets I","Topic 8: German Politics I","Topic 9: Miscellaneous","Topic 10: Financial Markets II","Topic 11: Leisure & Hospitality","Topic 12: Central banks","Topic 13: German Economy","Topic 14: German Politics II"
2001-01-01,2077,2183,4915,3476,1822,6987,2282,2918,5897,5982,2750,4489,4170,3949
2001-02-01,4056,2770,2562,3660,2131,4730,3085,3877,3685,6329,1601,3753,3514,1369
2001-03-01,3495,3555,2310,3956,1904,7860,2613,2882,5330,7098,2400,5619,5083,2722
2001-04-01,3171,3598,2293,4042,1793,5537,2338,2767,5281,5464,2127,3879,3666,1956
2001-05-01,3293,2123,940,2260,1432,6418,1640,2226,3421,2796,2056,3051,2172,2083
2001-06-01,2744,1973,2376,1982,1645,4693,1311,2686,4542,2486,1742,3295,3081,2044
2001-07-01,3070,3540,1881,2904,2416,6024,1439,3355,4493,4511,1831,2994,3285,2002
2001-08-01,3596,2165,1790,3362,1333,6248,2592,3161,6177,4247,2951,3056,5047,3537
2001-09-01,3230,2174,2072,5016,6138,6240,5271,3305,5036,12969,2685,7486,6514,3112
2001-10-01,4543,3582,2699,8179,6127,10879,5581,5702,5565,12449,3753,9626,10469,3169
2001-11-01,3864,3279,2157,5529,3419,6019,3237,5124,6425,5332,2438,4440,8083,2084
2001-12-01,3080,2746,2105,3748,1842,7088,1500,5585,5136,3938,2688,5076,8007,2006
2002-01-01,3249,2973,2390,3447,2475,6127,2926,3753,6590,4137,2648,2554,3699,3158
2002-02-01,2819,1828,1573,2991,1434,3844,1749,2825,2401,3670,1890,2046,4864,1809
2002-03-01,2937,1307,2208,4107,1883,4257,1643,2755,5538,3197,2066,1455,2644,1411
2002-04-01,3847,2453,1528,3749,1367,4607,2455,2695,5205,5406,2871,2975,5522,4221
2002-05-01,3122,1561,2063,4608,1590,5620,2860,3231,4188,4174,1477,2506,4766,2317
2002-06-01,4352,3996,2278,4147,1933,5597,2682,3039,4193,6166,1772,3511,4253,2248
2002-07-01,4540,3892,2573,5532,2163,4212,3554,2482,6088,7229,1974,5240,5373,2345
2002-08-01,4692,3992,2756,6015,2273,6296,4318,3171,5839,5664,1823,4818,5525,2803
2002-09-01,3435,2519,2461,3574,3302,5517,4106,3352,4570,6884,1715,5303,5437,6245
2002-10-01,2739,2357,2267,5797,3279,5162,3577,4501,4228,5885,2090,4565,6113,2547
2002-11-01,4096,2229,1436,5548,1582,5328,4100,5827,4690,4063,1728,4161,5345,2193
2002-12-01,2019,1540,2150,2913,2946,5992,2541,5201,5273,3446,2863,3805,6410,1900
2003-01-01,2258,1567,2632,5483,3078,6435,3162,3380,4800,8213,2744,3755,5565,2543
2003-02-01,3693,1827,2346,7617,4515,6823,4648,6160,3236,6560,1911,6796,6652,2362
2003-03-01,4399,2747,4098,9239,8624,7165,5026,4212,4764,9443,2123,8045,7684,1930
2003-04-01,2807,2002,991,5465,5397,3917,2769,2778,3944,6057,1001,3734,5398,2039
2003-05-01,3760,1643,1495,4735,2725,5887,3169,3692,4542,2708,2614,2993,3804,1848
2003-06-01,2333,1163,1916,3059,2546,4836,2189,4839,3817,1707,1335,2436,3148,1937
2003-07-01,3199,1214,1198,3229,1277,4097,1380,3556,3219,3585,1564,2323,2324,960
2003-08-01,3230,1867,1293,3292,2338,4292,1426,4064,4654,3365,1910,1149,3862,2152
2003-09-01,2388,1020,3691,3089,3419,6393,2800,4266,6175,4216,4294,3766,4222,2734
2003-10-01,2627,2197,1283,2960,1403,5580,2670,5660,5449,4000,3344,2784,4665,2889
2003-11-01,2951,2409,2614,3224,4006,7057,2694,5998,8776,3625,2282,2174,5275,3914
2003-12-01,2679,1801,1356,1495,1747,6504,2440,2612,4151,3151,2006,2186,3590,1983
2004-01-01,3536,1404,1686,2448,2555,6163,1515,3599,4704,2517,1545,1405,3271,1869
2004-02-01,2148,1848,1542,1273,1403,4230,3055,2125,4121,2818,1298,1323,2259,2593
2004-03-01,2135,2324,2693,2965,1803,3700,1294,2763,3344,5369,1123,2022,4736,1680
2004-04-01,2085,2808,1097,1794,2066,4141,2593,3438,4302,2657,2485,2307,3956,1214
2004-05-01,2303,1993,2920,2239,2435,4441,2855,3816,5095,4621,1912,2389,3476,2359
2004-06-01,1565,1966,2426,2434,1900,3397,1809,2314,3553,2874,1024,2561,2200,1747
2004-07-01,2810,1522,1422,2588,2206,4485,2055,2333,3919,3056,1518,1877,3931,1268
2004-08-01,2397,1308,1479,2474,1027,5020,1394,4035,4220,5187,1423,1748,3942,3463
2004-09-01,1955,1484,1699,1986,2756,6441,2874,2428,4094,3107,1411,1010,2423,3662
2004-10-01,3031,1571,2759,2217,1847,5844,2860,2964,3442,3953,1904,3006,3719,2098
2004-11-01,2897,1631,1513,2786,1818,4373,2851,2408,4877,3271,1705,1604,2485,1531
2004-12-01,2036,2266,2173,2630,1790,6853,2451,2192,7538,2791,2171,2014,2834,2140
2005-01-01,1453,1199,1686,1711,1583,3863,1850,3272,3524,2431,1555,1150,2264,1540
2005-02-01,3057,1539,1600,608,1598,5060,1711,3587,4082,1564,1621,1166,2922,2287
2005-03-01,2644,1201,1119,1500,1573,4912,1937,3995,4173,1312,1475,1476,2675,2154
2005-04-01,2221,2484,1546,1193,715,5560,2421,3287,3314,2068,774,1226,2409,2095
2005-05-01,3152,2551,578,2774,818,6096,2209,2838,3993,3204,1814,1976,3012,2952
2005-06-01,2592,4614,1866,2828,2041,6640,2331,2992,4353,2595,1642,1844,2622,2986
2005-07-01,2352,990,1704,2461,1462,4087,1062,1932,4197,2347,1555,1766,2610,1994
2005-08-01,1923,1816,2422,2060,2030,3799,976,1968,3493,3628,1087,961,2317,3112
2005-09-01,2202,2674,3582,1310,987,8182,3723,2526,6146,4902,822,2122,3760,8770
2005-10-01,3117,1896,2403,1811,2116,6736,2161,1574,7013,2855,1207,2159,3014,2504
2005-11-01,1680,1649,1579,1221,1229,4346,2186,2388,4100,2681,1864,2140,2710,4210
2005-12-01,2356,1064,2134,1211,1285,5284,2104,2347,3302,950,1036,603,938,1601
2006-01-01,2197,1988,1937,1954,2822,4790,1814,2116,2632,1811,1528,1166,1681,2188
