"","2001-01-01","2001-02-01","2001-03-01","2001-04-01","2001-05-01","2001-06-01","2001-07-01","2001-08-01","2001-09-01","2001-10-01","2001-11-01","2001-12-01","2002-01-01","2002-02-01","2002-03-01","2002-04-01","2002-05-01","2002-06-01","2002-07-01","2002-08-01","2002-09-01","2002-10-01","2002-11-01","2002-12-01","2003-01-01","2003-02-01","2003-03-01","2003-04-01","2003-05-01","2003-06-01","2003-07-01","2003-08-01","2003-09-01","2003-10-01","2003-11-01","2003-12-01","2004-01-01","2004-02-01","2004-03-01","2004-04-01","2004-05-01","2004-06-01","2004-07-01","2004-08-01","2004-09-01","2004-10-01","2004-11-01","2004-12-01","2005-01-01","2005-02-01","2005-03-01","2005-04-01","2005-05-01","2005-06-01","2005-07-01","2005-08-01","2005-09-01","2005-10-01","2005-11-01","2005-12-01","2006-01-01","2006-02-01","2006-03-01","2006-04-01","2006-05-01","2006-06-01","2006-07-01","2006-08-01","2006-09-01","2006-10-01","2006-11-01","2006-12-01","2007-01-01","2007-02-01","2007-03-01","2007-04-01","2007-05-01","2007-06-01","2007-07-01","2007-08-01","2007-09-01","2007-10-01","2007-11-01","2007-12-01","2008-01-01","2008-02-01","2008-03-01","2008-04-01","2008-05-01","2008-06-01","2008-07-01","2008-08-01","2008-09-01","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01","2017-01-01","2017-02-01","2017-03-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-10-01","2017-11-01","2017-12-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01","2018-08-01","2018-09-01","2018-10-01","2018-11-01","2018-12-01","2019-01-01","2019-02-01","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01","2021-01-01","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01","2022-01-01","2022-02-01","2022-03-01","2022-04-01","2022-05-01","2022-06-01","2022-07-01","2022-08-01","2022-09-01","2022-10-01","2022-11-01","2022-12-01","2023-01-01"
"Share (in %) on ""wirtschaft""&""unsicher""-corpus","5.1023","3.3976","4.2233","4.4394","5.7253","4.7596","4.1856","5.9904","3.7685","4.0651","3.9687","4.928","5.2827","5.2877","5.5229","5.871","3.3505","3.5322","3.4512","3.0391","2.9356","3.7926","3.3024","5.843","4.9339","2.9334","2.6705","2.0725","5.7306","3.5828","4.7215","4.9108","8.1833","7.0384","4.0036","5.3208","4.0427","4.0517","2.9591","6.7266","4.4617","3.2232","4.3384","3.6378","3.7798","4.6197","4.7692","5.184","5.3471","5.0028","4.5884","2.4718","4.7778","3.9146","5.0952","3.4407","1.5897","2.9754","5.4851","3.9519","4.9896","8.3364","4.3934","5.2756","5.4131","6.663","7.789","3.7682","3.4774","4.5236","6.0475","3.4611","5.4903","6.6531","4.8721","5.5682","5.5296","3.5828","2.8788","2.4614","3.8912","5.0188","3.9613","3.0623","3.8658","4.4078","4.6089","4.1669","5.3638","5.2173","4.4744","4.2783","4.1454","4.0685","4.6682","5.4528","5.4853","3.3205","4.6427","3.6521","4.9799","3.8749","5.6025","4.7929","4.3896","3.0426","8.7782","5.629","2.9862","3.3631","4.7576","3.0834","3.4352","3.9654","3.0585","3.4645","3.4692","3.211","4.4088","4.6382","3.9701","4.0179","3.0642","3.6036","6.3098","5.6022","2.7907","2.6017","3.7983","3.2013","3.4559","3.8224","2.5623","3.8146","5.6816","4.9017","2.9857","3.6198","4.8149","2.9945","3.8699","4.0491","3.7968","3.9635","4.354","4.7151","3.4827","3.4314","7.6245","4.8521","3.1727","2.6505","4.8751","1.8409","6.4298","4.4369","3.4861","6.9395","4.47","4.2519","4.8429","4.6762","2.3231","3.4959","4.5572","4.1802","5.8036","4.1547","4.5988","4.2859","5.1128","4.4597","5.2938","3.0583","4.2732","2.3641","4.7564","3.1054","4.4637","3.9839","2.9122","4.1421","4.8044","4.7596","5.0224","3.3161","4.1846","4.1374","2.203","7.8476","1.8321","3.9537","2.4395","4.9293","3.6671","4.1511","2.6412","3.7874","3.474","4.1561","5.4236","5.4045","4.9601","3.081","3.2711","6.6563","4.196","3.6456","5.295","2.653","3.3306","3.389","6.0816","2.8708","2.6824","1.5504","3.0194","3.0145","4.4861","3.5629","2.2892","3.5056","3.622","2.4127","4.83","4.1874","3.9314","3.5336","3.6158","7.2056","8.1646","7.555","7.002","6.7599","6.2408","7.1381","4.6261","7.8434","6.0495","4.444","5.1834","5.5202","4.9032","2.9499","3.8534","2.8336","7.2871","4.135","3.6827","5.3056","6.527","7.4224","6.7138","5.4131","3.1871","3.5473","3.0491","2.664","4.3935","3.8016","4.2808","6.1445","6.2471","5.5563","3.8912"
"Share (in %) on ""wirtschaft""-corpus","0.3351","0.2076","0.2733","0.2892","0.2876","0.2501","0.2572","0.4238","0.3996","0.4939","0.3605","0.4134","0.3603","0.2767","0.2866","0.3875","0.2247","0.2592","0.2691","0.2489","0.2544","0.2779","0.2459","0.4657","0.3933","0.3029","0.3256","0.1723","0.3987","0.2146","0.2383","0.3244","0.5053","0.3705","0.2735","0.2941","0.2519","0.3077","0.1844","0.41","0.325","0.1636","0.2379","0.2496","0.2245","0.2798","0.27","0.351","0.2603","0.2862","0.2243","0.1194","0.3049","0.2436","0.2665","0.181","0.1224","0.1871","0.2828","0.1642","0.2539","0.3109","0.2319","0.2629","0.2998","0.3214","0.2779","0.1874","0.1689","0.2478","0.2749","0.1887","0.2387","0.2944","0.2231","0.3021","0.2645","0.1442","0.1283","0.1789","0.2875","0.2575","0.28","0.212","0.2766","0.3246","0.2814","0.2298","0.3262","0.2859","0.2896","0.2497","0.3231","0.4323","0.3623","0.4572","0.4882","0.2549","0.3771","0.2639","0.2884","0.2176","0.3732","0.2885","0.2934","0.1842","0.5601","0.3943","0.1882","0.2677","0.3299","0.2154","0.283","0.3259","0.256","0.3008","0.2779","0.2006","0.3874","0.4316","0.2745","0.2415","0.3076","0.2621","0.492","0.4903","0.2406","0.3295","0.3838","0.3247","0.3776","0.3903","0.226","0.2786","0.3577","0.368","0.2833","0.3006","0.5176","0.2837","0.3237","0.3461","0.3012","0.3157","0.3421","0.401","0.2908","0.3067","0.4481","0.3628","0.2537","0.1902","0.3859","0.1435","0.344","0.2807","0.1947","0.5179","0.3738","0.2571","0.295","0.2569","0.1509","0.272","0.3694","0.3394","0.4407","0.3495","0.4335","0.4002","0.3599","0.2925","0.3981","0.1993","0.2811","0.2087","0.4041","0.2875","0.365","0.2907","0.342","0.4688","0.4604","0.4301","0.4575","0.4123","0.6444","0.5152","0.2353","0.7927","0.2284","0.63","0.3855","0.686","0.4036","0.5645","0.2642","0.3603","0.3279","0.393","0.4618","0.5954","0.5107","0.2737","0.2876","0.5419","0.3913","0.328","0.5268","0.2926","0.3119","0.3416","0.602","0.3089","0.2991","0.1571","0.4052","0.3641","0.5352","0.3591","0.2183","0.3331","0.4282","0.2719","0.5737","0.4456","0.4417","0.3288","0.404","0.9006","1.4716","1.0504","1.0623","0.8557","0.6974","0.7522","0.502","1.0256","0.7067","0.4144","0.5447","0.4837","0.4564","0.2279","0.3695","0.2455","0.6197","0.4354","0.351","0.4192","0.6832","0.8782","0.7431","0.57","0.4653","0.486","0.4211","0.3467","0.6417","0.5438","0.5911","0.7286","0.7905","0.7468","0.3765"
"Share (in Promille) on entire corpus","0.9954","0.5802","0.7695","0.8333","0.7783","0.6805","0.695","1.1035","1.049","1.3688","0.9545","1.1337","1.0478","0.7313","0.7698","1.0929","0.6086","0.6845","0.8158","0.7715","0.7474","0.8621","0.7484","1.3666","1.1947","0.8526","0.8628","0.4576","1.158","0.6271","0.6616","0.8542","1.4012","1.0364","0.773","0.7886","0.7076","0.8397","0.5136","1.1911","0.945","0.4289","0.6269","0.6247","0.6109","0.786","0.7476","0.9689","0.7139","0.7482","0.5947","0.3152","0.8279","0.6952","0.6789","0.4668","0.336","0.5101","0.7872","0.4454","0.6916","0.7294","0.6065","0.6849","0.7776","0.7133","0.6439","0.4496","0.4374","0.6516","0.7271","0.4826","0.6367","0.7719","0.5813","0.7873","0.7013","0.3894","0.3262","0.4737","0.7748","0.7124","0.7574","0.5812","0.7895","0.8831","0.7393","0.6492","0.8726","0.7527","0.7797","0.6686","0.9461","1.5208","1.2329","1.5447","1.7315","0.9048","1.3665","0.9206","0.9897","0.7484","1.1872","0.8854","0.9634","0.5668","1.5592","1.0545","0.558","0.8305","1.0117","0.6617","0.879","0.9849","0.7338","0.949","0.8937","0.6567","1.2682","1.3215","0.95","0.7524","0.9796","0.8495","1.5152","1.5687","0.7626","1.0938","1.2999","1.0885","1.2883","1.2302","0.7419","0.8608","1.0776","1.1873","0.936","0.9791","1.6627","0.8617","1.0554","1.1237","1","0.9967","1.1153","1.2772","0.9214","0.985","1.4433","1.1713","0.8263","0.5659","1.2097","0.4583","1.0511","0.8538","0.6458","1.5957","1.1957","0.8522","0.9699","0.8073","0.4566","0.8447","1.1889","1.0774","1.4215","1.0868","1.4203","1.2511","1.1269","0.899","1.2694","0.6606","0.9228","0.6576","1.2462","0.8713","1.1095","0.8665","1.1152","1.3904","1.4017","1.3907","1.4648","1.312","1.9186","1.5032","0.7458","2.3931","0.7758","1.8941","1.2716","2.1362","1.246","1.7526","0.8378","1.1321","1.0067","1.2928","1.4505","1.8813","1.6362","0.8359","0.9544","1.6318","1.2531","1.0061","1.7341","0.9061","1.0105","1.1841","2.0007","1.072","0.9927","0.484","1.3607","1.1732","1.6739","1.2336","0.7471","1.1303","1.4147","0.952","2.0533","1.5297","1.5624","1.1551","1.5401","3.2028","6.1443","4.7967","4.565","3.5467","2.7403","2.8935","1.8974","3.9764","2.6224","1.5325","2.0929","1.8953","1.6918","0.8177","1.3276","0.8666","2.1204","1.4533","1.3537","1.5656","2.4455","3.2537","2.7422","2.0466","1.8413","1.8895","1.6118","1.3502","2.5974","2.1415","2.5198","2.9082","3.0968","2.7729","1.4612"
"1","mark","mark","berlin","stadt","mark","mark","mark","mark","hamburg","hamburg","mark","mark","franc","hamburg","uldall","hamburg","blatter","hamburg","stadt","hauser","stadt","hamburg","berlin","hamburg","euro","esch","hamburg","messe","hamburg","berlin","rehaag","hamburg","franken","hamburg","schellenberg","studenten","berlin","studenten","chernomaz","messe","stadt","hamburger","thannhuber","hamburg","muenchen","stadt","monaco","metzelder","berliner","bau","stadt","koenigs","hamburg","schechinger","hamburg","ppp","ude","berliner","trainer","berliner","berlin","arena","ag","fifa","tickets","wm","wm","gmbh","hoffmann","beckstein","ag","uldall","hamburg","watzke","tel","studenten","henzler","studenten","quadratmeter","hens","krug","elbe","cologne","dolmetscher","tui","hamburg","liga","schueler","schulen","mannschaft","hamburg","schulleiter","czinczoll","puma","vertragsarbeiter","hainer","merckle","hoeness","wolf","okhrin","ginkgo","frenzel","rive","stadt","andic","bartoli","bayern","hoelzl","hochschulen","j","eichin","schulen","hamburg","luebeck","hamburger","rossini","labbadia","studenten","hochschulen","hiss","haniel","gema","magath","swonarewa","studenten","ehec","althusmann","studenten","legionaere","vogl","berggruen","hainer","abitur","vesin","kuntz","mikhailov","praktikum","kerkloh","liga","adidas","aigner","woehrl","buettgen","studenten","hochhaeuser","stork","studenten","lippens","klubs","bahlsen","absolventen","dutt","charlotte","chattanooga","phillips","symrise","stiftung","hoeness","hoeness","psg","studenten","stones","obereigner","bremen","hochschule","studenten","fifa","messen","minhoff","goetzen","hsv","tengelmann","bachelor","arbeiterkindde","allofs","edeka","springer","stadt","hamburg","foodwatch","matacchiera","lloret","tourismus","neon","guenther","ethnotourismus","urlauber","touristen","ottmann","bhumibol","error","amri","sacher","reisebueros","formel","la","hochschulen","znojmo","leipzig","schabirosky","goerlitz","katalonien","puigdemont","medicus","festival","journalisten","puigdemont","mihail","business","universitaet","neugebauer","braehmer","chemnitz","studenten","trabelsi","geprueft","adac","kienbaum","boeing","tui","studenten","ensembles","nuebel","sued","cook","pis","charlotte","fuersattel","athleten","sued","filbry","kuenstler","fussball","galerien","urlauber","reisewarnung","reisen","flughafen","reisen","touristen","messen","oesterreich","reisen","gaeste","werder","fliegen","spiele","bayern","zuschauer","lesen","bayern","messen","urlaub","berlinale","lesen","tui","messen","lesen","lesen","trinkgeld","lesen","schuhbeck","wm","braun","wilhelmi"
"2","hamburg","hamburg","berliner","hamburg","hamburg","berlin","wiesheu","knippel","stadt","quadratmeter","koolhaas","mio","millionen","stadt","millionen","stadt","millionen","berlin","parade","hamburg","studenten","gante","hamburg","millionen","beiersdorfer","hamburg","messe","oetker","millionen","stadt","millionen","euro","hamburg","hamburger","hamburg","stralsund","real","koeln","leichtathletik","muenchen","space","euro","seidensticker","st","berlin","jaeggi","hamburg","euro","stadt","stadt","bremerhaven","borussia","stadt","tatonka","steinwerder","grabsch","euro","lederer","lienen","muenchen","walterheilit","huether","bilanzpressekonferenz","studenten","wm","dobischat","zwischennutzung","premiere","picasso","karl","drittes","elbphilharmonie","studenten","berlin","u","hochschulen","hochschulen","matschke","birgit","finance","kunst","geldern","hamburg","stevens","hamburg","flughafen","dresden","hamburg","schueler","premiere","hapaglloyd","helios","myerson","zeitz","hamburger","teams","adolf","uli","weber","messe","bayern","sky","henrich","adc","mango","cleese","trainer","kuranyi","zdfreporter","limburg","hamburg","hamburger","stadt","spieler","hochschule","diego","stadt","bachelor","studenten","kunstmarkt","haniels","magath","teldafax","berliner","gemuese","spies","uni","oenning","hochschulen","costa","arte","tunnel","messen","wiese","brand","kuntz","knobbe","magerl","jennrich","sothebys","gema","dietrich","hochschulen","hochschulen","frankfurt","nehm","tielker","willi","fc","steffen","liga","hortobágy","college","business","bahlsen","ritter","ecclestone","stern","selbstanzeige","dfb","hochschulen","rolling","studenten","fotografie","wirtschaftspsychologie","stadien","liga","warentest","bode","fans","dirigent","weltausstellung","fuld","studium","bruyne","gilmartin","axel","fifa","schueler","formel","ilva","mar","tunesien","findus","vermoegensmanager","beckert","urlaub","urlauber","fleck","kunst","butleradams","katzen","studenten","volkhardt","elkann","touristen","studiengaenge","money","sammler","schueler","fiebig","katalanischen","bosz","  ","leiter","yuecel","pagel","sendung","parker","studierenden","mittelmeer","sauerland","uhle","conai","tunesien","business","markl","attac","max","ruanda","istanbul","xlr","care","tuev","thomas","czorniej","studenten","cook","spiele","tuev","abgesagt","galerien","hotels","fussball","reisen","spanien","airlines","messen","semester","reisebueros","brosda","saison","rogalski","sommer","kohfeldt","touristen","hotel","messen","messe","bayern","airbnb","geoengineering","hotels","weiffenbach","katar","reisen","hannover","bayern","thailand","airlines","piloten","kostprobe","katar","blsv","lesen"
"3","wismer","airbus","mark","mark","betreiber","hamburg","millionen","hamburg","mark","mark","stadt","hamburg","hamburg","chemnitz","valdano","messe","stella","bau","berliner","koelmel","uniformen","projekt","messe","mio","lederer","wohnungen","euro","hannover","berlin","berliner","schuermann","stadt","mio","berliner","herrmann","hamburg","hamburg","werft","maier","euro","knapper","hamburg","hamburg","hamburger","lindau","zongshen","stadt","spieler","castell","walter","euro","moenchengladbach","euro","quadratmeter","stadt","merl","millionen","berlin","stadt","feser","infotelefon","dsf","hamburg","hamburg","karten","hamburg","stadion","neururer","wm","polizei","kofler","hamburg","frankfurt","jahresergebnis","tu","premiere","hochschule","kinsky","probeunterricht","cunek","studenten","studenten","middendorp","dsv","hapaglloyd","liechtensteiner","hamburg","schlueter","koeller","bayern","spethmann","roesch","nol","tui","berliner","messe","lemke","pluta","saison","haderthauer","becker","steffen","reiter","hamburg","lemke","studenten","van","online","horch","leitner","bayern","koeln","wuerdest","studenten","studenten","stadt","palmer","master","bachelor","rwag","eichinger","ghosn","schalke","baugenehmigung","seifert","fussball","passau","augsburg","haendeler","beluga","messen","kunst","ib","hamburger","adidas","atv","schalke","schuemann","hoeller","auktionshaeuser","floehl","goethe","universitaeten","knipper","stadt","radler","nairobi","bayern","bayern","whu","mclaren","schaaf","chattanooga","mba","fti","bertram","hitzlsperger","wuerth","bayern","mueller","hsv","jagger","universitaeten","werder","psychologie","fussball","bundesliga","uni","foodwatch","zerrahn","tengelmann","edeka","studenten","hochschulen","inseln","tengelmann","springers","entstand","hamburger","reisen","edeka","de","urlauber","koeln","hochschule","warburg","tourismus","saison","messe","autoren","geschaeftsfuehrerin","inseln","universitaet","touristen","reisefuehrer","studenten","kooperationsstelle","nationalpark","tuerkei","awd","tourismus","spanien","katalanischen","test","asyl","messe","genschow","maschmeyer","school","hochschulen","migranten","bundesliga","chemnitzer","hoffmann","gaeste","selbstverstaendlich","verein","calvey","flugzeug","bosnienherzegowina","springers","boeing","boeing","festspiele","condor","studium","fpoe","thomas","olympischen","brooks","messen","messen","spieler","tui","touristen","reisen","tui","memmingen","gaeste","reisen","alaba","hotels","urlaub","verband","messen","branche","reisebueros","gaeste","schueller","reisen","g","messe","fc","spiele","bayern","krankenstand","messe","sommer","bayern","lesen","messe","schuhbecks","messi","bellenhaus","thailand"
"4","berlin","quadratmeter","stadt","hamburger","hamburger","berliner","bayern","millionen","berliner","berlin","flughafen","berlin","stadt","hamburger","hamburg","hamburger","hamburg","ufa","hamburger","millionen","hamburger","a","nerger","euro","taxe","muenchen","berlin","hamburg","flierl","euro","euro","berlin","euro","hsv","berliner","hochschulen","messe","hochschulen","trainer","club","turnier","wohnungen","schalke","muenchen","quadratmetern","architekten","faber","stuka","sonck","hamburg","z","contractoren","hamburger","aeg","euro","watzke","stadt","bilfinger","euro","mieter","bilfinger","fussball","muenchen","bachelor","stadt","fifa","gebaeude","hamburg","champions","teams","schaaf","spieler","muenchen","fans","a","arena","grahn","universitaet","stiftung","kusch","rostock","hamburg","bundeswehr","schulz","premiere","education","elbe","stiftung","kahn","fussball","eiben","mariahilf","hirst","hamburger","bundesliga","saison","merckles","manager","hamburger","karmann","heynckes","tui","stadt","schiffe","stiftung","rossmann","fc","morgenpost","tbb","kuranyi","haie","magath","quaas","loew","hamburg","wolfsburg","messe","architekten","berliner","trainer","franz","youtube","hochschulen","haniel","hamburger","dfb","struck","bayern","hudson","dutt","messe","adidas","stufe","danzig","fck","mikhailovs","praktika","stadt","scherer","hainer","schulen","frenzel","shui","liechtenstein","schaaf","lilly","brinkmann","stadt","fussball","reiter","  ","stadt","cabs","bayern","bayern","sport","sport","uli","fc","trabelsi","engels","mick","professoren","linnert","mannschaft","schiff","fussball","stiftung","adidas","nemet","liga","bayern","hochschulen","volkstheater","petras","tuebingen","studenten","dfb","olympia","landshoff","studium","studium","reiseveranstalter","heft","whatsapp","benzema","reisen","fonseca","nuernberg","thailand","fares","humm","winkler","gaeste","ebooks","medici","nhs","neunmuehlen","hotels","dvag","aachen","spanischen","gst","reinhardt","militaers","tuerkei","katalonien","moldauer","fussball","studium","urlauber","fc","pinto","universitaet","bvb","faellt","hakuhodo","fabian","ethiopian","joussen","trainer","freie","schalke","rablstadler","msc","master","becker","airline","messe","messe","klubs","fussball","saison","branche","insel","galerien","wagner","gaeste","winter","tui","muenchen","reisen","hotels","praktikum","bremen","flughaefen","veranstalter","fc","halle","oesterreich","blecharczyk","rothe","gaeste","olympia","fc","seite","aussteller","jensen","flughafen","thailand","besucher","discover","spieler","katar","besucher"
"5","a","muenchen","holtkoetter","berlin","berlin","hackmann","hamburg","stadt","berlin","berliner","millionen","qm","messe","euro","euro","joop","stadt","millionen","stiftung","euro","polizei","architekten","berliner","kunst","hamburg","schif","millionen","aussteller","stadt","wohnungen","hamburg","paris","hamburger","stadt","studenten","stadt","freiberg","lueken","frankfurt","hannover","euro","stadt","millionen","ehrholdt","bodensee","messen","moldenhauer","stadt","euro","euro","messe","hamburg","hertha","sg","merk","hamburg","koeln","walter","millionen","mietmarkt","februar","kolisch","berlin","wm","berliner","euroteam","koeln","spiele","hsv","unger","frankfurt","burghausen","australian","roeber","universitaet","stadt","stiftungsprofessuren","sympathiestreik","seppelt","thema","schiedsrichter","do","fine","madame","hamburger","stadt","hochschulen","hannover","sport","fc","hamburger","krankenhaus","hamburger","hamburg","kundrun","mosley","spachmueller","liga","liechtenstein","studenten","teilnehmer","christin","hamburg","adidas","fussball","hamburger","spieler","maria","pechlaner","resch","papenburg","hamburg","nivea","spiel","dualen","pesaro","berliner","bogner","dumont","team","familie","bayreuth","mannschaft","kluge","erreger","gurken","stadt","hertha","egetenmeir","klubs","hanseboot","rotweissrotkarte","alevels","studium","spieler","kunst","thorsten","studenten","claassen","boetticher","klubs","south","hippler","studium","hochhaeusern","radfahrer","istanbul","tore","vereine","princeton","haustiere","thomas","stadt","taz","studium","aromen","ritter","g","uli","widstrand","hamburg","wm","bachelor","daguerre","spielen","stadion","studenten","muenchen","lebensmittel","spieler","schelling","lewandowski","master","frauen","spieler","studium","stadt","wm","absolventen","backen","taranto","mittelmeer","bugatti","test","curry","fussball","studenten","nuesseler","halle","kuenstler","tuerkische","katze","wien","universitaeten","wolff","varangue","hill","titel","ausschreibung","universitaeten","tuerkei","barcelona","vila","caixabank","tuerkei","rb","professur","moldau","bayern","sánchez","sea","boxer","tuerkei","studium","verein","anrufer","bavaria","ugalde","fliegen","woeste","tuerkei","einfuehrungswoche","dadaschew","forscher","mba","lufthansa","laestern","bany","ioc","virus","saison","studenten","mack","kunst","hotels","kunst","schneider","messe","fussball","joussen","flick","cortina","gaeste","buchungen","verein","werften","gaeste","semmelmann","basel","fc","hotels","geimpfte","quarantaene","olympischen","sommer","treibstoffe","hochheim","grill","piloten","mick","iaa","zipse","lesen","prinzen","awen"
"6","airbus","hamburger","messe","love","einrichtungen","kuenstler","bavaria","miesbach","stadien","hamburger","rabbi","baumert","hellersdorf","senat","berlin","sachsenanhalt","franken","muenchen","euro","hamburger","babelsberg","galerie","millionen","sarrazin","moar","euro","meierbeer","berlin","euro","hamburg","stadt","berliner","millionen","toppmoeller","messen","dbvi","aussteller","koelner","mannschaft","berlin","hamburger","ujfalusi","euro","stadt","hauptstadt","jara","euro","hamburg","berlin","hamburger","wendisch","hannover","quadratmeter","berliner","berlin","subvention","hamburg","trainer","spieler","stuerzer","hamburg","premiere","frankfurt","bbl","enbw","fussball","reiz","mannschaft","koizumi","einsatzzentralen","premiere","gaugler","open","thema","fc","icc","hamburg","fennesz","thema","stadt","hamburger","football","esche","gajé","dfl","lauber","hapaglloyd","studium","gymnasium","ballack","kapitaen","harburg","hapaglloyd","klinsmann","stadt","hamburg","heidelbergcement","celtic","tui","premiere","hamburger","hesse","schiffe","stuttgart","rhein","harrods","gaal","lindsey","brender","haie","zwanziger","wersich","studium","mannschaft","bogner","van","claas","messe","universitaeten","e","stadt","fans","hochschule","humboldtforum","schulen","dortmund","case","hsv","stadt","sorg","cayla","messe","dqr","unfall","cannes","liga","fc","fr","trautmann","eichhorn","privatschule","studenten","mitsos","muenchen","werder","kranz","vfb","kleve","gottschau","leibnizkeks","ole","rad","azubis","studieren","fc","warentest","duran","  ","muenchen","wm","bugra","konzert","hochschulen","bremer","hamburg","studierenden","jost","tester","verbraucher","studenten","formel","fc","studium","promotion","edeka","bedient","edeka","passive","spiele","teams","tengelmann","aegypten","netuschil","wittgenstein","philosophie","studenten","  ","panama","tourismus","bangkok","tunesien","anschlag","arbeitserlaubnis","anaut","tuerkei","fussball","mad","tschechiens","fc","nepal","urlauber","puigdemont","katalonien","iqwig","spanien","deniz","romanistin","up","spieler","programm","watch","klub","journalisten","abgewiesen","hofgemeinschaft","archiv","kettcar","jachnik","piloten","galizia","doktoranden","feindt","cook","lohnluecke","urlauber","fc","iese","condor","tokio","veranstalter","messe","galerie","reisen","touristen","veranstalter","flughaefen","reisewarnung","tirol","hotels","buehler","iaa","tourismus","olympischen","mayr","reisen","kunden","muenchen","kirch","flensburg","saison","fc","oesterreich","werften","konzerte","wilhelmi","lesen","hotels","branche","flughaefen","reisen","vc","schalke","spiele","reuss","virus"
"7","hamburger","a","stuttgart","parade","gmbh","millionen","nyc","schneider","vereine","stadt","hamburg","stadt","euro","millionen","berliner","hannover","zenruffinen","hamburger","love","korthals","metrorapid","berliner","vvrberek","heroin","koeln","millionen","hamburger","linden","st","millionen","four","hotel","brutto","senat","anwaelte","hamburger","moebel","bau","koeln","wohnen","avramopoulos","hsv","koelmel","haeuser","hamburg","rauball","hotel","hamburger","bayern","st","wiedenberg","euro","berlin","stadt","schiedsrichter","wiesenhof","faber","millionen","edelmann","euro","april","bundesliga","pressegespraech","staatsexamen","lebensmittelmarken","studenten","stadien","trainer","fc","studiengebuehren","zahlen","schule","stadt","pressekonferenz","sander","hamburg","stadt","universitaeten","doppelt","konzessionen","generali","you","mannschaft","geisteswissenschaftler","davos","doerfler","a","wohnen","hamburger","privatschulen","kyoto","asklepios","wattens","messe","hamburg","honda","bayern","klubs","leipold","kunst","pluta","stadt","bayern","sachsen","abiturienten","schulen","studenten","organisationen","trier","spiele","muenchner","stadt","ostkreuz","berliner","steil","festival","unterrichtet","huber","lowe","kunst","bernd","allofs","studium","wera","norddeutschland","max","lindau","trainer","calden","seifert","aussteller","galerie","abschluss","bremen","mannschaft","boris","verein","team","zoll","rabe","privatschulen","mannschaft","professoren","staedten","maeckler","autofahrer","mipim","móstoles","borussia","sat","saison","team","studenten","laufen","muenchen","aroma","warentest","otto","studium","team","hamburger","waldbuehne","loew","jimmy","saison","absolventen","lamberty","lamberty","sport","schiff","boehmermann","kaisers","kunst","stadt","loewen","grossmaechte","forschung","niersbach","elbphilharmonie","baecker","tourismus","minen","touristen","lukas","kunstmarkt","touristen","alaska","sommer","messen","literaturbetrieb","flug","reisen","hotels","hotels","schueler","stadt","universitaet","inmitten","parzellen","universitaet","barcelona","spaniens","spanien","boersenverein","kabila","gucci","fachhochschulen","abiy","studiengang","erdoğan","retter","klubs","rui","indios","dortmund","direktorin","wiley","school","airlines","hotel","messen","hochschulen","mittelmeer","museen","aponte","kucinska","isa","polnische","gaeste","aussteller","olympischen","veranstalter","gaeste","tests","gaeste","mallorca","kunden","reisewarnung","schultz","branche","fc","infektionen","museen","praktika","branche","luftverkehr","hotels","besucher","reisen","vilks","gaeste","hotel","ces","ioc","urlaub","côte","athen","flughaefen","kaffee","braun","smm","wirt","fussball","staatsanwaltschaft","klinik"
