"","Topic 1: Corporate Culture","Topic 2: EU Conflicts","Topic 3: Energy & Climate Change Mitigation","Topic 4: Companies & Markets","Topic 5: Geopolitics","Topic 6: Society","Topic 7: Financial Markets I","Topic 8: German Politics I","Topic 9: Miscellaneous","Topic 10: Financial Markets II","Topic 11: Leisure & Hospitality","Topic 12: Central banks","Topic 13: German Economy","Topic 14: German Politics II"
"2001-01-01",2,0,1,1,7,18,0,0,20,16,0,2,4,0
"2001-04-01",0,0,1,0,4,9,0,0,10,7,0,0,6,0
"2001-07-01",0,0,1,0,24,22,0,0,20,17,0,0,12,0
"2001-10-01",2,0,4,0,11,18,0,0,29,17,0,1,17,0
"2002-01-01",2,0,4,0,1,6,0,0,16,10,0,0,9,0
"2002-04-01",3,0,5,1,4,13,2,0,12,15,0,0,15,0
"2002-07-01",2,0,2,0,13,16,0,0,27,30,0,3,20,0
"2002-10-01",1,0,1,0,24,27,1,0,15,10,0,1,19,0
"2003-01-01",3,0,5,0,24,18,0,0,20,27,0,6,11,0
"2003-04-01",3,0,1,0,12,10,0,0,16,6,0,0,16,0
"2003-07-01",1,0,2,0,3,13,0,0,7,3,0,0,8,0
"2003-10-01",7,0,1,0,3,20,0,0,13,10,0,0,9,0
"2004-01-01",2,0,1,0,4,14,0,0,11,7,0,0,4,0
"2004-04-01",1,0,5,0,11,19,0,1,21,8,0,1,5,0
"2004-07-01",4,0,3,0,3,24,0,0,20,12,0,1,13,0
"2004-10-01",2,0,3,0,10,19,0,0,24,5,0,3,8,0
"2005-01-01",2,0,0,0,3,16,0,0,18,8,0,0,12,0
"2005-04-01",3,0,0,0,5,20,0,0,20,3,0,1,9,0
"2005-07-01",2,0,0,0,6,17,0,0,25,10,0,0,3,0
"2005-10-01",3,0,2,0,8,23,0,0,16,8,0,1,6,0
"2006-01-01",0,0,0,0,8,23,1,1,18,3,0,0,0,1
"2006-04-01",1,1,1,1,10,18,1,0,16,7,0,3,4,2
"2006-07-01",3,1,0,1,3,23,1,0,29,3,1,1,4,1
"2006-10-01",3,0,0,0,3,33,1,3,27,5,0,0,4,4
"2007-01-01",0,0,0,0,5,11,0,2,16,1,0,1,6,0
"2007-04-01",0,0,0,0,2,13,0,0,16,3,4,0,0,0
"2007-07-01",1,2,2,1,3,13,1,3,20,8,0,12,9,1
"2007-10-01",2,0,0,0,4,21,2,2,10,11,1,10,4,8
"2008-01-01",0,0,3,2,7,8,1,1,13,16,3,9,4,1
"2008-04-01",0,2,2,0,3,19,3,2,29,4,0,4,4,3
"2008-07-01",1,1,1,2,6,28,3,3,23,6,0,4,3,5
"2008-10-01",6,2,1,3,13,27,4,4,56,15,6,11,8,6
"2009-01-01",8,3,3,1,10,31,4,0,34,4,7,12,13,4
"2009-04-01",5,0,2,3,2,13,8,2,13,4,0,3,11,4
"2009-07-01",5,0,0,0,4,8,3,0,28,5,1,3,4,2
"2009-10-01",10,1,6,3,7,16,8,3,12,3,9,8,9,3
"2010-01-01",10,2,0,2,3,18,9,4,14,5,3,3,7,2
"2010-04-01",2,1,1,2,3,21,4,2,22,3,4,16,11,2
"2010-07-01",7,1,3,2,12,19,11,4,18,18,5,14,4,4
"2010-10-01",4,2,2,0,8,31,4,3,21,10,1,8,4,3
"2011-01-01",6,2,7,0,12,33,0,6,14,16,1,15,8,9
"2011-04-01",3,0,3,0,4,17,2,1,14,7,1,11,3,3
"2011-07-01",6,0,5,8,12,14,3,2,26,29,1,32,8,2
"2011-10-01",2,2,3,3,6,4,5,3,23,23,7,18,13,3
"2012-01-01",2,0,1,1,4,6,3,0,15,8,4,4,7,2
"2012-04-01",1,0,7,0,0,8,1,0,7,6,1,16,9,1
