"","2001-01-01","2001-02-01","2001-03-01","2001-04-01","2001-05-01","2001-06-01","2001-07-01","2001-08-01","2001-09-01","2001-10-01","2001-11-01","2001-12-01","2002-01-01","2002-02-01","2002-03-01","2002-04-01","2002-05-01","2002-06-01","2002-07-01","2002-08-01","2002-09-01","2002-10-01","2002-11-01","2002-12-01","2003-01-01","2003-02-01","2003-03-01","2003-04-01","2003-05-01","2003-06-01","2003-07-01","2003-08-01","2003-09-01","2003-10-01","2003-11-01","2003-12-01","2004-01-01","2004-02-01","2004-03-01","2004-04-01","2004-05-01","2004-06-01","2004-07-01","2004-08-01","2004-09-01","2004-10-01","2004-11-01","2004-12-01","2005-01-01","2005-02-01","2005-03-01","2005-04-01","2005-05-01","2005-06-01","2005-07-01","2005-08-01","2005-09-01","2005-10-01","2005-11-01","2005-12-01","2006-01-01","2006-02-01","2006-03-01","2006-04-01","2006-05-01","2006-06-01","2006-07-01","2006-08-01","2006-09-01","2006-10-01","2006-11-01","2006-12-01","2007-01-01","2007-02-01","2007-03-01","2007-04-01","2007-05-01","2007-06-01","2007-07-01","2007-08-01","2007-09-01","2007-10-01","2007-11-01","2007-12-01","2008-01-01","2008-02-01","2008-03-01","2008-04-01","2008-05-01","2008-06-01","2008-07-01","2008-08-01","2008-09-01","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01","2017-01-01","2017-02-01","2017-03-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-10-01","2017-11-01","2017-12-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01","2018-08-01","2018-09-01","2018-10-01","2018-11-01","2018-12-01","2019-01-01","2019-02-01","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01","2021-01-01","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01","2022-01-01","2022-02-01","2022-03-01","2022-04-01","2022-05-01","2022-06-01","2022-07-01","2022-08-01","2022-09-01","2022-10-01","2022-11-01","2022-12-01","2023-01-01","2023-02-01","2023-03-01","2023-04-01"
"Share (in %) on ""wirtschaft""&""unsicher""-corpus","3.3805","4.5223","3.3505","3.7423","3.9876","4.4945","5.5229","2.7059","8.615","6.6365","5.5657","3.377","4.9376","4.012","5.0337","2.7954","3.6068","3.8531","3.7817","3.7893","5.6522","5.9502","3.0234","6.0124","5.5345","6.9306","10.8479","11.1741","5.9739","6.8329","3.8551","6.0112","6.5157","2.953","7.0282","4.6338","6.6855","4.3794","4.7509","5.5924","5.6821","5.9805","6.3047","2.6255","7.3828","4.4814","5.0853","4.2742","5.4434","4.9318","4.8933","2.2834","2.1545","4.8658","4.7905","6.4257","1.9088","5.2162","3.6165","4.9018","9.215","9.8102","6.7807","6.673","6.4464","6.7723","7.2074","8.9986","7.9186","5.6068","3.766","6.1838","3.3865","8.2843","5.8035","3.6891","7.2206","4.9054","8.0921","4.6284","6.7606","6.2528","4.8945","6.7313","5.0993","5.907","4.6034","5.9211","7.0555","5.7101","7.5281","8.5315","5.1884","4.2486","5.6239","3.7786","6.6324","5.3757","2.7122","2.4116","3.7846","5.4693","11.2628","4.7688","2.906","2.4521","4.2978","2.4455","5.1926","3.9335","3.9118","3.1844","3.7454","2.2216","5.241","4.6814","6.5978","4.4678","7.228","5.3779","6.8304","9.8206","4.9265","5.3291","5.718","4.4831","5.0539","3.6545","4.2981","3.3045","3.9466","4.7303","5.5775","6.3384","8.4366","4.7879","2.8138","4.7561","3.4904","4.0173","6.9036","6.2148","8.5485","6.4599","7.532","3.8125","3.8811","3.5914","3.1376","8.8084","4.0239","5.0433","5.5214","7.3395","6.3578","5.5479","8.4052","5.6503","5.3596","6.4915","3.9522","6.835","6.5249","4.9362","4.9133","4.1525","12.1318","4.5133","6.0457","5.7168","6.0424","7.9794","3.5857","5.3678","5.7062","6.4524","6.0844","4.0355","6.8983","5.1762","6.7329","6.8262","6.7307","4.4564","6.1517","3.1392","4.4684","6.4719","8.2822","6.3862","17.4365","8.6545","13.5136","11.5772","7.9538","7.6734","7.6079","7.4203","6.9387","8.3662","3.4128","12.2034","7.6771","2.9197","8.1813","11.5694","9.8198","18.7623","14.7464","6.5037","9.2512","9.026","5.8788","6.1139","7.0184","4.3676","6.5553","9.2492","3.9321","8.4596","8.1081","10.6712","7.8556","7.0371","7.9857","7.5166","8.4809","4.9517","9.7423","6.7259","2.9932","3.2973","4.2628","5.6615","4.9332","8.3284","5.6133","7.3242","7.1247","3.4257","6.78","5.9076","6.1073","6.1218","5.0022","9.5381","9.133","8.8093","7.8875","7.0839","8.4392","7.783","10.7877","14.4502","14.0553","10.4221","8.4615","5.9061","6.6451","6.4286","6.3451","7.6048","6.4182","5.7056","8.1194","8.4096","7.5784","6.5554"
"Share (in %) on ""wirtschaft""-corpus","0.2221","0.2763","0.2168","0.2438","0.2003","0.2362","0.3394","0.1914","0.9136","0.8063","0.5055","0.2833","0.3367","0.2099","0.2612","0.1845","0.2419","0.2827","0.2949","0.3103","0.4898","0.436","0.2251","0.4792","0.4412","0.7156","1.3227","0.9292","0.4157","0.4092","0.1946","0.3971","0.4023","0.1554","0.4801","0.2561","0.4166","0.3326","0.2961","0.3409","0.4139","0.3036","0.3457","0.1802","0.4385","0.2714","0.2879","0.2894","0.265","0.2822","0.2392","0.1103","0.1375","0.3029","0.2505","0.338","0.147","0.3281","0.1864","0.2037","0.4689","0.3658","0.3579","0.3326","0.357","0.3266","0.2572","0.4475","0.3847","0.3071","0.1712","0.3372","0.1472","0.3666","0.2657","0.2002","0.3454","0.1974","0.3607","0.3365","0.4995","0.3208","0.3459","0.4661","0.3648","0.4351","0.2811","0.3265","0.4291","0.3129","0.4873","0.498","0.4044","0.4514","0.4364","0.3168","0.5903","0.4126","0.2203","0.1743","0.2192","0.3071","0.7503","0.2871","0.1942","0.1484","0.2742","0.1713","0.3273","0.3131","0.2713","0.2225","0.3086","0.1826","0.4387","0.4065","0.5285","0.2791","0.6352","0.5004","0.4723","0.5902","0.4945","0.3875","0.4458","0.3923","0.4357","0.4628","0.4343","0.3351","0.4312","0.483","0.4919","0.4629","0.5311","0.3595","0.267","0.395","0.3752","0.3806","0.5774","0.5312","0.6781","0.5145","0.5918","0.3243","0.3241","0.321","0.1844","0.6586","0.3218","0.3619","0.4371","0.5723","0.3402","0.351","0.4695","0.4217","0.4482","0.3925","0.2407","0.3754","0.4239","0.3841","0.3982","0.3371","0.9213","0.3797","0.5698","0.5339","0.4253","0.5234","0.2696","0.3498","0.3753","0.5697","0.517","0.3735","0.5641","0.3777","0.7908","0.7726","0.6451","0.4027","0.5603","0.3903","0.6881","0.8059","0.8845","0.6451","2.1734","1.3789","2.1354","1.6112","0.8754","1.0434","0.7609","0.7059","0.655","0.791","0.2906","1.3445","0.7904","0.2593","0.7194","0.9419","0.9157","1.6883","1.4671","0.7173","0.8663","0.9098","0.5819","0.6578","0.7825","0.4427","0.8798","1.1171","0.4691","0.8527","0.7731","1.0141","0.9287","0.7929","0.9486","0.7999","0.9529","0.4607","1.0884","0.8407","0.5395","0.4584","0.6467","0.7166","0.5513","0.8776","0.6092","0.9577","0.8323","0.3194","0.7125","0.5177","0.5684","0.4729","0.4796","0.8262","0.7766","0.9275","0.7517","0.5597","0.8833","0.9209","1.194","1.5217","2.0518","1.4278","1.1687","0.7686","0.9705","0.9195","0.8761","0.9018","0.8121","0.7669","0.7856","0.8947","0.99","0.6104"
"Share (in Promille) on entire corpus","0.6595","0.7723","0.6105","0.7024","0.5421","0.6427","0.9171","0.4984","2.3981","2.2347","1.3386","0.7769","0.9794","0.5549","0.7016","0.5204","0.6552","0.7467","0.8939","0.962","1.439","1.3525","0.6851","1.4062","1.3402","2.0145","3.5047","2.4672","1.2072","1.196","0.5402","1.0456","1.1157","0.4348","1.357","0.6868","1.1703","0.9076","0.8246","0.9903","1.2034","0.7958","0.911","0.4509","1.1932","0.7625","0.7972","0.7988","0.7268","0.7376","0.6342","0.2912","0.3733","0.8642","0.6383","0.8718","0.4034","0.8943","0.519","0.5524","1.2773","0.8583","0.9361","0.8664","0.926","0.7249","0.5959","1.0736","0.9961","0.8076","0.4528","0.8622","0.3927","0.9612","0.6924","0.5216","0.9158","0.5331","0.9171","0.8907","1.3461","0.8876","0.9358","1.2775","1.0414","1.1835","0.7384","0.9225","1.1478","0.8237","1.3118","1.3334","1.1841","1.5882","1.4853","1.0705","2.0936","1.4648","0.7983","0.6079","0.7522","1.0563","2.3867","0.8809","0.6378","0.4568","0.7634","0.4581","0.9703","0.9713","0.8319","0.6833","0.9584","0.5518","1.2575","1.2824","1.6997","0.9137","2.0792","1.5322","1.6345","1.8391","1.5751","1.2562","1.3731","1.2554","1.381","1.5364","1.471","1.1235","1.4712","1.5225","1.6149","1.4303","1.6002","1.1598","0.8821","1.2864","1.2053","1.156","1.8827","1.7247","2.2514","1.6245","1.9293","1.0328","1.0268","1.031","0.5939","2.1264","1.0479","1.0767","1.3701","1.8271","1.0393","1.0676","1.5572","1.2992","1.4337","1.3011","0.7916","1.18","1.2824","1.1927","1.2818","1.0703","2.9715","1.1806","1.8672","1.6687","1.3318","1.6085","0.8599","1.1594","1.2322","1.7948","1.5942","1.1322","1.7147","1.1258","2.5782","2.2914","1.9638","1.3021","1.7942","1.242","2.0487","2.3514","2.8036","1.9474","7.3829","4.1461","7.0441","5.0171","2.7024","3.2396","2.4132","2.2181","2.0108","2.6023","0.9127","4.2481","2.5324","0.7921","2.3869","2.8362","2.9326","5.1781","4.8293","2.2213","2.8068","3.1537","1.934","2.2829","2.5973","1.3635","2.9542","3.5997","1.4672","2.9291","2.6462","3.4407","3.0684","2.7766","3.3948","2.746","3.3704","1.6186","4.1497","2.9895","2.2525","2.0935","2.7792","2.9704","2.1661","3.3759","2.3024","3.7132","3.0885","1.1813","2.7376","2.0283","2.1073","1.6969","1.7234","2.9171","2.6575","3.0963","2.8994","2.0903","3.1619","3.4118","4.4062","5.4635","8.1205","5.5514","4.4729","2.9933","3.9285","3.6213","3.735","3.5994","3.1816","2.8474","3.0489","3.4998","3.8716","2.3547"
"1","scharon","scharon","llosa","china","usa","china","israel","israel","new","usa","usa","afghanistan","amerika","york","gewalt","israel","usa","bush","bush","bush","irak","krieg","bush","krieg","krieg","krieg","krieg","krieg","irak","usa","irak","irak","dubai","mesa","israel","irak","scharon","bush","china","china","indien","irak","saddam","bush","kerry","bush","bush","irak","ddt","bush","baschir","china","israel","dollar","israel","usa","china","china","china","ikrk","china","bahr","lukaschenko","iran","china","usa","kongo","iran","iran","demokraten","nato","kosovo","lukaschenko","iran","iran","iran","irak","hongkong","taiwan","china","schleyer","irak","iran","hillary","mccain","iran","peking","chinas","israel","obama","iran","peking","mccain","obama","obama","china","obama","obama","peking","ddt","khan","obama","uhr","bundeswehr","kennedy","afrika","obama","iran","islam","sanktionen","arabischen","bharara","rothemden","yuan","taliban","obama","obama","obama","obama","obama","deng","aegypten","aegypten","aegypten","pakistan","obama","amerika","libyen","kenia","peking","obama","kim","obama","china","san","obama","arabischen","obama","chinas","romney","obama","obama","obama","chinesen","chávez","kerry","kenyatta","china","china","obama","tibet","obama","krieg","usa","blasio","afrika","china","staaten","obama","china","anc","israel","china","amerika","china","hongkong","china","land","tunesien","israel","xi","juden","china","iran","tunesien","iran","china","china","krieg","zuma","trump","afghanistan","trump","trump","trump","china","trump","trump","syrien","trump","trump","trump","trump","trump","trump","trump","trump","trump","trump","trump","china","trump","trump","usa","trump","trump","trump","trump","iran","trump","trump","trump","trump","trump","trump","trump","china","usa","china","china","trump","trump","trump","china","china","china","hongkong","china","trump","china","trump","trump","china","trump","usa","usa","trump","trump","biden","putin","china","china","china","afghanistan","china","china","china","afghanistan","china","china","china","biden","russland","russland","russland","russland","china","russland","russland","china","russland","china","china","china","china","putin","china","china"
"2","israel","barak","vargas","bush","amerika","bush","gilo","megawati","usa","afghanistan","afghanistan","krieg","new","new","usa","israelische","kabul","usa","hongkong","usa","september","irak","usa","bush","irak","irak","irak","irak","krieg","israel","krieg","bagdad","irak","china","china","china","heinsohn","iran","anschlaege","irak","china","china","irak","new","bush","china","kerry","bush","demokratie","chinesischen","syrien","usa","israelische","usa","anschlaegen","kosovo","peking","kosovo","palaestinenser","kellenberger","iran","iran","china","china","chinesischen","chen","bush","steinmeier","krieg","murtha","bush","steinmeier","usa","usa","bienen","marine","israel","china","china","peking","china","amerikaner","sanktionen","al","kenia","clinton","tibet","china","rubinger","mccain","fang","china","obama","mccain","praesidenten","chinas","iran","china","obama","jensen","china","iran","kino","china","kahlo","chinas","piraten","obama","chinas","cup","fromm","obama","bangkok","china","kabul","irak","kim","china","republikaner","china","aegypten","mubarak","tunesien","obama","tod","barack","saudiarabien","china","aegypten","chinas","shiller","cia","praesident","peking","aung","sanktionen","obama","land","jerusalem","china","monopoly","romney","romney","china","netanjahu","china","kenia","venezuela","usa","china","lhasa","china","syrien","washington","new","sawiris","iran","westen","china","peking","china","obama","peking","schlager","guerra","hongkonger","obama","afghanistan","peking","land","china","china","korruption","kim","iran","afrika","chinas","peking","terror","china","iran","kabul","china","ttip","sirte","trump","tuerkei","krieg","trump","clinton","trumps","peking","usa","usa","washington","usa","putin","usa","usa","usa","trump","iran","china","trump","iran","usa","china","china","trump","usa","china","iran","china","china","china","china","usa","trump","trump","trump","china","china","usa","trump","peking","trump","china","hongkong","china","peking","russland","usa","huawei","hongkong","hongkong","trump","china","usa","trump","china","usa","usa","chinesische","china","usa","chinas","chinesische","taliban","usa","usa","russland","usa","ukraine","ukraine","china","ukraine","ukraine","china","china","peking","putin","xi","russland","ukraine","russland","russland","chinas","indien"
"3","bush","reagan","usa","usa","china","amerika","praesident","israelische","york","washington","new","brzezinski","york","polizei","krieg","juden","washington","pa","york","irak","usa","usa","amerika","usa","bush","usa","bush","sars","usa","irak","berman","chinas","new","irak","taliban","bush","staaten","kerry","chen","chinas","bush","reagan","bush","kerry","amerika","kerry","bushs","china","israel","george","libanon","krieg","krieg","arabischen","syrien","fahd","iran","george","gaza","amerika","hamas","georgien","irak","teheran","chinas","china","hisbollah","israel","china","usa","giuliani","iran","land","chinas","china","iranischen","krieg","gaza","islamisten","chinesischen","taiwan","mittelost","syngenta","obama","romney","serbien","olympischen","chaoyun","tsvangirai","china","china","chinas","china","don","bush","peking","israel","clinton","chinas","malaria","lanka","toyotastadt","cinemaxx","chinas","atlanta","china","bush","lo","kelek","iran","terroristen","peking","demonstranten","peking","karsai","lewis","irak","amerikaner","obamas","chinas","obama","israel","china","tunesien","kim","praesident","new","obama","peking","china","china","washington","amerikaner","region","suu","usa","afghanistan","usa","romney","chinas","china","wall","china","chinas","obama","asien","china","obama","kandidaten","usa","peking","usa","iran","china","york","brasilien","chinesische","new","usa","land","chinesen","land","peru","krieg","chinesischen","china","shanghai","dollar","nato","juden","chinas","land","chinas","usa","peking","iaea","peking","chinas","is","praesident","obama","syrien","chinas","obama","mao","li","afghanistan","usa","obama","republikaner","usa","china","china","trumps","usa","china","russland","haass","kongress","russland","peking","russland","trumps","china","china","washington","usa","usa","china","china","russland","usa","mexiko","trumps","peking","usa","trump","iran","li","usa","usa","usa","china","usa","chinas","usa","peking","chinas","usa","chinesischen","china","china","trump","china","chinesischen","china","biden","china","usa","biden","trump","biden","biden","biden","taiwan","biden","usa","usa","biden","biden","indien","manchin","china","putin","putin","china","russland","putin","putin","taiwan","ukraine","chinas","peking","russland","usa","biden","ukraine","russland"
"4","taiwan","israel","amerikaner","krieg","indonesien","amerikanischen","beit","tommy","trade","terrorismus","york","september","china","bush","irak","bush","amerikaner","chinas","george","krieg","amerikaner","bush","irak","irak","usa","bush","usa","hongkong","bush","soldaten","usa","saddam","bush","paz","irak","serbien","mindanao","spee","el","land","singh","chinesischen","kerry","york","krieg","hongkong","arafat","york","abbas","china","jakarta","voelkermord","afghanen","arafat","collins","bush","chinas","regierung","irak","usa","israel","osten","milosevic","carl","chinesische","kanal","kinshasa","sanktionen","amerika","china","demokraten","syrien","bush","irak","krieg","chinesischen","segev","nordkorea","israel","land","israel","iran","land","jazeera","china","afghanistan","chinas","wei","israelis","barack","afghanistan","obama","john","demokraten","usa","amerika","amerika","peking","china","somalia","obama","hisbollah","zeise","peking","usa","region","bosaso","frieden","peking","iranische","sklaverei","preet","obama","ujica","peking","washington","linda","demokraten","china","peking","washington","arabischen","kanada","china","indien","palin","china","tripolis","land","arabischen","aegypten","amerikaner","amerika","amerikas","kyi","braml","tourismus","drogenhandel","pekinger","obama","chinas","chávez","taliban","obama","kim","washington","shanghai","gewalt","jury","muslime","china","syrien","usa","obama","de","land","usa","chávez","chinesischen","aegypten","johr","apichai","chinesen","erdoğan","vecchio","peking","chinesischen","hoffnung","amerika","jade","partei","amerikaner","amerikaner","china","obama","china","xi","chinesischen","nato","afghanistan","peking","staaten","usa","usa","peking","obama","clinton","clinton","china","obama","donald","iran","trumps","china","china","trumps","usa","moskau","donald","china","russland","usa","praesident","wto","demokraten","trumps","obama","russland","usa","nordkorea","iran","china","usa","usa","xi","chinesische","chinas","russland","chinas","washington","peking","chinas","russland","chinesische","trump","russland","chinesischen","demonstranten","iran","chinesische","usa","trumps","chinesische","usa","china","lukaschenko","usa","biden","china","blinken","chinesen","nato","chinesischen","taliban","biden","russland","biden","biden","taiwan","peking","brasilien","republikaner","usa","russische","russischen","russischen","russischen","ukraine","russische","usa","westen","chinesischen","chinas","usa","ukraine","krieg","li","ukraine"
"5","ron","usa","israel","washington","york","w","israelischen","korruption","world","terror","september","amerika","krieg","mahathir","bush","israels","bush","china","irak","staaten","bush","washington","krieg","washington","saddam","saddam","krieges","usa","dubai","bagdad","wieczorekzeul","china","kabul","usa","krieg","dean","september","demokraten","anschlag","regierung","krieg","chinas","amerika","chinesische","land","bushs","praesident","bachmann","china","praesident","saudiarabien","waffen","afghanistan","abbas","usa","saakaschwili","chinesische","mooney","peking","israel","scharon","iraner","iran","gustaf","land","montenegro","armee","hisbollah","irak","john","fidschi","nordkorea","thaksin","algoaibi","usa","israel","afrika","yar","palaestinensische","chinas","peking","koenigs","israel","pakistanischen","bush","olmert","laridschani","peking","juden","john","taliban","spiele","bush","republikaner","mccain","fang","china","mahbubani","iran","obama","amnesty","toyota","film","obama","chinas","afrikas","obamas","krieg","china","china","libanon","china","hanning","chinesischen","jiabao","republikaner","jerry","usa","demokraten","republikaner","praesident","kairo","land","land","peking","michelle","praesident","washington","indien","fdi","wall","land","washington","obama","alqaida","afghanistan","usa","suu","peking","chinesischen","peking","chinas","afrika","westen","usa","obama","chávez","land","westen","amerikaner","afrikanischen","iran","ruhani","republikaner","bloomberg","nato","chinesen","jong","chinesen","chinesischen","wuppertal","praesident","widodo","osten","luxottica","chinesischen","veteranen","iran","afghanistan","gauck","jinping","washington","straehle","saudiarabien","chinesischen","amerika","usa","staaten","syrien","ghani","amerika","nahen","xi","regeni","usa","israel","nato","meer","praesident","donald","clinton","chinas","mexiko","amerika","chinas","donald","china","hadley","nordkorea","mexiko","amerika","sanktionen","chinas","russland","usa","nordkorea","chinas","chinas","sanktionen","kim","usa","xi","amlo","amerikaner","trumps","chinas","chinesischen","china","usa","wto","zoelle","peking","uspraesident","chinesischen","hongkong","chinesischen","trump","japan","peking","trump","praesident","russland","usa","sicherheitsgesetz","trump","tiktok","emirate","trumps","joe","usa","chinesischen","myanmar","indien","russland","russland","usa","chinesischen","china","chinas","chinas","chinas","russland","chinesische","russischen","ukraine","putin","putin","russische","ukraine","chinesische","russische","usa","chinesischen","chinesischen","biden","ukraine","peking","land"
"6","china","israelis","bush","new","europaeer","khatami","jala","gewalt","terroristen","september","china","staaten","september","avenue","hussein","new","europaeer","amerikaner","washington","amerika","krieg","gore","china","nordkorea","hongkong","amerika","saddam","china","japan","huntington","bush","kabul","york","halliburton","israelischen","usa","krieg","thailand","taiwan","usa","gandhi","bagdad","demokraten","china","amerikaner","chinas","china","staaten","iran","chinas","land","praesident","karsai","iran","anschlaege","new","bush","land","abbas","vietnam","irak","amerika","land","chinas","new","tourismus","iran","pleuger","schiiten","terroristen","saudiarabien","assad","china","krieg","chinesischen","diplomatie","soldaten","chinesischen","chen","kosovo","terroristen","oren","usa","armee","clinton","kosovo","ahmadinedschad","chaos","welt","kennedy","zheng","chinesen","palin","john","obamas","ensikat","barack","chinas","chinesischen","praesidenten","welt","nordkorea","harburg","iran","film","chinesischen","washington","land","afghanistan","afghanistan","haiti","republikaner","ayn","chinas","obama","usa","washington","barack","praesidenten","praesidenten","kairo","obama","peking","praesident","ladens","weissen","khanna","kim","soldaten","usa","street","afghanistan","usa","chinas","nyi","washington","indien","khartum","obama","republikaner","demokraten","venezuela","chinas","chinesischen","china","soldaten","afrika","libanon","syrien","westen","dalai","fonterra","china","demokraten","zone","chinesischen","soldaten","york","chinas","asien","staaten","china","mcdonald","usa","del","afrika","irak","china","davos","china","iran","welle","schweigen","obama","china","land","iran","land","kriege","praesidenten","praesident","iran","syrien","abkommen","china","washington","abe","russland","g","amerikaner","obama","g","donald","praesident","trumps","staaten","iran","iran","trumps","trumps","usa","china","usa","chinesischen","davos","china","russland","sanktionen","kim","trumps","peking","sanktionen","ischinger","maas","usa","xi","peking","washington","trumps","russland","washington","chinesischen","iran","peking","usa","peking","xi","trump","chinesische","chinas","donald","biden","chinesischen","indien","indien","washington","staaten","praesident","praesident","trump","biden","joe","peking","chinesische","peking","indien","chinas","land","afghanistan","russischen","chinesischen","china","russischen","moskau","russische","russische","chinesischen","russischen","russischen","chinas","sanktionen","partei","russischen","russische","peking","indien","usa","peking"
"7","chen","kaukasus","washington","israel","amerikanischen","chinas","gewalt","praesident","center","terroristen","amerika","laden","usa","peking","new","bjp","debka","gewalt","china","bushs","china","nordkorea","amerikaner","regierung","davos","amerikaner","amerikaner","region","land","hisbollah","saddam","soldaten","kaufman","sánchez","new","york","irak","nader","anschlaegen","bush","korea","iraker","usa","george","regierung","george","sieg","europaeer","demokratische","iran","beirut","bush","john","land","terror","dollar","land","peking","entwicklungshelferin","new","scharons","amerikaner","amerika","usa","peking","chinesische","soldaten","libanon","osten","aufstand","john","hisbollah","russland","kosovo","land","einfluss","land","norden","bhutto","irak","raf","china","china","grenze","chinas","obama","serbien","wanderarbeiter","chinesischen","bush","chinas","olympischen","perthes","rose","indien","obama","usa","mart","geithner","land","john","praesident","usa","riesa","amerika","peking","china","teheran","li","obama","terrorismus","chinas","uhr","afrika","china","john","praesident","iran","praesident","obamas","nation","armee","yuan","usa","land","amerika","obama","dollar","obama","liu","peking","nordkorea","karsai","garza","israel","gewalt","pakistanischen","narcos","china","peking","republikaner","demokraten","rashid","amerikaner","republikaner","nato","uhuru","maduro","nahen","amerika","lama","amerikaner","irak","vereinigten","china","china","amerika","dollar","land","chinas","nationen","israels","region","staaten","peking","tunesien","hongkong","krieg","china","sansibar","afrika","iran","nigeria","landes","staaten","obama","chinesischen","vietnam","muslime","iran","land","afghanen","japan","republikaner","libyen","usa","amerika","paris","peking","usa","tpp","japan","praesident","donald","russland","uspraesident","russischen","donald","china","donald","usbekistan","xi","amerika","usregierung","russland","mexiko","putin","kim","russland","iran","trumps","donald","peking","peking","washington","peking","uspraesident","peking","peking","nato","trumps","chinesische","putin","donald","chinesischen","praesident","usa","suedkorea","chinesischen","xi","peking","chinesischen","peking","nato","land","praesident","praesident","demokraten","donald","sanktionen","chinas","trump","chinas","peking","indien","trump","trump","kabul","amerika","praesident","alibaba","new","peking","krieg","westen","sanktionen","russische","westen","chinesischen","russland","china","russland","usa","putin","chinas","china","taiwan","russische"
