"","Topic 1: Corporate Culture","Topic 2: EU Conflicts","Topic 3: Energy & Climate Change Mitigation","Topic 4: Companies & Markets","Topic 5: Geopolitics","Topic 6: Society","Topic 7: Financial Markets I","Topic 8: German Politics I","Topic 9: Miscellaneous","Topic 10: Financial Markets II","Topic 11: Leisure & Hospitality","Topic 12: Central banks","Topic 13: German Economy","Topic 14: German Politics II"
"2001-01-01",0.000962927298988926,0,0.000203458799593082,0.000287686996547756,0.00384193194291987,0.0025762129669386,0,0,0.00339155502798033,0.00267469073888332,0,0.000445533526397861,0.000959232613908873,0
"2001-04-01",0,0,0.000436109899694723,0,0.00223089793641941,0.001625428932635,0,0,0.00189358076121947,0.00128111273792094,0,0,0.0016366612111293,0
"2001-07-01",0,0,0.000531632110579479,0,0.00993377483443709,0.00365205843293493,0,0,0.00445136879590474,0.00376856572821991,0,0,0.00365296803652968,0
"2001-10-01",0.000440237728373322,0,0.00148203038162282,0,0.00179533213644524,0.00165456383858811,0,0,0.00521114106019766,0.00136557153184995,0,0.000103885310617079,0.00162384181870284,0
"2002-01-01",0.000615574022776239,0,0.00167364016736402,0,0.000404040404040404,0.000979272074424678,0,0,0.00242792109256449,0.00241721053903795,0,0,0.0024330900243309,0
"2002-04-01",0.000779828437743696,0,0.00327225130890052,0.000266737796745799,0.00292611558156547,0.00282179292381159,0.000814663951120163,0,0.00230547550432277,0.00277469478357381,0,0,0.00271640709887722,0
"2002-07-01",0.000440528634361233,0,0.000777302759424796,0,0.00601017105871475,0.00379867046533713,0,0,0.00443495400788436,0.00414995158389819,0,0.000572519083969466,0.00372231528010422,0
"2002-10-01",0.000365096750638919,0,0.000441111601235112,0,0.00731930466605672,0.00523053080201472,0.000279563880346659,0,0.00354777672658467,0.00169923534409516,0,0.000219058050383352,0.0031081302142974,0
"2003-01-01",0.00132860938883968,0,0.00189969604863222,0,0.00779727095516569,0.0027972027972028,0,0,0.00416666666666667,0.00328747108243029,0,0.00159786950732357,0.00197663971248877,0
"2003-04-01",0.00106875667972925,0,0.00100908173562059,0,0.00222345747637576,0.00255297421496043,0,0,0.00405679513184584,0.000990589400693413,0,0,0.00296406076324565,0
"2003-07-01",0.000312597686777118,0,0.00166944908180301,0,0.00234925606891151,0.00317305345374664,0,0,0.00217458838148493,0.000836820083682008,0,0,0.00344234079173838,0
"2003-10-01",0.00266463646745337,0,0.000779423226812159,0,0.00213827512473272,0.003584229390681,0,0,0.00238575885483575,0.0025,0,0,0.00192926045016077,0
"2004-01-01",0.000565610859728507,0,0.000593119810201661,0,0.00156555772994129,0.00227162096381632,0,0,0.00233843537414966,0.00278108859753675,0,0,0.00122286762457964,0
"2004-04-01",0.000479616306954436,0,0.00455788514129444,0,0.005324298160697,0.00458826370441922,0,0.00029086678301338,0.00488145048814505,0.00301091456529921,0,0.000433463372345037,0.0012639029322548,0
"2004-07-01",0.00142348754448399,0,0.00210970464135021,0,0.0013599274705349,0.00535117056856187,0,0,0.0051033426894616,0.00392670157068063,0,0.00053276505061268,0.00330704655303994,0
