"","Topic 1: Corporate Culture","Topic 2: EU Conflicts","Topic 3: Energy & Climate Change Mitigation","Topic 4: Companies & Markets","Topic 5: Geopolitics","Topic 6: Society","Topic 7: Financial Markets I","Topic 8: German Politics I","Topic 9: Miscellaneous","Topic 10: Financial Markets II","Topic 11: Leisure & Hospitality","Topic 12: Central banks","Topic 13: German Economy","Topic 14: German Politics II"
"Proportion (%)","6.6622","5.1517","4.971","7.1236","6.5676","10.9534","5.8182","7.0025","9.9477","9.3148","4.3978","6.938","9.1523","5.9991"
"1","unternehmen","eu","strom","euro","china","menschen","bank","bundesregierung","  ","aktien","hamburg","ezb","jahr","spd"
"2","mitarbeiter","regierung","gas","konzern","trump","welt","banken","bund","leben","anleger","stadt","zentralbank","wirtschaft","partei"
"3","kunden","grossbritannien","energien","milliarden","usa","gesellschaft","fonds","gesetz","kinder","dax","studenten","inflation","wachstum","merkel"
"4","firmen","brexit","oel","umsatz","chinas","politik","anleger","euro","frauen","dollar","muenchen","banken","quartal","cdu"
"5","firma","bruessel","energiewende","mrd","peking","gibt","kunden","arbeitgeber","mann","investoren","millionen","zinsen","deutschland","fdp"
"6","internet","russland","energie","millionen","russland","heute","euro","spd","menschen","analysten","messe","geldpolitik","unternehmen","gruenen"
"7","manager","britische","erneuerbaren","gewinn","krieg","deutschland","immobilien","reform","frau","kurse","hamburger","notenbank","konjunktur","koalition"
"8","daten","britischen","co","mio","chinesischen","freiheit","geld","arbeitnehmer","eltern","boerse","bayern","eurozone","deutschen","union"
"9","ki","land","wasserstoff","quartal","iran","demokratie","wohnungen","eichel","familie","boersen","fc","fed","rueckgang","csu"
"10","digitalisierung","briten","industrie","unternehmen","praesident","soziale","sparkassen","gewerkschaften","leute","anleihen","trainer","griechenland","deutsche","scholz"
"11","digitale","frankreich","preise","geschaeft","washington","leben","versicherer","ig","maenner","gold","saison","iwf","entwicklung","schroeder"
"12","startups","parlament","tonnen","aktie","chinesische","europa","zinsen","beschaeftigten","paar","aktie","berlin","staatsanleihen","industrie","afd"
"13","mitarbeitern","london","klimaschutz","siemens","obama","sozialen","investoren","metall","vater","usa","spieler","euroraum","konsum","kanzler"
"14","google","premier","pro","jahr","ukraine","tun","immobilie","unternehmen","heute","punkten","fussball","italien","investitionen","kanzlerin"
"15","digitalen","europaeischen","kohle","mill","land","globalisierung","eigenkapital","berlin","stadt","aktienmarkt","berliner","draghi","aufschwung","angela"
"16","intelligenz","tuerkei","produktion","vorstandschef","bush","zukunft","markt","arbeit","erzaehlt","bank","gaeste","notenbanken","deutlich","parteien"
"17","fuehrungskraefte","pfund","eon","rund","irak","frage","kredite","kommunen","mutter","fed","hochschulen","europaeischen","arbeitsmarkt","waehler"
"18","branche","putin","preis","analysten","trumps","staat","rendite","regelung","spaeter","punkte","sport","dollar","prognose","merz"
"19","software","moskau","barrel","geschaeftsjahr","amerika","buerger","aktien","muesse","jahre","minus","studium","europaeische","erwartet","wahl"
"20","arbeiten","polen","verbraucher","uebernahme","putin","politischen","commerzbank","rente","junge","rendite","mannschaft","schulden","oekonomen","bundestag"
"21","neue","europa","rwe","konzerns","amerikaner","fragen","vermoegen","kommission","tag","papiere","kunst","usa","rezession","stoiber"
"22","beispiel","may","kraftwerke","vw","staaten","bevoelkerung","mieten","gewerkschaft","buch","zinsen","verein","euro","nachfrage","ministerpraesident"
"23","produkte","russischen","erdgas","volkswagen","xi","wissen","altersvorsorge","bahn","kind","index","fans","rezession","erholung","sozialdemokraten"
"24","mittelstaendler","referendum","erneuerbare","bayer","praesidenten","brauchen","mieter","fordert","jungen","aktienmaerkte","messen","finanzmaerkte","weltwirtschaft","wahlkampf"
"25","gruender","russische","foerderung","daimler","donald","verantwortung","kaeufer","gesetzlichen","schule","renditen","reisen","waehrung","firmen","lindner"
"26","unternehmens","johnson","anlagen","verkauf","biden","beispiel","risiken","vorschlag","sohn","experten","liga","oekonomen","befragten","seehofer"
"27","anbieter","praesident","deutschland","aktionaere","regierung","herr","kapital","duerfen","kindern","leitindex","besucher","waehrungsunion","anstieg","bundestagswahl"
"28","unternehmer","premierminister","ausbau","bmw","uspraesident","denken","bafin","regelungen","zeit","quartal","hotels","zinssenkung","bip","berlin"
"29","markt","landes","kosten","ersten","westen","gerade","frankfurt","entwurf","geschichte","maerkte","lesen","leitzinsen","kommenden","gruene"
"30","berater","koenigreich","opec","hersteller","israel","marktwirtschaft","institute","clement","alt","gewinne","touristen","leitzins","rechnet","opposition"
"31","technologie","italien","landwirtschaft","lufthansa","welt","sicherheit","renditen","betriebe","hause","wall","koeln","maerkte","plus","liberalen"
"32","deutschland","austritt","klimawandel","dollar","nato","politische","sparer","massnahmen","uhr","morgan","euro","kredite","verbraucher","regierung"
