"","Topic 1: Corporate Culture","Topic 2: EU Conflicts","Topic 3: Energy & Climate Change Mitigation","Topic 4: Companies & Markets","Topic 5: Geopolitics","Topic 6: Society","Topic 7: Financial Markets I","Topic 8: German Politics I","Topic 9: Miscellaneous","Topic 10: Financial Markets II","Topic 11: Leisure & Hospitality","Topic 12: Central banks","Topic 13: German Economy","Topic 14: German Politics II"
"Proportion (%)","6.7989","5.0675","5.0228","7.1376","6.8296","10.9459","5.6993","6.9617","9.8704","9.367","4.3685","6.8813","9.1252","5.9243"
"1","unternehmen","eu","strom","euro","china","menschen","bank","bundesregierung","leben","aktien","hamburg","ezb","jahr","spd"
"2","mitarbeiter","regierung","gas","konzern","trump","welt","banken","bund","kinder","anleger","stadt","zentralbank","wirtschaft","partei"
"3","kunden","grossbritannien","energien","milliarden","usa","gesellschaft","fonds","euro","  ","dax","studenten","inflation","wachstum","merkel"
"4","firmen","brexit","oel","umsatz","chinas","politik","euro","gesetz","frauen","dollar","muenchen","zinsen","quartal","cdu"
"5","ki","bruessel","energiewende","mrd","peking","gibt","anleger","arbeitgeber","menschen","investoren","millionen","banken","deutschland","fdp"
"6","firma","russland","energie","millionen","russland","heute","kunden","spd","mann","analysten","messe","geldpolitik","unternehmen","gruenen"
"7","internet","britische","wasserstoff","gewinn","chinesischen","deutschland","immobilien","reform","frau","kurse","bayern","notenbank","konjunktur","koalition"
"8","manager","britischen","erneuerbaren","mio","krieg","demokratie","geld","arbeitnehmer","eltern","boerse","hamburger","eurozone","deutschen","union"
"9","daten","frankreich","co","quartal","trumps","freiheit","wohnungen","eichel","familie","boersen","fc","fed","rueckgang","afd"
"10","startups","land","industrie","unternehmen","washington","soziale","sparkassen","gewerkschaften","maenner","anleihen","saison","griechenland","deutsche","csu"
"11","digitalisierung","briten","preise","geschaeft","ukraine","leben","versicherer","ig","leute","gold","trainer","iwf","entwicklung","kanzler"
"12","digitale","parlament","klimaschutz","aktie","chinesische","tun","zinsen","beschaeftigten","paar","aktie","spieler","staatsanleihen","industrie","scholz"
"13","intelligenz","premier","tonnen","siemens","praesident","sozialen","immobilie","metall","vater","usa","berlin","euroraum","investitionen","schroeder"
"14","mitarbeitern","london","produktion","jahr","iran","europa","investoren","unternehmen","stadt","punkten","fussball","italien","konsum","merz"
"15","google","europaeischen","pro","vorstandschef","land","zukunft","kredite","berlin","heute","bank","berliner","draghi","aufschwung","angela"
"16","fuehrungskraefte","tuerkei","kohle","mill","obama","globalisierung","markt","kommunen","erzaehlt","aktienmarkt","sport","notenbanken","deutlich","kanzlerin"
"17","digitalen","pfund","preis","rund","amerika","frage","eigenkapital","arbeit","mutter","fed","gaeste","dollar","prognose","parteien"
"18","arbeiten","polen","rwe","analysten","donald","staat","commerzbank","rente","spaeter","punkte","hochschulen","europaeischen","erwartet","waehler"
"19","branche","putin","erdgas","vw","putin","buerger","rendite","regelung","junge","rendite","mannschaft","usa","arbeitsmarkt","bundestag"
"20","software","europa","eon","geschaeftsjahr","staaten","politischen","aktien","kommission","jahre","minus","kunst","schulden","oekonomen","wahl"
"21","neue","moskau","anlagen","konzerns","bush","fragen","mieten","muesse","tag","index","studium","europaeische","nachfrage","ministerpraesident"
"22","beispiel","russischen","ausbau","uebernahme","irak","wissen","vermoegen","gewerkschaft","kind","zinsen","fans","finanzmaerkte","rezession","sozialdemokraten"
"23","produkte","may","foerderung","volkswagen","amerikaner","herr","kaeufer","bahn","jungen","renditen","verein","euro","weltwirtschaft","wahlkampf"
"24","mittelstaendler","premierminister","verbraucher","bayer","xi","bevoelkerung","mieter","fordert","buch","papiere","reisen","rezession","erholung","stoiber"
"25","unternehmens","referendum","deutschland","hersteller","praesidenten","brauchen","altersvorsorge","gesetzlichen","schule","aktienmaerkte","messen","oekonomen","firmen","lindner"
"26","technologie","russische","barrel","daimler","uspraesident","gerade","frankfurt","vorschlag","sohn","leitindex","hotels","waehrung","befragten","bundestagswahl"
"27","gruender","praesident","erneuerbare","verkauf","biden","denken","bafin","massnahmen","kindern","gewinne","liga","zinssenkung","plus","seehofer"
"28","deutschland","johnson","kraftwerke","bmw","regierung","verantwortung","risiken","duerfen","zeit","experten","touristen","leitzins","anstieg","berlin"
"29","anbieter","landes","kosten","aktionaere","westen","beispiel","kapital","regelungen","geschichte","quartal","besucher","leitzinsen","rechnet","gruene"
"30","unternehmer","italien","opec","kunden","nato","zeit","institute","entwurf","alt","maerkte","lesen","maerkte","bip","opposition"
"31","amazon","koenigreich","landwirtschaft","basf","amerikanischen","marktwirtschaft","renditen","betriebe","hause","morgan","kuenstler","waehrungsunion","kommenden","soeder"
"32","berater","austritt","emissionen","ersten","welt","macht","sparer","verfahren","uhr","wall","klubs","kredite","verbraucher","regierung"
"33","markt","union","cent","dollar","israel","sicherheit","private","handelsblatt","sitzt","plus","koeln","wachstum","vorjahr","liberalen"
